,ATXN7L3B (552889)
ACH-000004,-0.047947071602800005
ACH-000007,0.00303470425501
ACH-000009,-0.20885368920000003
ACH-000011,-0.355992703909
ACH-000012,-0.226975613472
ACH-000013,-0.08526438851389999
ACH-000014,-0.029418331576200003
ACH-000015,-0.203328379019
ACH-000017,-0.284883457936
ACH-000018,-0.232388366705
ACH-000019,-0.13227530331700002
ACH-000021,-0.0315845142543
ACH-000022,-0.104498606393
ACH-000025,-0.16573960680400002
ACH-000028,-0.141378635927
ACH-000030,-0.229282720258
ACH-000035,0.110991205813
ACH-000036,-0.213346372411
ACH-000037,-0.09884487595699999
ACH-000039,-0.224465190745
ACH-000040,-0.19401648752700001
ACH-000041,-0.306999600948
ACH-000042,-0.114043646533
ACH-000045,-0.045882901344800005
ACH-000047,-0.19157053312199998
ACH-000052,-0.305168473129
ACH-000053,-0.18647474524500002
ACH-000054,-0.08817643447939999
ACH-000055,-0.557451548439
ACH-000060,-0.0663757694306
ACH-000067,-0.352865207866
ACH-000070,-0.24239796976999997
ACH-000075,-0.18016723218400002
ACH-000078,0.00531256952424
ACH-000082,-0.108772624878
ACH-000085,-0.185095257845
ACH-000086,-0.33904251270900004
ACH-000087,-0.621660531955
ACH-000092,-0.126261548609
ACH-000095,-0.17097819314100002
ACH-000097,-0.0678128568963
ACH-000098,-0.052255538620499996
ACH-000099,-0.00734132017428
ACH-000108,0.164483589
ACH-000113,-0.154693906523
ACH-000115,-0.304337646939
ACH-000116,-0.200582769204
ACH-000118,-0.175308848241
ACH-000120,0.015336216846700002
ACH-000123,-0.230063022451
ACH-000127,-0.10126856293
ACH-000128,-0.341376616868
ACH-000132,0.014085380413500001
ACH-000133,-0.34363752193499997
ACH-000137,-0.302935573002
ACH-000138,-0.220903324086
ACH-000142,-0.0434095829894
ACH-000143,-0.30152642974
ACH-000146,-0.0249728964108
ACH-000148,-0.0743303244933
ACH-000150,-0.218947662934
ACH-000152,-0.2342577062
ACH-000153,-0.15260104155200002
ACH-000159,-0.00148332102095
ACH-000160,-0.15281095607
ACH-000163,-0.264916997549
ACH-000167,0.0367535624637
ACH-000168,-0.265730234295
ACH-000169,-0.0707696027636
ACH-000178,-0.167286201105
ACH-000182,-0.251885552615
ACH-000183,0.156523884335
ACH-000188,-0.130787990893
ACH-000189,-0.49971317687600003
ACH-000190,-0.161350869462
ACH-000198,-0.110178132458
ACH-000204,-0.46015206550899995
ACH-000206,-0.142400096708
ACH-000207,-0.236834857912
ACH-000211,-0.177787094273
ACH-000215,-0.136451535579
ACH-000221,-0.0366556625484
ACH-000222,0.011892952198
ACH-000223,-0.421453929066
ACH-000226,-0.305886179968
ACH-000227,-0.161507409815
ACH-000228,-0.437806406941
ACH-000231,-0.14279742636099998
ACH-000232,-0.354024542444
ACH-000233,-0.382779134186
ACH-000234,-0.33582181034100006
ACH-000235,-0.20036657068500002
ACH-000237,-0.263791110443
ACH-000238,-0.33879331886999997
ACH-000243,-0.114366956192
ACH-000244,0.0618710106537
ACH-000246,-0.235972795566
ACH-000248,-0.209903619003
ACH-000250,0.021400523720999997
ACH-000251,-0.022377772982
ACH-000253,-0.0770352895603
ACH-000255,0.0059193044962099995
ACH-000256,-0.08907870607410001
ACH-000257,-0.40250703221199996
ACH-000258,-0.36932817595299994
ACH-000259,-0.11040127497199999
ACH-000260,-0.20608614697
ACH-000261,-0.176049109049
ACH-000262,-0.14825644517699998
ACH-000263,-0.540257121499
ACH-000264,-0.194547857667
ACH-000265,-0.206986343129
ACH-000266,-0.241153160606
ACH-000272,0.029191397280200003
ACH-000273,-0.0966909568504
ACH-000274,-0.112504666524
ACH-000277,-0.462511308041
ACH-000278,-0.160029051182
ACH-000279,-0.208457879577
ACH-000280,-0.054253474248800004
ACH-000281,-0.333765749297
ACH-000288,-0.0637897564497
ACH-000291,-0.196285050914
ACH-000293,-0.225323570817
ACH-000294,0.0118208894465
ACH-000295,-0.281604589071
ACH-000296,0.098786188816
ACH-000302,0.030011614885200003
ACH-000304,-0.230590565929
ACH-000307,-0.06935550259210001
ACH-000308,-0.143848386926
ACH-000310,-0.242964767447
ACH-000311,-0.22972790287500003
ACH-000312,-0.0775431560704
ACH-000315,0.0336645562401
ACH-000316,-0.14939143386499998
ACH-000317,-0.0851231107574
ACH-000318,-0.242960221249
ACH-000319,-0.277157599539
ACH-000320,-0.21809452617699998
