,RNASEH2C (84153)
ACH-000004,-0.398919889832
ACH-000007,-0.747380364989
ACH-000009,-0.316773113747
ACH-000011,-0.482884065632
ACH-000012,-0.615147639429
ACH-000013,-0.35895107030900003
ACH-000014,-0.218479147711
ACH-000015,-0.27400094979600004
ACH-000017,-0.37010097435500006
ACH-000018,-0.547764130885
ACH-000019,-0.58163634249
ACH-000021,-0.42332560012599996
ACH-000022,-0.590209941558
ACH-000025,-0.746571508437
ACH-000028,-0.46515073624200004
ACH-000030,-0.350214907081
ACH-000035,-0.648562992898
ACH-000036,-0.506451295199
ACH-000037,-0.8810490751510001
ACH-000039,-0.661574202981
ACH-000040,-0.8256218748540001
ACH-000041,-0.383127672258
ACH-000042,-0.594848848651
ACH-000045,-0.579213427292
ACH-000047,-0.7156732647149999
ACH-000052,-0.6204576351309999
ACH-000053,-0.28923649060199996
ACH-000054,-0.45514072929399996
ACH-000055,-0.8312870036
ACH-000060,-0.21407983008200002
ACH-000067,-0.932103066262
ACH-000070,-0.644418247175
ACH-000075,-0.161428575409
ACH-000078,-0.416879503451
ACH-000082,-0.604306159052
ACH-000085,-0.262475430249
ACH-000086,-0.5572595635409999
ACH-000087,-0.896847413852
ACH-000092,-0.608625014131
ACH-000095,-0.155501423715
ACH-000097,-0.24966780616300002
ACH-000098,-0.299833335509
ACH-000099,-0.7223440592739999
ACH-000108,-0.45096917188600005
ACH-000113,-0.8631025465309999
ACH-000115,-0.651312907439
ACH-000116,-0.6056010988620001
ACH-000118,-0.511951782069
ACH-000120,-0.8776146015009999
ACH-000123,-0.642073124794
ACH-000127,-1.08265198143
ACH-000128,-0.185303591713
ACH-000132,-0.343423218259
ACH-000133,-0.696629522785
ACH-000137,-0.7415005175839999
ACH-000138,-0.75147937629
ACH-000142,-0.748095592788
ACH-000143,-0.5979233836110001
ACH-000146,-0.478998569017
ACH-000148,-0.675717826105
ACH-000150,-0.526079929269
ACH-000152,-0.41525605042900005
ACH-000153,-0.634672815514
ACH-000159,-0.6011766483869999
ACH-000160,-0.46983449540399996
ACH-000163,-0.725841062412
ACH-000167,-0.77266408611
ACH-000168,-0.24802956498599998
ACH-000169,-0.303135231169
ACH-000178,-0.42577082104599995
ACH-000182,-0.44620934253600003
ACH-000183,-0.6962211647759999
ACH-000188,-0.640239692691
ACH-000189,-1.05939103636
ACH-000190,-1.36160360875
ACH-000198,-0.8206826714769999
ACH-000204,-0.665190148217
ACH-000206,-0.45420501712899997
ACH-000207,-1.2310538767499999
ACH-000211,-0.572592342329
ACH-000215,-0.945899545961
ACH-000221,-0.275286222096
ACH-000222,-0.566026056435
ACH-000223,-0.347267339793
ACH-000226,-0.513667179801
ACH-000227,-0.399034588671
ACH-000228,-0.659468126182
ACH-000231,-0.454597903361
ACH-000232,-0.926678259559
ACH-000233,-0.6968470804889999
ACH-000234,-0.322954378333
ACH-000235,-0.314657958189
ACH-000237,-0.600915967583
ACH-000238,-1.01291400594
ACH-000243,-0.646981652723
ACH-000244,-0.7638971214110001
ACH-000246,-0.7955937566150001
ACH-000248,-0.241017895062
ACH-000250,-0.593837585736
ACH-000251,-0.346348046766
ACH-000253,-0.2489547127
ACH-000255,-0.675259225234
ACH-000256,-0.520379705356
ACH-000257,-0.5529561803540001
ACH-000258,-0.490107645496
ACH-000259,-0.803876914692
ACH-000260,-0.772870930746
ACH-000261,-0.59177790297
ACH-000262,-0.8103698676790001
ACH-000263,-0.0670451874367
ACH-000264,-0.33478011053
ACH-000265,-0.326866540035
ACH-000266,-0.219163637066
ACH-000272,-0.455203930145
ACH-000273,-0.33879291608400003
ACH-000274,-0.229469635804
ACH-000277,-0.304596993411
ACH-000278,-0.66844740358
ACH-000279,-0.784606993124
ACH-000280,-0.42550361706100004
ACH-000281,-0.48876022477
ACH-000288,-0.5277630740479999
ACH-000291,-0.903200173727
ACH-000293,-0.315791338844
ACH-000294,-0.7220348850030001
ACH-000295,-0.212286822777
ACH-000296,-0.5664958245130001
ACH-000302,-0.46312117877
ACH-000304,-0.683923934821
ACH-000307,-0.353379262365
ACH-000308,-0.650455051332
ACH-000310,-0.279825060346
ACH-000311,-0.622273433997
ACH-000312,-0.570645523665
ACH-000315,-0.663617923984
ACH-000316,-0.791092574234
ACH-000317,-1.11442455659
ACH-000318,-0.6253982072450001
ACH-000319,-0.451917552979
ACH-000320,-0.540835809995
ACH-000322,-0.8318032549590001
ACH-000323,-0.400603083205
ACH-000324,-0.701777362276
ACH-000329,-0.295675396591
ACH-000330,-0.385106394821
ACH-000331,-0.5346417621280001
ACH-000332,-0.304475201182
ACH-000334,-0.702308639392
ACH-000335,-1.07526143082
ACH-000336,-0.30826917853700003
ACH-000337,-0.34719620371200005
ACH-000339,-0.39347054317900004
ACH-000341,-0.5449722193050001
ACH-000348,-0.423576660662
ACH-000350,-0.305968462138
ACH-000352,-0.21832455495900002
ACH-000356,-0.640234483027
ACH-000361,-0.123094294179
