,TEN1 (100134934)
ACH-000004,-0.9511088288089999
ACH-000007,-0.891503593647
ACH-000009,-0.592855671366
ACH-000011,-1.10207749963
ACH-000012,-0.946838679376
ACH-000013,-0.254166033431
ACH-000014,-0.762356665754
ACH-000015,-0.15183710011399998
ACH-000017,-0.5533214372909999
ACH-000018,-0.833551346224
ACH-000019,-0.611279686676
ACH-000021,-0.41921340842200006
ACH-000022,-1.02114270063
ACH-000025,-0.556871638543
ACH-000028,-0.984130136787
ACH-000030,-0.256760511411
ACH-000035,-0.803358371992
ACH-000036,-0.571886332845
ACH-000037,-0.7284987400220001
ACH-000039,-0.7624883090819999
ACH-000040,-0.833506821729
ACH-000041,-0.8841310221269999
ACH-000042,-0.710002718882
ACH-000045,-0.7434571899879999
ACH-000047,-0.330457172642
ACH-000052,-0.901662520879
ACH-000053,-0.490655397076
ACH-000054,-0.441265599824
ACH-000055,-0.8752511791940001
ACH-000060,-1.00629530177
ACH-000067,-0.579131768592
ACH-000070,-0.974816092384
ACH-000075,-0.646132682432
ACH-000078,-0.176213781264
ACH-000082,-0.630178062518
ACH-000085,-0.324821647444
ACH-000086,-0.326951363826
ACH-000087,-0.87678813817
ACH-000092,-0.433760941114
ACH-000095,-0.841063252715
ACH-000097,-0.254647709445
ACH-000098,-0.410514587934
ACH-000099,-0.7705489531440001
ACH-000108,-0.395066135813
ACH-000113,-1.0399149788700002
ACH-000115,-0.642602594003
ACH-000116,-0.862128071992
ACH-000118,-0.878869322418
ACH-000120,-0.7533408975570001
ACH-000123,-0.507719701465
ACH-000127,-0.632792132097
ACH-000128,-0.48111961952699994
ACH-000132,-0.502245439748
ACH-000133,-0.672204518434
ACH-000137,-0.375710212893
ACH-000138,-0.617486021568
ACH-000142,-0.43384759913599996
ACH-000143,-0.781505100757
ACH-000146,-0.581285094516
ACH-000148,-0.973235605652
ACH-000150,-0.7714823261339999
ACH-000152,-0.786549951948
ACH-000153,-0.761527109074
ACH-000159,-0.587215990636
ACH-000160,-0.537442177571
ACH-000163,-1.1132390611
ACH-000167,-0.726601687378
ACH-000168,-1.1341401938299998
ACH-000169,-0.40347424855400005
ACH-000178,-0.941801278438
ACH-000182,-0.511182551864
ACH-000183,-1.11484800516
ACH-000188,-1.3195248082
ACH-000189,-1.09952549065
ACH-000190,-0.891005752085
ACH-000198,-1.15084867869
ACH-000204,-0.415285453076
ACH-000206,-0.515390784394
ACH-000207,-0.8712127373049999
ACH-000211,-0.496202655967
ACH-000215,-0.8899825358600001
ACH-000221,-0.9322829267799999
ACH-000222,-0.5706052123600001
ACH-000223,-0.70699239772
ACH-000226,-0.816308086405
ACH-000227,-0.712758802088
ACH-000228,-0.8484208754979999
ACH-000231,-1.24740829779
ACH-000232,-0.312063713402
ACH-000233,-0.570246666757
ACH-000234,-0.667782218969
ACH-000235,-0.929244650755
ACH-000237,-0.788666918473
ACH-000238,-0.8619639043690001
ACH-000243,-0.9341601688879999
ACH-000244,-0.583485062882
ACH-000246,-0.442765312422
ACH-000248,-0.533430064755
ACH-000250,-0.549964207271
ACH-000251,-1.0718375708499999
ACH-000253,-0.842961776505
ACH-000255,-0.524778017796
ACH-000256,-0.7393343057610001
ACH-000257,-1.08353190839
ACH-000258,-0.858199018332
ACH-000259,-0.586119919187
ACH-000260,-0.642303015661
ACH-000261,-0.716805903155
