,ISLR (3671)
ACH-000004,0.0573628153329
ACH-000007,0.194537776225
ACH-000009,0.049230470365199994
ACH-000011,0.36910318479500004
ACH-000012,0.0705639651421
ACH-000013,0.08445372033330001
ACH-000014,-0.0424223654261
ACH-000015,0.025018757809799997
ACH-000017,0.10019060877999998
ACH-000018,0.102229716066
ACH-000019,0.120507223805
ACH-000021,0.273717720931
ACH-000022,-0.11285304781199999
ACH-000025,0.0504322346458
ACH-000028,-0.033150627434099994
ACH-000030,0.116349381822
ACH-000035,-0.0345094887282
ACH-000036,0.258423613378
ACH-000037,0.153758434828
ACH-000039,0.151142520236
ACH-000040,0.234111367504
ACH-000041,0.20981372544
ACH-000042,0.07477520427680001
ACH-000045,0.023417141421599997
ACH-000047,-0.0071247067395700005
ACH-000052,0.172816923407
ACH-000053,0.13838499242000002
ACH-000054,0.10725075010099999
ACH-000055,0.195796992439
ACH-000060,0.144191266578
ACH-000067,0.175078172551
ACH-000070,0.061145820892400005
ACH-000075,0.0410576731629
ACH-000078,0.223346807673
ACH-000082,0.09274689567
ACH-000085,0.0399486183591
ACH-000086,0.116450020501
ACH-000087,0.104430173467
ACH-000092,0.163526782363
ACH-000095,0.184769382486
ACH-000097,0.264358178298
ACH-000098,0.0488048752021
ACH-000099,0.176440583952
ACH-000108,0.168993238765
ACH-000113,0.0871087381337
ACH-000115,-0.03712740991130001
ACH-000116,-0.018829124499900003
ACH-000118,0.213794985296
ACH-000120,0.0390048336152
ACH-000123,0.16177130724199998
ACH-000127,0.08932498537650001
ACH-000128,0.0907903428682
ACH-000132,0.145264873768
ACH-000133,0.0812275629436
ACH-000137,0.196850251885
ACH-000138,0.26837763752599997
ACH-000142,0.182501376574
ACH-000143,0.141131604696
ACH-000146,0.107378381929
ACH-000148,0.0856988205123
ACH-000150,0.159324627885
ACH-000152,0.19405404004700003
ACH-000153,0.1627636259
ACH-000159,0.22394553460499997
ACH-000160,0.017927244175599998
ACH-000163,-0.0155209076582
ACH-000167,0.255797173136
ACH-000168,-0.04785943197
ACH-000169,0.07001434545139999
ACH-000178,0.17975766725900003
ACH-000182,-0.026472179394
