,RFFL (117584)
ACH-000004,-0.5665202650360001
ACH-000007,-0.65145823022
ACH-000009,-0.669505797421
ACH-000011,-0.6826900760500001
ACH-000012,-0.266756479461
ACH-000013,-0.498875617204
ACH-000014,-0.397263356821
ACH-000015,-0.33601164071199996
ACH-000017,-0.35963323379
ACH-000018,-0.819947536639
ACH-000019,-0.31730991069000003
ACH-000021,-0.37983145390699996
ACH-000022,-0.511445522093
ACH-000025,-0.5183561751219999
ACH-000028,-0.701993597614
ACH-000030,-0.6854576425419999
ACH-000035,-0.400831845224
ACH-000036,-0.529023619957
ACH-000037,-0.685284284081
ACH-000039,-0.382555957871
ACH-000040,-0.546716766639
ACH-000041,-0.730972150743
ACH-000042,-0.488546348354
ACH-000045,-0.243137785854
ACH-000047,-0.333692376315
ACH-000052,-0.467997652061
ACH-000053,-0.43597763173
ACH-000054,-0.522306692971
ACH-000055,-0.448644619182
ACH-000060,-0.7155953931569999
ACH-000067,-0.675608169103
ACH-000070,-0.455200386494
ACH-000075,-0.45965996373400003
ACH-000078,-0.454059721293
ACH-000082,-0.552615314044
ACH-000085,-0.41641767139700003
ACH-000086,-0.390890473948
ACH-000087,-0.609843066674
ACH-000092,-0.466758236937
ACH-000095,-0.446991895518
ACH-000097,-0.714161070164
ACH-000098,-0.412101514195
ACH-000099,-0.464647328049
ACH-000108,-0.27680039518800004
ACH-000113,-0.531554063755
ACH-000115,-0.598588817662
ACH-000116,-0.5194513873409999
ACH-000118,-0.427570936345
ACH-000120,-0.30963787209399996
ACH-000123,-0.38499694756700004
ACH-000127,-0.269196254973
ACH-000128,-0.36901915230099996
ACH-000132,-0.420370903934
ACH-000133,-0.5514879161540001
ACH-000137,-0.38054642383299997
ACH-000138,-0.468772279389
ACH-000142,-0.466755672639
ACH-000143,-0.10593447568499999
ACH-000146,-0.346814704231
ACH-000148,-0.566547797643
ACH-000150,-0.530506367935
ACH-000152,-0.794315804035
ACH-000153,-0.48341058640199996
ACH-000159,-0.45475474919
ACH-000160,-0.37092855566
ACH-000163,-0.326979027889
ACH-000167,-0.0454780459476
ACH-000168,-0.479341105172
ACH-000169,-0.521100288389
ACH-000178,-0.42101236210799997
ACH-000182,-0.319542190328
ACH-000183,-0.563520032663
ACH-000188,-0.647093384798
ACH-000189,-0.294120719341
ACH-000190,-0.302045042156
ACH-000198,-0.5509338054249999
ACH-000204,-0.599028240515
ACH-000206,-0.394152732757
ACH-000207,-0.532230238106
ACH-000211,-0.5318539593770001
ACH-000215,-0.508111268542
ACH-000221,-0.255811889685
ACH-000222,-0.297173031248
ACH-000223,-0.650398460759
ACH-000226,-0.580642992757
ACH-000227,-0.889263701547
ACH-000228,-0.577913851962
ACH-000231,-0.6030499509030001
ACH-000232,-0.484800372236
ACH-000233,-0.174466821365
ACH-000234,-0.5843686816260001
ACH-000235,-0.556725291558
ACH-000237,-0.44426006852
ACH-000238,-0.622705479537
ACH-000243,-0.539493973213
ACH-000244,-0.629973174682
ACH-000246,-0.519069055061
ACH-000248,-0.236190201944
ACH-000250,-0.505763690033
ACH-000251,-0.517105230185
ACH-000253,-0.278870261755
ACH-000255,-0.538967860644
ACH-000256,-0.7377970757819999
ACH-000257,-0.25203151008900004
ACH-000258,-0.6350061418949999
ACH-000259,-0.297880064078
ACH-000260,-0.30710465619800004
ACH-000261,-0.550122133994
ACH-000262,-0.275102175484
ACH-000263,-0.34180319913900004
ACH-000264,-0.548660105931
ACH-000265,-0.463163984215
ACH-000266,-0.44060025054799995
ACH-000272,-0.475017581649
ACH-000273,-0.553621875969
ACH-000274,-0.865584606963
ACH-000277,-0.644314272529
ACH-000278,-0.6220024309969999
ACH-000279,-0.402517736134
ACH-000280,-0.2709333099
ACH-000281,-0.161638568043
ACH-000288,-0.49433601702299995
ACH-000291,-0.517530939198
ACH-000293,-0.615179415898
ACH-000294,-0.34893761846999993
ACH-000295,-0.41311066179300004
ACH-000296,-0.37297641608000004
ACH-000302,-0.410094222941
ACH-000304,-0.798026386809
ACH-000307,-0.511928654038
ACH-000308,-0.49891317591300005
ACH-000310,-0.550201385532
ACH-000311,-0.432543365333
ACH-000312,-0.392609818498
ACH-000315,-0.22955751618
ACH-000316,-0.317504420334
ACH-000317,-0.594738293161
ACH-000318,-0.358315404173
ACH-000319,-0.384257112351
ACH-000320,-0.48324955920100005
ACH-000322,-0.687552348646
ACH-000323,-0.38064717355300004
ACH-000324,-0.359644096485
ACH-000329,-0.607652887205
ACH-000330,-0.417546677867
ACH-000331,-0.61620822289
ACH-000332,-0.46859159893200003
ACH-000334,-0.5214718800079999
ACH-000335,-0.210782413834
ACH-000336,-0.5390826912
ACH-000337,-0.450892181676
ACH-000339,-0.557159186108
ACH-000341,-0.49467069474299996
ACH-000348,-0.453895581161
ACH-000350,-0.32473400783399997
ACH-000352,-0.424379668468
ACH-000356,-0.564998582954
