,NGLY1 (55768)
ACH-000004,-0.473042083125
ACH-000007,-0.036069176871300006
ACH-000009,0.046547864467599995
ACH-000011,-0.39540275115
ACH-000012,-0.361551376328
ACH-000013,-0.332306424165
ACH-000014,-0.544435310572
ACH-000015,-0.5139212952009999
ACH-000017,-0.345834465463
ACH-000018,-0.230728379791
ACH-000019,-0.37134162290100003
ACH-000021,-0.350697929773
ACH-000022,-0.115447525112
ACH-000025,-0.300225251687
ACH-000028,-0.416492335821
ACH-000030,-0.197102189877
ACH-000035,-0.373352582084
ACH-000036,-0.650562142677
ACH-000037,-0.211107207812
ACH-000039,-0.283918325855
ACH-000040,-0.35274760916000003
ACH-000041,-0.20585702325199998
ACH-000042,-0.508121538695
ACH-000045,-0.185535188964
ACH-000047,-0.105285731514
ACH-000052,-0.639858001189
ACH-000053,-0.116307815301
ACH-000054,-0.0624086457991
ACH-000055,-0.276632273799
ACH-000060,-0.386588734015
ACH-000067,-0.165789063024
ACH-000070,-0.100752203047
ACH-000075,-0.37774267305299997
ACH-000078,-0.163878249561
ACH-000082,-0.07843442075349999
ACH-000085,-0.0252667907318
ACH-000086,-0.290435302905
ACH-000087,-0.5931829397999999
ACH-000092,-0.315483762078
ACH-000095,-0.112867615074
ACH-000097,-0.242971873162
ACH-000098,-0.275756356479
ACH-000099,-0.07013789456889999
ACH-000108,-0.046180395484800005
ACH-000113,-0.370311975379
ACH-000115,-0.28531019976599997
ACH-000116,-0.6118852150190001
ACH-000118,-0.11246209335999999
ACH-000120,-0.43802182708000004
ACH-000123,-0.138685413434
ACH-000127,0.0230658064591
ACH-000128,-0.182265062907
ACH-000132,-0.32671727445500004
ACH-000133,-0.245769557438
ACH-000137,-0.26662682311
ACH-000138,-0.680853982294
ACH-000142,-0.20338063138
ACH-000143,-0.562312841158
ACH-000146,-0.11858456723
ACH-000148,-0.45666620907899996
ACH-000150,-0.5122824867369999
ACH-000152,-0.5790951564769999
ACH-000153,-0.320516841041
ACH-000159,-0.432879594968
ACH-000160,-0.208329484324
ACH-000163,-0.654402761499
ACH-000167,-0.46576283969899995
ACH-000168,-0.09289698123080001
ACH-000169,-0.35154447673699996
ACH-000178,-0.0203497249623
ACH-000182,-0.269745181738
ACH-000183,-0.24047501856400003
ACH-000188,-0.739624265897
ACH-000189,-0.342149253434
ACH-000190,-0.415112351765
ACH-000198,-0.191401820671
ACH-000204,-0.5331607175509999
ACH-000206,-0.41917311783600003
ACH-000207,-0.375391366267
ACH-000211,0.0129407421766
ACH-000215,-0.357927241326
ACH-000221,-0.116646908012
ACH-000222,-0.216244489819
ACH-000223,-0.19866947121300002
ACH-000226,-0.240820758202
ACH-000227,-0.051832127075
ACH-000228,-0.182901223933
ACH-000231,-0.265500559149
ACH-000232,-0.172560439556
ACH-000233,-0.240973857471
ACH-000234,-0.19378812585900002
ACH-000235,-0.39720010873499995
ACH-000237,-0.301430825815
ACH-000238,-0.769041281082
ACH-000243,-0.115465670057
ACH-000244,-0.881903379917
ACH-000246,-0.7318050881839999
ACH-000248,-0.70695617324
ACH-000250,-0.433699381251
ACH-000251,-0.09844541972819999
ACH-000253,-0.023376426252599995
ACH-000255,-0.15007311753
ACH-000256,-0.364319221479
ACH-000257,-0.26566305357299996
ACH-000258,-0.501498664121
ACH-000259,-0.9545799809409999
ACH-000260,-0.010743161121200002
ACH-000261,-0.3474617272
ACH-000262,-0.755318368595
ACH-000263,0.0640814839725
ACH-000264,-0.0286474669313
ACH-000265,-0.277522732269
ACH-000266,-0.08566674813269999
ACH-000272,-0.500022087372
ACH-000273,-0.299817133302
ACH-000274,-0.356826051544
ACH-000277,-0.402190628298
ACH-000278,-0.423247757763
ACH-000279,-0.717090848177
ACH-000280,-0.226826145293
ACH-000281,0.08395304838539999
ACH-000288,-0.389704653375
ACH-000291,-0.198332591137
ACH-000293,-0.026232528895999998
ACH-000294,-0.0104514668886
ACH-000295,-0.622257097082
ACH-000296,0.1130328473
ACH-000302,0.0218923245098
ACH-000304,-0.09578687700039999
ACH-000307,-0.106815070523
ACH-000308,-1.0934511854200002
ACH-000310,-0.281078000167
ACH-000311,-0.0646864773243
ACH-000312,-0.150534277965
ACH-000315,-0.27850804354
ACH-000316,-0.255089870479
ACH-000317,-0.048366461290199995
ACH-000318,-0.280914763274
ACH-000319,-0.220705472887
ACH-000320,-0.28137308335
ACH-000322,-0.484652155782
ACH-000323,-0.419791293119
ACH-000324,0.00235708187566
ACH-000329,-0.190943670259
ACH-000330,-0.106427375582
ACH-000331,-0.8625134565449999
ACH-000332,-0.34360940914099997
ACH-000334,-0.273793820191
ACH-000335,-0.294681497922
ACH-000336,-0.674470180244
ACH-000337,-1.01639694123
ACH-000339,-0.167256407968
ACH-000341,-0.386464888451
ACH-000348,-0.0604249770732
ACH-000350,-0.0822442974727
ACH-000352,-0.36150597693000003
ACH-000356,-0.0426827682202
ACH-000361,-0.251958435601
ACH-000362,-0.254897274932
ACH-000363,-0.263770835391
ACH-000364,-0.435053208231
