,HMGCS1 (3157)
ACH-000004,-1.65041940761
ACH-000007,-0.9891317604629999
ACH-000009,-0.848888858978
ACH-000011,-0.739410885298
ACH-000012,-1.03654271335
ACH-000013,-0.506065131951
ACH-000014,-1.03621169072
ACH-000015,-0.8167453650990001
ACH-000017,-1.26117985282
ACH-000018,-1.0361545079
ACH-000019,-1.40474275996
ACH-000021,-0.882980431986
ACH-000022,-1.11801185203
ACH-000025,-1.38989296805
ACH-000028,-1.02488089379
ACH-000030,-0.889674961921
ACH-000035,-1.14091842591
ACH-000036,-0.8270490612360001
ACH-000037,-1.55117402726
ACH-000039,-0.85603173653
ACH-000040,-1.14162139016
ACH-000041,-0.7250267178479999
ACH-000042,-1.4593017841999998
ACH-000045,-1.05096133076
ACH-000047,-1.37518220408
ACH-000052,-1.1646571966700001
ACH-000053,-1.29610453654
ACH-000054,-1.40837378654
ACH-000055,-1.03780777298
ACH-000060,-0.801217573208
ACH-000067,-0.596280293613
ACH-000070,-1.57584253921
ACH-000075,-0.627055294794
ACH-000078,-1.27029526228
ACH-000082,-0.664312246354
ACH-000085,-0.9880990085160001
ACH-000086,-0.255246229587
ACH-000087,-1.09525392
ACH-000092,-1.38075719042
ACH-000095,-1.12763663943
ACH-000097,-1.10746979994
ACH-000098,-0.16014921114800001
ACH-000099,-1.1463618188299998
ACH-000108,-0.975663881209
ACH-000113,-1.16889168597
ACH-000115,-1.52953661833
ACH-000116,-0.502643208363
ACH-000118,-1.06121504588
ACH-000120,-1.2009256015899998
ACH-000123,-0.94541885831
ACH-000127,-1.19836345695
ACH-000128,-0.705277517253
ACH-000132,-1.58120422776
ACH-000133,-0.889595282797
ACH-000137,-0.506439429325
ACH-000138,-0.823299149862
ACH-000142,-1.0812703321400001
ACH-000143,-0.9586864635760001
ACH-000146,-1.38566168799
ACH-000148,-0.571027374558
ACH-000150,-0.8043180061399999
ACH-000152,-1.29405518594
ACH-000153,-0.76492410501
ACH-000159,-0.953171588439
ACH-000160,-0.9059173922229999
ACH-000163,-0.41472418111599996
ACH-000167,-1.21390196271
ACH-000168,-0.7947255729970001
ACH-000169,-1.08353779751
ACH-000178,-0.945835011663
ACH-000182,-1.4190689844100002
ACH-000183,-1.1484775397799998
ACH-000188,-0.6616893117930001
ACH-000189,-1.05591350299
ACH-000190,-0.884221809328
ACH-000198,-1.16820029779
ACH-000204,-0.832011407852
ACH-000206,-1.32854847199
ACH-000207,-1.4577168181400002
ACH-000211,-1.01528954886
ACH-000215,-1.01277502911
ACH-000221,-0.65921491424
ACH-000222,-1.2844195483499998
ACH-000223,-1.1924941064299999
ACH-000226,-0.7579843784999999
ACH-000227,-0.896849410325
ACH-000228,-0.8754686601200001
ACH-000231,-0.6591669209100001
ACH-000232,-0.930193378142
ACH-000233,-1.00724660463
ACH-000234,-1.4629234115
ACH-000235,-1.02961259105
ACH-000237,-0.7028439728679999
ACH-000238,-0.7892976768469999
ACH-000243,-0.906321562814
ACH-000244,-0.619512113865
ACH-000246,-0.968832714504
ACH-000248,-0.953642277316
ACH-000250,-1.35526274572
ACH-000251,-0.912561699425
ACH-000253,-1.18716131632
ACH-000255,-0.94620456971
ACH-000256,-1.11101578316
ACH-000257,-0.858741002966
ACH-000258,-0.74017731625
ACH-000259,-1.16489585334
ACH-000260,-1.3207597497
ACH-000261,-1.05188770017
ACH-000262,-1.2831677281799998
ACH-000263,-1.51046119052
ACH-000264,-0.9370288345819999
ACH-000265,-1.0468106041
ACH-000266,-1.0798985941600001
ACH-000272,-1.29771119861
ACH-000273,-1.15860819214
ACH-000274,-1.0765309017
ACH-000277,-1.1876706019
ACH-000278,-1.14284256791
ACH-000279,-0.989328344575
ACH-000280,-0.83662604082
ACH-000281,-1.0018442753799999
ACH-000288,-1.13765156594
ACH-000291,-0.986199809802
ACH-000293,-0.707950257831
ACH-000294,-1.0874865235
ACH-000295,-1.1894447947600002
ACH-000296,-0.941340271489
ACH-000302,-1.17610363611
