,YRDC (79693)
ACH-000004,-2.35870864405
ACH-000007,-1.58350203821
ACH-000009,-2.4069722088
ACH-000011,-1.8422759160099997
ACH-000012,-2.09631552765
ACH-000013,-1.04762161488
ACH-000014,-1.9313297300499999
ACH-000015,-1.31801490377
ACH-000017,-2.3250002173400004
ACH-000018,-2.03844347437
ACH-000019,-2.0495896644
ACH-000021,-1.88360389979
ACH-000022,-2.23299781429
ACH-000025,-1.4631797854
ACH-000028,-1.7442536340900001
ACH-000030,-2.16197199719
ACH-000035,-1.7201097917
ACH-000036,-1.7882308357499999
ACH-000037,-0.9876899670929999
ACH-000039,-1.3918267937900002
ACH-000040,-1.0699076494
ACH-000041,-1.45368880068
ACH-000042,-2.0878617737000003
ACH-000045,-1.91218382469
ACH-000047,-1.8068578051099997
ACH-000052,-1.01113235382
ACH-000053,-2.0402719692099995
ACH-000054,-1.9669458379900002
ACH-000055,-1.7285387319099998
ACH-000060,-1.84000808552
ACH-000067,-1.01964665598
ACH-000070,-1.92750996844
ACH-000075,-1.2599195650200001
ACH-000078,-1.60130284902
ACH-000082,-0.413973577293
ACH-000085,-1.7953506091900002
ACH-000086,-0.895389737568
ACH-000087,-1.42877344851
ACH-000092,-2.10882094792
ACH-000095,-1.36613275898
ACH-000097,-2.06690034345
ACH-000098,-0.766504102579
ACH-000099,-2.22987269021
ACH-000108,-2.17356090911
ACH-000113,-1.7377918349
ACH-000115,-0.772428330495
ACH-000116,-0.823429897878
ACH-000118,-1.66446983119
ACH-000120,-1.7551120084599998
ACH-000123,-1.5684461392200002
ACH-000127,-1.9750344639
ACH-000128,-0.8916764825749999
ACH-000132,-2.08555346974
ACH-000133,-0.829819298448
ACH-000137,-0.852186062843
ACH-000138,-2.0954108859700002
ACH-000142,-1.75556972963
ACH-000143,-1.18635598037
ACH-000146,-2.7416958497099997
ACH-000148,-0.9394405487019999
ACH-000150,-1.37316316535
ACH-000152,-0.9998947248100001
ACH-000153,-1.48744186659
ACH-000159,-2.2241552592400002
ACH-000160,-1.13709646635
ACH-000163,-0.722404025211
ACH-000167,-2.14425127873
ACH-000168,-1.9423912879700003
ACH-000169,-1.2284540873899998
ACH-000178,-1.7454616742200002
ACH-000182,-1.9345982404299997
ACH-000183,-2.18691498118
ACH-000188,-1.05575645376
ACH-000189,-1.99405065872
ACH-000190,-1.2279299042899998
ACH-000198,-2.0055968114300002
ACH-000204,-1.8674730556499999
ACH-000206,-1.90611873567
ACH-000207,-1.67988134742
ACH-000211,-0.539492374803
ACH-000215,-0.812694333008
ACH-000221,-0.759686726593
ACH-000222,-1.81105957729
ACH-000223,-2.3219239268700003
ACH-000226,-1.8753894396400002
ACH-000227,-1.6095901844
ACH-000228,-0.962763165448
ACH-000231,-0.834719642527
ACH-000232,-1.54033759861
ACH-000233,-1.93926569618
ACH-000234,-2.7914770487299996
ACH-000235,-2.13805935867
ACH-000237,-1.00869734898
ACH-000238,-0.8242708227940001
ACH-000243,-1.7878878017299997
ACH-000244,-1.2145647938200002
ACH-000246,-1.79951009789
ACH-000248,-1.8265748131
ACH-000250,-2.1507685566099997
ACH-000251,-2.53608662922
ACH-000253,-2.09795228418
ACH-000255,-1.04078258558
ACH-000256,-1.34337143575
ACH-000257,-2.0262771735799996
ACH-000258,-1.99530161835
ACH-000259,-2.2734276564099996
ACH-000260,-1.37220798617
ACH-000261,-2.02820741332
ACH-000262,-2.0956359093200003
ACH-000263,-2.3960319932900003
ACH-000264,-1.2347396835200002
ACH-000265,-1.30653550492
ACH-000266,-2.08361452777
ACH-000272,-2.03060539637
ACH-000273,-1.8108026429599997
ACH-000274,-2.36501450328
ACH-000277,-2.77601401312
ACH-000278,-1.8710475951099999
ACH-000279,-1.61974393697
ACH-000280,-1.8166788285799997
ACH-000281,-1.8422067000799998
ACH-000288,-1.7074553895200002
ACH-000291,-0.866025702013
ACH-000293,-1.1635774195200002
ACH-000294,-2.78199225769
ACH-000295,-2.1573147455900004
ACH-000296,-1.8435577404400003
ACH-000302,-2.50104859646
ACH-000304,-2.1719041864
ACH-000307,-2.1901889563099997
ACH-000308,-2.23443069868
ACH-000310,-2.33525809966
ACH-000311,-1.67873041035
ACH-000312,-1.8367217337900001
ACH-000315,-1.77525056001
ACH-000316,-2.0436652039300003
ACH-000317,-2.54179333488
ACH-000318,-2.15034758124
ACH-000319,-0.7846732128720001
ACH-000320,-1.6982299552700002
ACH-000322,-2.2594685113099997
ACH-000323,-1.07266378111
ACH-000324,-1.83831268814
ACH-000329,-1.3905239434999999
ACH-000330,-1.96012134032
ACH-000331,-1.7060347806
ACH-000332,-1.9135943361099996
ACH-000334,-2.15988640769
ACH-000335,-1.68367927802
ACH-000336,-1.86681022439
ACH-000337,-2.2103449079099997
ACH-000339,-1.9631832755200003
ACH-000341,-2.07283623125
ACH-000348,-2.65483086846
ACH-000350,-2.44724346662
ACH-000352,-2.25203743496
ACH-000356,-1.58666175834
ACH-000361,-1.7691544108099997
ACH-000362,-2.25671609337
ACH-000363,-2.41225640903
ACH-000364,-1.1425002525299999
ACH-000365,-2.13096475561
ACH-000366,-1.9587274270599997
ACH-000368,-0.919893018506
ACH-000374,-1.9764778709
ACH-000375,-1.96234106874
ACH-000376,-1.48186782386
ACH-000381,-2.05378238801
ACH-000383,-2.41927378984
ACH-000387,-2.1224249663599997
ACH-000389,-1.26029230393
ACH-000390,-2.30410640442
ACH-000393,-0.687496004289
ACH-000395,-1.99541069271
ACH-000397,-2.26492815299
ACH-000401,-2.0118501976800003
ACH-000402,-1.8022910185799998
ACH-000403,-2.18630714537
ACH-000404,-2.06835340533
ACH-000406,-2.3246314332
ACH-000407,-0.956774787334
ACH-000408,-1.8024721641299999
ACH-000410,-1.81065343735
ACH-000411,-2.02602390133
ACH-000414,-1.53780787956
ACH-000415,-0.752613193319
ACH-000416,-1.9606663604400003
ACH-000420,-1.36008194243
ACH-000421,-1.84473916599
ACH-000424,-1.17878794049
ACH-000425,-2.06722812651
ACH-000426,-3.2360569194599997
ACH-000427,-1.79549799662
ACH-000433,-1.69606269541
ACH-000436,-2.1041459835900005
ACH-000444,-2.11504637001
ACH-000445,-1.7147323884399999
ACH-000448,-1.9469273116799999
ACH-000450,-2.45274946201
ACH-000452,-1.71447802287
ACH-000454,-1.96760647102
ACH-000458,-1.8418097663
ACH-000459,-3.3655896024699996
ACH-000460,-2.01232478886
ACH-000461,-2.25234767414
