,RING1 (6015)
ACH-000004,-0.202905998989
ACH-000007,0.135195699711
ACH-000009,-0.10540615088500001
ACH-000011,0.22508508801
ACH-000012,-0.110145637574
ACH-000013,-0.29561751641399997
ACH-000014,-0.020976209878099998
ACH-000015,-0.024825245851400002
ACH-000017,-0.6253352046149999
ACH-000018,0.00206900667911
ACH-000019,-0.304854284449
ACH-000021,-0.11577122618699999
ACH-000022,-0.0325815937934
ACH-000025,0.0030077878424
ACH-000028,-0.34956037722499994
ACH-000030,-0.130752323152
ACH-000035,-0.140642632968
ACH-000036,0.233049039123
ACH-000037,-0.105716129231
ACH-000039,-0.0457243700703
ACH-000040,-0.176942856996
ACH-000041,-0.0928074304903
ACH-000042,-0.0667047148941
ACH-000045,0.636198175895
ACH-000047,-0.05436321550559999
ACH-000052,-0.026117019420699997
ACH-000053,-0.327527407825
ACH-000054,0.0584053745033
ACH-000055,0.0649129211169
ACH-000060,0.0637163280789
ACH-000067,-0.148951748651
ACH-000070,-0.0789351032233
ACH-000075,-0.07519815345919999
ACH-000078,-0.287770251889
ACH-000082,-0.144857096004
ACH-000085,-0.15950283900999998
ACH-000086,-0.038524784155
ACH-000087,-0.10960474440300001
ACH-000092,-0.166487634695
ACH-000095,-0.40519487155
ACH-000097,-0.172284228721
ACH-000098,-0.06991027283989999
ACH-000099,-0.255497048809
ACH-000108,0.0643075451256
ACH-000113,-0.06643845304519999
ACH-000115,-0.7527067687540001
ACH-000116,-0.231367012627
ACH-000118,-0.0831805540175
ACH-000120,-0.159597873447
ACH-000123,-0.362353001171
ACH-000127,-0.030251353159400002
ACH-000128,-0.309248248365
ACH-000132,-0.225650180519
ACH-000133,-0.0935925223167
ACH-000137,-0.127749796451
ACH-000138,-0.0422946266761
ACH-000142,0.00039472695704600004
ACH-000143,-0.760506957007
ACH-000146,0.056343405276800006
ACH-000148,-0.158364486481
ACH-000150,-0.06639550754069999
ACH-000152,-0.305168511072
ACH-000153,-0.104969998951
ACH-000159,-0.0919618686423
ACH-000160,0.13497198639799998
ACH-000163,0.032525400404599995
ACH-000167,0.528223510456
ACH-000168,-0.300915398468
ACH-000169,-0.154357010524
ACH-000178,-0.0325384910828
ACH-000182,-0.0386873509151
ACH-000183,-0.124693277266
ACH-000188,-0.0155997877779
ACH-000189,-0.171323439531
ACH-000190,-0.0302003732014
ACH-000198,-0.7856778743389999
ACH-000204,-0.116206443443
ACH-000206,-0.0471413215027
ACH-000207,-0.210894757865
ACH-000211,-0.037643981067199996
ACH-000215,0.224675117284
ACH-000221,0.0075344310703499996
ACH-000222,0.118501237418
ACH-000223,-0.33066693672499997
ACH-000226,-0.15821938213300002
ACH-000227,-0.10697181265000001
ACH-000228,-0.0838249177069
ACH-000231,-0.154453709006
ACH-000232,0.212147566864
ACH-000233,-0.08014215423719999
ACH-000234,-0.10809616576199998
ACH-000235,-0.0463047236282
ACH-000237,-0.17808805772999997
ACH-000238,-0.17279957844500002
ACH-000243,-0.023379286698599996
ACH-000244,0.189958303891
ACH-000246,-0.0405866246315
ACH-000248,-0.20595207015099998
ACH-000250,0.10857616592199999
ACH-000251,-0.004471372005180001
ACH-000253,-0.155448617653
ACH-000255,0.0272730385145
ACH-000256,0.0446553451284
ACH-000257,0.150484349012
ACH-000258,0.0982140021298
ACH-000259,-0.060350431465800006
ACH-000260,-0.364215111493
ACH-000261,-0.05700091266769999
ACH-000262,0.207534584285
ACH-000263,0.031963486535
ACH-000264,0.114447509421
ACH-000265,0.0455930957668
ACH-000266,-0.238721266703
ACH-000272,-0.0531511639717
ACH-000273,-0.204823348264
ACH-000274,0.0253671221478
ACH-000277,-0.22749611011
ACH-000278,0.09231317648980002
