,GTPBP10 (85865)
ACH-000004,-0.0187607426841
ACH-000007,-0.39817966977799996
ACH-000009,-0.29540331902899997
ACH-000011,0.060939608114599995
ACH-000012,-0.480033323712
ACH-000013,-0.335836425872
ACH-000014,-0.247180508905
ACH-000015,-0.610384298284
ACH-000017,-0.110415926207
ACH-000018,-0.409639719499
ACH-000019,-0.398047845243
ACH-000021,-0.518813003605
ACH-000022,-0.346185240061
ACH-000025,-0.48312514266999995
ACH-000028,-0.789753099156
ACH-000030,-0.0373480185387
ACH-000035,-0.510598209341
ACH-000036,-0.068611059573
ACH-000037,-0.31346370702
ACH-000039,-0.405066800189
ACH-000040,-0.146228193325
ACH-000041,-0.31298052791700004
ACH-000042,-0.234507541224
ACH-000045,-0.416951882697
ACH-000047,-0.66388060616
ACH-000052,-0.133538136458
ACH-000053,-0.221620388648
ACH-000054,-0.407952776293
ACH-000055,-0.296454876496
ACH-000060,-0.242765466228
ACH-000067,-0.268312554189
ACH-000070,-0.5253750398260001
ACH-000075,-0.00474932102158
ACH-000078,-0.0216611306192
ACH-000082,-0.116531735069
ACH-000085,-0.0688945955025
ACH-000086,-0.5764124567769999
ACH-000087,-0.482812593153
ACH-000092,-0.291241966618
ACH-000095,-0.22519054358600002
ACH-000097,-0.333832177086
ACH-000098,-0.357866093405
ACH-000099,-0.37303739634800004
ACH-000108,-0.2319708936
ACH-000113,-0.786675783432
ACH-000115,-0.318218220911
ACH-000116,-0.12556936202299998
ACH-000118,-0.7179902828389999
ACH-000120,0.00826167395903
ACH-000123,-0.554406883427
ACH-000127,-0.6540737088440001
ACH-000128,-0.502592596999
ACH-000132,-0.0801007963688
ACH-000133,-0.35544719036399997
ACH-000137,-0.299660740581
ACH-000138,-0.250116310444
ACH-000142,-0.108204041764
ACH-000143,-0.456556144584
ACH-000146,-0.209758734249
ACH-000148,-0.491872654618
ACH-000150,-0.5688747205899999
ACH-000152,-0.168625076629
ACH-000153,-0.403095587222
ACH-000159,-0.218132496353
ACH-000160,-0.715378719495
ACH-000163,-0.296310947933
ACH-000167,-0.135395351321
ACH-000168,-0.116576312027
ACH-000169,-0.278398930246
ACH-000178,-0.174236509181
ACH-000182,-0.37881540641500006
ACH-000183,-0.1521571936
ACH-000188,-0.372382545281
ACH-000189,-0.402240093063
ACH-000190,-0.49899636803
ACH-000198,-0.542813308424
ACH-000204,-0.37282082496799995
ACH-000206,-0.24950831326099998
ACH-000207,-0.567647478527
ACH-000211,-0.282958122396
ACH-000215,-0.222147449511
ACH-000221,-0.657645336587
ACH-000222,-0.41161517420599997
ACH-000223,-0.46517322078100004
ACH-000226,-0.246753077346
ACH-000227,-0.326344321278
ACH-000228,-0.38073790827200005
ACH-000231,-0.0987660731432
ACH-000232,-0.301614997678
ACH-000233,-0.39518697773500006
ACH-000234,-0.32984460578200003
ACH-000235,-0.126880304002
ACH-000237,-0.154865058971
ACH-000238,-0.20187062495299998
ACH-000243,-0.17518685077799998
ACH-000244,-0.32538645708
ACH-000246,-0.397994662579
ACH-000248,-0.221230846807
ACH-000250,-0.0171988682578
ACH-000251,-0.376736389942
ACH-000253,-0.11365357253799999
ACH-000255,-0.420050542066
ACH-000256,-0.10432632494699999
ACH-000257,-0.44581882361
ACH-000258,-0.31168717364799997
ACH-000259,-0.586433428682
ACH-000260,-0.130755770425
ACH-000261,-0.12695939538599998
ACH-000262,-0.0196201701234
ACH-000263,-0.310059614807
ACH-000264,-0.344355703599
ACH-000265,-0.715087763001
ACH-000266,-0.23955996669799998
ACH-000272,-0.278276626512
ACH-000273,-0.270894361817
ACH-000274,-0.266412730393
ACH-000277,-0.280426047459
ACH-000278,-0.2873110324
ACH-000279,-0.489961048881
ACH-000280,-0.39335855309199996
ACH-000281,-0.508686687744
ACH-000288,-0.42330126889200004
ACH-000291,-0.24195036966699998
ACH-000293,-0.348380163934
ACH-000294,0.007025800078199999
ACH-000295,-0.328935653431
ACH-000296,-0.114976661475
ACH-000302,-0.29264778018599996
ACH-000304,-0.203229332689
ACH-000307,-0.18822137750100001
ACH-000308,-0.202017035506
ACH-000310,-0.212496607841
ACH-000311,-0.273274899289
ACH-000312,-0.102058231634
ACH-000315,-0.152516501747
ACH-000316,-0.14629032148399998
ACH-000317,-0.28458984417100003
ACH-000318,-0.34685116059500004
ACH-000319,-0.2512939161
ACH-000320,-0.408259218002
ACH-000322,-0.256101205178
ACH-000323,-0.344477469246
ACH-000324,-0.0900903652651
ACH-000329,-0.32257803318399997
ACH-000330,-0.395966947607
ACH-000331,-0.185786367691
ACH-000332,-0.09667686561889999
ACH-000334,-0.507542131247
ACH-000335,-0.273650789407
ACH-000336,-0.367814253494
ACH-000337,-0.36949507693000005
ACH-000339,-0.23767524397700002
ACH-000341,-0.462805553831
ACH-000348,-0.288539539672
ACH-000350,-0.259875989406
ACH-000352,-0.112760203231
ACH-000356,-0.433932453163
ACH-000361,-0.32544986590999997
ACH-000362,-0.19665090336399998
ACH-000363,-0.0851494940943
ACH-000364,-0.5753526765129999
ACH-000365,-0.300242637386
ACH-000366,-0.16441587479
ACH-000368,-0.331209860856
ACH-000374,-0.70176760641
ACH-000375,-0.504663546629
ACH-000376,-0.6008476785760001
ACH-000381,-0.48073700845
ACH-000383,-0.26097574963799997
ACH-000387,-0.213052270932
ACH-000389,0.0354024675755
ACH-000390,-0.281790679365
ACH-000393,-0.158648042372
ACH-000395,-0.16340344539
ACH-000397,-0.04520869931990001
ACH-000401,-0.40223140050399997
ACH-000402,-0.0673026595378
ACH-000403,-0.167713388011
ACH-000404,-0.297905316212
ACH-000406,-0.41967593422300004
ACH-000407,-0.265679766044
ACH-000408,-0.472673347795
ACH-000410,-0.22232976842099997
ACH-000411,-0.181925248672
