,OXLD1 (339229)
ACH-000004,-0.304630260735
ACH-000007,0.15063505452099998
ACH-000009,-0.23733667245700002
ACH-000011,-0.26768763130600004
ACH-000012,-0.266247233693
ACH-000013,0.0540557005514
ACH-000014,-0.0521900282647
ACH-000015,-0.186808353349
ACH-000017,-0.372193320751
ACH-000018,-0.231657726545
ACH-000019,-0.369451770791
ACH-000021,-0.10085007501
ACH-000022,-0.144757129616
ACH-000025,-0.191779885742
ACH-000028,-0.215907233347
ACH-000030,-0.20734243572299998
ACH-000035,0.143235726917
ACH-000036,-0.31475625266199997
ACH-000037,-0.330076472864
ACH-000039,0.0521759956846
ACH-000040,-0.193978342164
ACH-000041,-0.28673097458
ACH-000042,-0.294952710588
ACH-000045,-0.39876765568800004
ACH-000047,-0.311985674612
ACH-000052,-0.20082051504
ACH-000053,-0.104285186574
ACH-000054,-0.27423348347300003
ACH-000055,-0.5010901835
ACH-000060,-0.38479659598800003
ACH-000067,-0.202491386382
ACH-000070,0.14332208149700001
ACH-000075,-0.32146793581300004
ACH-000078,-0.426634570066
ACH-000082,-0.17020482954399999
ACH-000085,-0.11701073949799999
ACH-000086,-0.33555621096199995
ACH-000087,-0.286656048991
ACH-000092,-0.226308465925
ACH-000095,-0.21368010086
ACH-000097,-0.106764759332
ACH-000098,-0.0705577528993
ACH-000099,-0.303701862828
ACH-000108,-0.32468559473999997
ACH-000113,-0.0112609697003
ACH-000115,-0.317427291401
ACH-000116,-0.147272240158
ACH-000118,-0.512952196912
ACH-000120,-0.45268946729099996
ACH-000123,-0.0555457271724
ACH-000127,-0.144735940135
ACH-000128,-0.12613406473
ACH-000132,-0.10430194739399999
ACH-000133,-0.220575777639
ACH-000137,-0.09974430934709999
ACH-000138,-0.375831727619
ACH-000142,-0.443961688781
ACH-000143,0.09007530098330001
ACH-000146,-0.13953175627999997
ACH-000148,-0.289539384089
ACH-000150,-0.326494467678
ACH-000152,-0.386616876489
ACH-000153,-0.0572526009191
ACH-000159,-0.154699690154
ACH-000160,-0.0194791253074
ACH-000163,-0.161858017683
ACH-000167,0.0529488014729
ACH-000168,-0.178207071988
ACH-000169,-0.27305811306999994
ACH-000178,-0.154043927434
ACH-000182,-0.0623706781764
ACH-000183,0.0632307239375
ACH-000188,-0.312792187461
ACH-000189,0.253746973134
ACH-000190,-0.493887487824
ACH-000198,-0.257077627269
ACH-000204,-0.280623746777
ACH-000206,0.0179849626104
ACH-000207,-0.380749659869
ACH-000211,-0.295740676312
ACH-000215,-0.281114164276
ACH-000221,-0.141963759809
ACH-000222,-0.30926015348499997
ACH-000223,0.00136228640889
ACH-000226,-0.321533213113
ACH-000227,-0.253887772634
ACH-000228,-0.0121067083205
ACH-000231,-0.32120280835000004
ACH-000232,-0.140780143735
ACH-000233,-0.161874144706
ACH-000234,-0.204115993547
ACH-000235,-0.209511415263
ACH-000237,-0.24935389392299998
ACH-000238,-0.439725952844
ACH-000243,-0.265072562873
ACH-000244,-0.20962701224
ACH-000246,-0.223194179584
ACH-000248,-0.26164594041
ACH-000250,-0.22344796934500002
ACH-000251,-0.189755309732
ACH-000253,-0.327296674617
ACH-000255,-0.383805400208
ACH-000256,-0.308775950371
ACH-000257,-0.468923376724
ACH-000258,-0.128084107448
ACH-000259,-0.4197758637
ACH-000260,-0.238395341197
ACH-000261,-0.365322313928
ACH-000262,-0.0757077340777
ACH-000263,-0.17603883448399998
ACH-000264,-0.25929064221299997
ACH-000265,-0.07191257897339999
ACH-000266,-0.310956924624
ACH-000272,-0.0153170994389
ACH-000273,-0.164197683441
ACH-000274,-0.183354649395
ACH-000277,-0.429706447648
ACH-000278,-0.277629974791
ACH-000279,-0.102080330453
ACH-000280,-0.0686163942958
ACH-000281,-0.19178899950599998
ACH-000288,-0.38757126514
