,CCNL1 (57018)
ACH-000004,-0.301423159015
ACH-000007,-0.692376970962
ACH-000009,-1.05163569273
ACH-000011,-0.9411001065510001
ACH-000012,-0.625905230665
ACH-000013,-0.173583807542
ACH-000014,-0.9046014674959999
ACH-000015,-0.43244072653399995
ACH-000017,-0.372756374146
ACH-000018,-0.386684502962
ACH-000019,-0.38882454813199996
ACH-000021,-0.480286193736
ACH-000022,-0.749379815407
ACH-000025,-0.9511297483869999
ACH-000028,-0.446317094226
ACH-000030,-0.8277972851440001
ACH-000035,-0.9390263329009999
ACH-000036,-0.329026593125
ACH-000037,-0.658318525518
ACH-000039,-0.826194500495
ACH-000040,-0.8520772573370001
ACH-000041,-0.273151299914
ACH-000042,-0.170891710759
ACH-000045,-0.610520420796
ACH-000047,-1.02654856553
ACH-000052,-0.714078165671
ACH-000053,-0.741339772282
ACH-000054,-0.727219657491
ACH-000055,-0.428479609687
ACH-000060,-0.48805610003899996
ACH-000067,-0.531794160775
ACH-000070,-0.745129401472
ACH-000075,-0.53451070396
ACH-000078,-1.05842599964
ACH-000082,-0.711025653521
ACH-000085,-0.35029279605400004
ACH-000086,-0.5085619067930001
ACH-000087,-0.780300545336
ACH-000092,-0.85593287944
ACH-000095,-0.575762012014
ACH-000097,-0.676286143917
ACH-000098,-0.38955611763899994
ACH-000099,-1.0636835142
ACH-000108,-0.591291648524
ACH-000113,-1.2047521882799999
ACH-000115,-0.405741735708
ACH-000116,-0.41716663899000006
ACH-000118,-0.547239274365
ACH-000120,-1.00618175589
ACH-000123,-0.6512969365869999
ACH-000127,-1.0331833105500001
ACH-000128,-0.41903088750699996
ACH-000132,-0.393249702721
ACH-000133,-0.7116731473989999
ACH-000137,-0.842518720832
ACH-000138,-0.654492422474
ACH-000142,-0.503020070624
ACH-000143,-0.5204177694650001
ACH-000146,-0.10488058177300001
ACH-000148,-0.637568056458
ACH-000150,-0.2881627361
ACH-000152,-0.6481156435140001
ACH-000153,-0.800877388453
ACH-000159,-0.569042712366
ACH-000160,-0.579072163015
ACH-000163,-0.713134439886
ACH-000167,-0.933297614414
ACH-000168,-0.540903996655
ACH-000169,-0.301557871834
ACH-000178,-0.470271965954
ACH-000182,-0.46981388811999997
ACH-000183,-0.509395935866
ACH-000188,-0.584637755096
ACH-000189,-0.884466685413
ACH-000190,-0.694584829217
ACH-000198,-0.45291989649400005
ACH-000204,-0.74496608512
ACH-000206,-0.7204940769979999
ACH-000207,-0.379491314692
ACH-000211,-1.2872527655
ACH-000215,-0.611510623263
ACH-000221,-0.414404533486
ACH-000222,-0.590923722188
ACH-000223,-0.472037712963
ACH-000226,-0.646087424993
ACH-000227,-1.2830081723
ACH-000228,-0.456860111641
ACH-000231,-0.46016521804399996
ACH-000232,-0.581493377275
ACH-000233,-0.8378643217370001
ACH-000234,-0.6842143863079999
ACH-000235,-0.5955419101730001
ACH-000237,-0.587840254722
ACH-000238,-0.868474616323
ACH-000243,-1.1152371486700001
ACH-000244,-0.572191039547
ACH-000246,-0.6797544908319999
ACH-000248,-0.155534630753
ACH-000250,-0.553901902248
ACH-000251,-0.8387190201029999
ACH-000253,-0.474355041339
ACH-000255,-0.610161696884
ACH-000256,-0.482874416234
ACH-000257,-0.44627351268999993
ACH-000258,-0.325195577408
ACH-000259,-0.457809039323
ACH-000260,-0.645135943599
ACH-000261,-1.02334934734
ACH-000262,-1.00744546369
ACH-000263,-0.625327147857
ACH-000264,-0.955872653167
ACH-000265,-0.519926931686
ACH-000266,-0.44654740529
ACH-000272,-0.612867921346
ACH-000273,-0.934088914753
ACH-000274,-0.424745161141
ACH-000277,-0.613142424438
ACH-000278,-0.385633119805
ACH-000279,-0.42197950273199997
ACH-000280,0.0210012960615
ACH-000281,-0.536363163973
ACH-000288,-0.457670720576
ACH-000291,-0.38167510852
ACH-000293,-0.45298815612899995
ACH-000294,-0.734143817108
ACH-000295,-0.6942207934379999
ACH-000296,-0.6603093977669999
ACH-000302,-0.621860510665
ACH-000304,-0.66444116382
ACH-000307,-0.186636408481
ACH-000308,-0.376597397236
ACH-000310,-0.962884996656
ACH-000311,-0.47408940002300004
ACH-000312,-0.755453218581
ACH-000315,-0.659122562728
ACH-000316,-0.387180083445
ACH-000317,-0.931747670212
ACH-000318,-0.803347711021
ACH-000319,-0.474698990955
ACH-000320,-0.7247838031980001
ACH-000322,-0.731539700266
ACH-000323,-0.467734417257
ACH-000324,-0.986917034788
ACH-000329,-0.566799701728
ACH-000330,-1.2962900151299999
ACH-000331,-0.847471333122
ACH-000332,-0.49139944851800005
ACH-000334,-0.614699829034
ACH-000335,-0.680810482215
ACH-000336,-0.5375724575590001
ACH-000337,-0.421177836592
ACH-000339,-0.42156835888800004
ACH-000341,-0.558291910651
ACH-000348,-0.659507691393
ACH-000350,-0.295032934712
ACH-000352,-0.744598624092
ACH-000356,-0.6098695636779999
ACH-000361,-0.833905240496
ACH-000362,-0.65161847956
ACH-000363,-1.15547559269
ACH-000364,-0.6553243547909999
ACH-000365,-0.9725085758769999
ACH-000366,-0.8898718161370001
ACH-000368,-0.41289700882200003
ACH-000374,-0.649262478381
ACH-000375,-0.49990669989299996
ACH-000376,-0.6444396711379999
ACH-000381,-0.969304104094
ACH-000383,-0.9587221834819999
ACH-000387,-0.447501126721
ACH-000389,-0.147514853808
ACH-000390,-0.70154616734
ACH-000393,-0.844793081921
ACH-000395,-0.5994010161509999
ACH-000397,-1.2030879674600001
ACH-000401,-0.5643719101770001
ACH-000402,-0.29537673282
ACH-000403,-0.648214103297
ACH-000404,-0.6634009521509999
ACH-000406,-0.50201618788
ACH-000407,-0.751491229798
ACH-000408,-1.06131252276
ACH-000410,-0.449997656227
ACH-000411,-0.928298290016
ACH-000414,-0.552366048362
ACH-000415,-0.352809171919
ACH-000416,-0.497593275569
ACH-000420,-0.590452672031
ACH-000421,-0.38361711809
ACH-000424,-0.78868595338
ACH-000425,-0.9447289285200001
ACH-000426,-0.820375809237
ACH-000427,-0.597125871809
ACH-000433,-0.537742369728
ACH-000436,-0.553999463587
ACH-000444,-1.02067477331
ACH-000445,-0.370999600714
ACH-000448,-0.728546763819
ACH-000450,-0.5846983272190001
ACH-000452,-0.531794467758
ACH-000454,-0.636135639047
ACH-000458,-0.183977355594
ACH-000459,-0.515447937352
ACH-000460,-0.889871706072
ACH-000461,-0.420969950375
ACH-000463,-0.9221215470280001
ACH-000464,-0.7403549528200001
ACH-000466,-0.281349050313
ACH-000467,-0.953119370125
ACH-000468,-0.860748692273
ACH-000469,-0.532690903034
ACH-000470,-0.588881472311
ACH-000471,-0.46582743158600004
ACH-000472,-0.799443895895
ACH-000473,-0.6998391368670001
ACH-000475,-0.38780198295999996
ACH-000476,-0.40596261450300003
ACH-000477,-0.658718245852
ACH-000480,-0.18897879140299997
ACH-000481,-0.7561607362649999
ACH-000483,-0.21113010160100001
ACH-000484,-0.659286549685
ACH-000485,-0.5377353296090001
ACH-000486,-0.145511208812
ACH-000487,-0.40611673719
ACH-000488,-0.5270581743949999
ACH-000490,-0.811459967047
ACH-000491,-0.646066287211
ACH-000495,-0.8856030748170001
ACH-000496,-0.68855819036
ACH-000499,-0.727814570148
ACH-000500,-0.295912625728
ACH-000502,-1.1550155661
