,MYCBPAP (84073)
ACH-000004,-0.12579638119699998
ACH-000007,-0.0531881026102
ACH-000009,-0.344806479775
ACH-000011,-0.052677349089699996
ACH-000012,-0.269785353368
ACH-000013,-0.13157356772099998
ACH-000014,0.09965169073989999
ACH-000015,-0.15651556794399998
ACH-000017,-0.0308984629332
ACH-000018,0.041803304631500005
ACH-000019,-0.204977126323
ACH-000021,-0.15012230762599998
ACH-000022,-0.17216296892000002
ACH-000025,-0.14458980453700002
ACH-000028,-0.237661844958
ACH-000030,-0.264976764219
ACH-000035,-0.378133878537
ACH-000036,-0.45194016665
ACH-000037,-0.219422457981
ACH-000039,-0.369845003213
ACH-000040,-0.298480140748
ACH-000041,-0.272905133691
ACH-000042,-0.357594668442
ACH-000045,-0.17315888215599998
ACH-000047,-0.345200043645
ACH-000052,-0.272323162043
ACH-000053,-0.18798703751899998
ACH-000054,-0.22389398642799999
ACH-000055,0.044383695303100004
ACH-000060,-0.0469936245149
ACH-000067,-0.18203766801899998
ACH-000070,-0.18186431981400003
ACH-000075,-0.276453196019
ACH-000078,-0.439012056175
ACH-000082,-0.156096545262
ACH-000085,-0.28216191190699996
ACH-000086,-0.18362251955800002
ACH-000087,-0.10628563172599999
ACH-000092,-0.158512146977
ACH-000095,-0.309909751172
ACH-000097,-0.15593599038
ACH-000098,-0.169477751948
ACH-000099,-0.252430546747
ACH-000108,-0.154809622466
ACH-000113,-0.123900824028
ACH-000115,-0.142128864594
ACH-000116,-0.18841587577899999
ACH-000118,-0.18770918311700002
ACH-000120,-0.591595738631
ACH-000123,-0.18005432092300003
ACH-000127,-0.0560234733337
ACH-000128,-0.109420921831
ACH-000132,0.0353734191689
ACH-000133,-0.107469420129
ACH-000137,-0.27389527741999997
ACH-000138,-0.38020017996699995
ACH-000142,-0.36051928647799997
ACH-000143,-0.12035784119000001
ACH-000146,-0.237420433065
ACH-000148,-0.31363024285
ACH-000150,-0.282792130046
ACH-000152,-0.237340190875
ACH-000153,-0.0247166993716
ACH-000159,-0.167442142294
ACH-000160,-0.115433825998
ACH-000163,-0.439382483641
ACH-000167,0.0655005258359
ACH-000168,-0.178489443708
ACH-000169,-0.115118394879
ACH-000178,-0.16132187111
ACH-000182,-0.173623368897
ACH-000183,-0.267274087478
ACH-000188,-0.0947209120645
ACH-000189,-0.39185895857299996
ACH-000190,-0.246871805658
ACH-000198,-0.0009079819135120001
ACH-000204,-0.375659219925
ACH-000206,0.13650208187100002
ACH-000207,-0.186339349641
ACH-000211,-0.173271614639
ACH-000215,-0.221883059132
ACH-000221,-0.172673731201
ACH-000222,-0.08062140304019999
ACH-000223,-0.130942447201
ACH-000226,-0.196987485561
ACH-000227,-0.012061333072899999
ACH-000228,-0.16793606567400002
ACH-000231,-0.236752364534
ACH-000232,-0.00159414744201
ACH-000233,-0.061711919369900003
ACH-000234,-0.16954204157000002
ACH-000235,-0.270656126434
ACH-000237,-0.106113925546
ACH-000238,-0.436923601734
ACH-000243,-0.31281686723499996
ACH-000244,-0.271538676742
ACH-000246,-0.335150112053
ACH-000248,-0.321443920418
ACH-000250,-0.15868754786699998
ACH-000251,-0.0333427203908
ACH-000253,-0.0279899126475
ACH-000255,-0.295512270132
ACH-000256,-0.500020409931
ACH-000257,-0.173514062273
ACH-000258,-0.137690307304
