,STK31 (56164)
ACH-000232,-0.010334795252
ACH-000233,0.0709753705743
ACH-000234,0.18931996881700003
ACH-000235,0.18767576741500003
ACH-000237,-0.0153081312806
ACH-000238,0.139274935829
ACH-000243,0.14327629897500002
ACH-000244,0.10572137871
ACH-000246,0.054598171650099996
ACH-000248,0.171821301085
ACH-000250,0.060947781182699994
ACH-000251,0.0816303498239
ACH-000253,0.262569691054
ACH-000255,0.16322420171399998
ACH-000256,0.401902692901
ACH-000257,0.209827710696
ACH-000258,0.106304974913
ACH-000259,0.0964516216029
ACH-000260,0.193817087033
ACH-000261,0.35955450029799996
ACH-000262,0.40120762908600005
ACH-000263,0.310751588086
ACH-000264,0.153368441131
ACH-000265,0.157779660134
ACH-000266,0.0856330509425
ACH-000272,0.107484608311
ACH-000273,0.147431889489
ACH-000274,0.34204988567100003
ACH-000277,0.088959660567
ACH-000278,0.0342026272855
ACH-000279,0.11952678950899999
ACH-000280,0.198130639665
ACH-000281,-0.0240872527407
ACH-000288,0.104722508129
ACH-000291,0.213707444809
ACH-000293,0.18630039700399997
ACH-000294,0.155791709549
ACH-000295,-0.18923191065099998
ACH-000296,0.0200152256898
ACH-000302,0.174159841941
ACH-000304,-0.172904994762
ACH-000307,0.23016164110100001
ACH-000308,0.136755584625
ACH-000310,-0.0551663436164
ACH-000311,0.0499328485521
ACH-000312,0.05326564924459999
ACH-000315,0.295031203577
ACH-000316,0.029174460438900002
ACH-000317,0.170183371058
ACH-000318,0.15257906975500002
ACH-000319,0.0694618516595
ACH-000320,0.41844112571599995
ACH-000322,-0.0122499291969
ACH-000323,0.24053930699999998
ACH-000324,0.0996946108605
ACH-000329,0.0604168713071
ACH-000330,0.422566464533
ACH-000331,0.219515564741
ACH-000332,0.12710366615399998
ACH-000334,0.47274296706
ACH-000335,0.24331597883699999
ACH-000336,0.30150350805
ACH-000337,0.12037643101199999
ACH-000339,0.153968200299
ACH-000341,-0.0241921891775
ACH-000348,0.295032344525
ACH-000350,0.0674672243718
ACH-000352,0.110374373595
ACH-000356,0.0344795242034
ACH-000361,-0.140007910461
ACH-000362,0.09226507108689999
ACH-000363,0.12467885420999998
ACH-000364,0.199423317104
ACH-000365,0.10119677824100001
ACH-000366,0.08079887621010001
ACH-000368,0.10836392075899999
ACH-000374,0.254945550266
ACH-000375,0.419862208806
ACH-000376,0.206198121699
ACH-000381,0.0328131748287
ACH-000383,0.19938137302700001
ACH-000387,-0.0447269751026
ACH-000389,-0.0255728812757
ACH-000390,0.285438772372
ACH-000393,0.0927190346972
ACH-000395,-0.170361557626
ACH-000397,0.07565170114969999
ACH-000401,0.277526872291
ACH-000402,-0.397308220859
ACH-000403,0.055939968568699996
ACH-000404,0.421087913798
ACH-000406,0.10866465206499999
ACH-000407,0.17654198256200002
ACH-000408,0.27710246486900003
ACH-000410,0.0834002030204
ACH-000411,0.0418672764675
ACH-000414,0.183717896241
ACH-000415,0.101465470744
ACH-000416,0.0950295457888
ACH-000420,0.10071781206199999
ACH-000421,0.216041525422
ACH-000424,0.6272740349600001
ACH-000425,0.065751645308
ACH-000426,0.116991000686
ACH-000427,0.144373373537
ACH-000433,0.14856716908700002
ACH-000436,-0.0313919946316
ACH-000444,0.0724475004442
ACH-000445,0.08252179802689999
ACH-000448,0.059744511294800004
ACH-000450,0.238109332177
ACH-000452,0.129165686535
ACH-000454,0.288280375912
ACH-000458,0.397796699152
