,PPOX (5498)
ACH-000004,-0.09167505392339999
ACH-000007,-0.0110955294476
ACH-000009,-0.21510061564199998
ACH-000011,0.0396538605558
ACH-000012,-0.230289728904
ACH-000013,-0.0890601114759
ACH-000014,-0.254258822549
ACH-000015,-0.07320936132969999
ACH-000017,0.0132335990558
ACH-000018,-0.206152703164
ACH-000019,-0.0761810774015
ACH-000021,-0.0738678947988
ACH-000022,-0.09838680127669999
ACH-000025,-0.128789834517
ACH-000028,-0.214811454966
ACH-000030,-0.468372169964
ACH-000035,-0.103131834476
ACH-000036,-0.022741722955299998
ACH-000037,-0.109436865061
ACH-000039,-0.0519159409748
ACH-000040,-0.22151132955699998
ACH-000041,-0.035543089580099996
ACH-000042,-0.0246567054654
ACH-000045,-0.289562524091
ACH-000047,-0.167721752245
ACH-000052,-0.167151803603
ACH-000053,-0.07084975365339999
ACH-000054,-0.0306661096343
ACH-000055,-0.28355519003400004
ACH-000060,-0.0754549992579
ACH-000067,0.0366152663419
ACH-000070,-0.4197060572
ACH-000075,-0.403965601052
ACH-000078,0.09926818347660002
ACH-000082,-0.25583426909
ACH-000085,0.0808404520463
ACH-000086,-0.307593263453
ACH-000087,-0.10499648216700001
ACH-000092,-0.337310107684
ACH-000095,-0.053137341312
ACH-000097,-0.17603360859900002
ACH-000098,-0.095502424092
ACH-000099,-0.0926335180943
ACH-000108,-0.206860286012
ACH-000113,-0.731289434138
ACH-000115,0.00127651081477
ACH-000116,-0.138404856654
ACH-000118,-0.126792917339
ACH-000120,0.0656577277309
ACH-000123,0.00413272435304
ACH-000127,-0.0729281705391
ACH-000128,0.00742927322213
ACH-000132,-0.0829730542952
ACH-000133,-0.158174856198
ACH-000137,-0.180481576484
ACH-000138,-0.139854375226
ACH-000142,-0.192425965195
ACH-000143,-0.126349288196
ACH-000146,-0.132814542462
ACH-000148,-0.183101047847
ACH-000150,-0.6199460278719999
ACH-000152,-0.180928201129
ACH-000153,-0.446598523275
ACH-000159,-0.19237264346900002
ACH-000160,0.050963101211400005
ACH-000163,-0.196350447444
ACH-000167,-0.016171716505
ACH-000168,-0.08532555712300001
ACH-000169,-0.0864999748662
ACH-000178,0.09592342510289999
ACH-000182,-0.09797270710020001
ACH-000183,-0.308921131461
ACH-000188,0.00482979686916
ACH-000189,-0.44448182206799997
ACH-000190,-0.096727886845
ACH-000198,-0.425742438672
ACH-000204,-0.328773448352
ACH-000206,-0.0756377014066
ACH-000207,-0.161489685998
ACH-000211,-0.0309220027917
ACH-000215,-0.126616054914
ACH-000221,-0.32713924649500004
ACH-000222,-0.181379964818
ACH-000223,-0.0936610266299
ACH-000226,0.020906515942500002
ACH-000227,0.223795287995
ACH-000228,-0.223837760048
ACH-000231,-0.0176566373845
ACH-000232,-0.07369643569360002
ACH-000233,-0.0320975096155
ACH-000234,-0.40483037979900005
ACH-000235,-0.146413867649
ACH-000237,0.0763038006457
ACH-000238,0.008611280734850001
ACH-000243,-0.217633763684
ACH-000244,-0.216753264857
ACH-000246,-0.126839702821
ACH-000248,0.0312609648358
ACH-000250,-0.0535330687915
ACH-000251,-0.141831034711
ACH-000253,-0.0679298411162
ACH-000255,-0.107052091641
ACH-000256,-0.0200892297917
ACH-000257,-0.14228041085999998
ACH-000258,-0.140412667392
ACH-000259,-0.141870324307
ACH-000260,0.005925969225989999
ACH-000261,-0.0846427916725
ACH-000262,0.12128840434900001
ACH-000263,-0.0546769626764
ACH-000264,-0.18630334281599997
ACH-000265,0.0449304438189
ACH-000266,-0.07151212923889999
ACH-000272,-0.0750292916814
ACH-000273,-0.138625071422
ACH-000274,0.0760823191164
ACH-000277,0.0286826628347
ACH-000278,-0.08278012351530001
ACH-000279,0.0875127085709
ACH-000280,-0.0820151967075
ACH-000281,-0.295652386535
ACH-000288,-0.19981966961800002
ACH-000291,-0.124907961334
ACH-000293,-0.18924242718400003
ACH-000294,0.849388130074
ACH-000295,-0.04026108919140001
ACH-000296,-0.199395496402
ACH-000302,-0.178143616555
ACH-000304,-0.150641520924
ACH-000307,-0.0832161661258
ACH-000308,-0.147683331182
ACH-000310,0.26922518458
ACH-000311,-0.18998316596200002
ACH-000312,-0.0213076637915
ACH-000315,0.16539072427999998
ACH-000316,-0.11422992365599999
ACH-000317,-0.324261257503
ACH-000318,-0.17052187770100002
ACH-000319,-0.0812186024309
ACH-000320,-0.163610689629
ACH-000322,-0.224247767822
ACH-000323,-0.0410777215119
ACH-000324,-0.158568779928
ACH-000329,-0.13896229278799999
ACH-000330,0.0635332978005
