,PTH2 (113091)
ACH-000004,0.107801650055
ACH-000007,0.16597317143100002
ACH-000009,0.0228634210323
ACH-000011,-0.25775538453499997
ACH-000012,-0.00890357890952
ACH-000013,-0.178534614384
ACH-000014,0.07128381544260001
ACH-000015,-0.0901142121014
ACH-000017,0.0363642780456
ACH-000018,-0.108112890546
ACH-000019,0.030351485383700003
ACH-000021,0.000496578243611
ACH-000022,-0.104780276785
ACH-000025,0.0859374880398
ACH-000028,-0.00714732082973
ACH-000030,-0.037703499043300004
ACH-000035,0.31188635262200004
ACH-000036,-0.0219708422788
ACH-000037,0.0452457603532
ACH-000039,0.0952490414549
ACH-000040,-0.057299781400499995
ACH-000041,-0.0308205822701
ACH-000042,0.052460978865
ACH-000045,-0.0718060206486
ACH-000047,-0.110320770059
ACH-000052,-0.0957104918619
ACH-000053,0.046744461132500005
ACH-000054,-0.019537156073599998
ACH-000055,-0.24295695255199998
ACH-000060,-0.0184139461423
ACH-000067,-0.0289048094128
ACH-000070,0.0346800121623
ACH-000075,0.163365226514
ACH-000078,0.093160711729
ACH-000082,-0.069977296221
ACH-000085,-0.0536833240817
ACH-000086,0.0118984963182
ACH-000087,-0.160097485041
ACH-000092,-0.0131371397204
ACH-000095,0.0569703493324
ACH-000097,0.11454986774499999
ACH-000098,0.026639477073
ACH-000099,0.107540418904
ACH-000108,-0.0700729568147
ACH-000113,-0.074203598516
ACH-000115,-0.240392605311
ACH-000116,-0.0805659793436
ACH-000118,0.0369335032844
ACH-000120,0.052948872731800004
ACH-000123,0.142183420477
ACH-000127,0.14235959985899999
ACH-000128,-0.0710587384435
ACH-000132,0.0376878980568
ACH-000133,0.0450568274643
ACH-000137,-0.140671408163
ACH-000138,-0.057169647549599995
ACH-000142,-0.0855113515088
ACH-000143,-0.07589441766919999
ACH-000146,-0.0227590977788
ACH-000148,0.0713106474814
ACH-000150,0.0317151777862
ACH-000152,-0.060891875437900006
ACH-000153,-0.132396820931
ACH-000159,0.0609748988272
ACH-000160,0.0328205398633
ACH-000163,-0.154797565753
ACH-000167,0.09933709427130001
ACH-000168,0.370918586356
ACH-000169,0.125070016131
ACH-000178,0.0204674364252
ACH-000182,-0.022273421650400003
ACH-000183,-0.06530626755880001
ACH-000188,-0.095626758587
ACH-000189,-0.11581684536800001
ACH-000190,0.123684065176
ACH-000198,0.0161431545892
ACH-000204,0.165451917734
ACH-000206,0.10605534034700001
ACH-000207,-0.08758298040319999
ACH-000211,-0.019865576878799997
ACH-000215,-0.0380486093801
ACH-000221,0.126076816517
ACH-000222,0.0271341685743
ACH-000223,0.24471831271400002
ACH-000226,-0.0529669942014
ACH-000227,0.246569345121
ACH-000228,0.19285325848
ACH-000231,0.047821097535199995
ACH-000232,0.07276484872000001
ACH-000233,0.0023571022118
ACH-000234,-0.221895560544
ACH-000235,-0.0254568061228
ACH-000237,0.107302341931
ACH-000238,-0.0180735458261
ACH-000243,0.145868535741
ACH-000244,0.046519773335499996
ACH-000246,0.00787925500511
ACH-000248,-0.0588197303639
ACH-000250,0.0276425530033
ACH-000251,0.0623842849063
ACH-000253,-0.150233208242
ACH-000255,-0.0837842681125
ACH-000256,-0.114614906525
ACH-000257,0.08507367892010001
ACH-000258,0.0324158905018
ACH-000259,0.0285705558873
ACH-000260,-0.10710265917199999
ACH-000261,0.0576880004729
ACH-000262,0.18478682697999999
ACH-000263,0.00983887932377
ACH-000264,0.191810659347
ACH-000265,-0.0434300335492
ACH-000266,-0.00597998670758
ACH-000272,0.0674323848262
ACH-000273,0.0176923755181
ACH-000274,0.0674679205599
ACH-000277,0.244157444483
ACH-000278,0.0929366029265
ACH-000279,0.08397441407299999
ACH-000280,-0.16899720392
