,TECR (9524)
ACH-000004,-0.18370626414299998
ACH-000007,-0.182381907632
ACH-000009,-0.12689399507500002
ACH-000011,-0.213416849429
ACH-000012,-0.312576864672
ACH-000013,-0.22133074167199998
ACH-000014,-0.178090259786
ACH-000015,-0.389354350791
ACH-000017,-0.305273571821
ACH-000018,-0.3794248755
ACH-000019,-0.267993354442
ACH-000021,-0.419940105029
ACH-000022,-0.237231530711
ACH-000025,-0.7212615937369999
ACH-000028,-0.321639264044
ACH-000030,-0.7008516639560001
ACH-000035,-0.180833268968
ACH-000036,-0.449970669072
ACH-000037,0.0287180172458
ACH-000039,-0.147523809655
ACH-000040,-0.5055022468379999
ACH-000041,-0.312011031648
ACH-000042,-0.283337501107
ACH-000045,-0.630861166229
ACH-000047,-0.137893167924
ACH-000052,-0.132020733225
ACH-000053,-0.215164045926
ACH-000054,-0.308539884254
ACH-000055,0.0255458002215
ACH-000060,-0.24225675146899997
ACH-000067,-0.51111857891
ACH-000070,-0.273325320537
ACH-000075,-0.29073372077599996
ACH-000078,-0.34679765187399997
ACH-000082,-0.12445007094699999
ACH-000085,-0.271300790789
ACH-000086,-0.41488199247100005
ACH-000087,-0.368508172317
ACH-000092,-0.5289131868779999
ACH-000095,-0.232247381972
ACH-000097,0.01615840787
ACH-000098,-0.653587644511
ACH-000099,-0.154279243867
ACH-000108,-0.37034824915799996
ACH-000113,-0.21023739421
ACH-000115,-0.219090591538
ACH-000116,-0.348878744634
ACH-000118,0.0339487326075
ACH-000120,-0.181064304131
ACH-000123,-0.38335975668000005
ACH-000127,-0.18764922151299998
ACH-000128,-0.500455610147
ACH-000132,-0.302282208697
ACH-000133,-0.664457894949
ACH-000137,-0.207707566939
ACH-000138,-0.253166713699
ACH-000142,-0.311524404717
ACH-000143,-0.14342644127499998
ACH-000146,-0.307308459609
ACH-000148,-0.22274168495000002
ACH-000150,-0.231065598438
ACH-000152,-0.45435174417499996
ACH-000153,-0.118551023453
ACH-000159,-0.332077997729
ACH-000160,-0.116729935067
ACH-000163,-0.634987240313
ACH-000167,-0.309689395194
ACH-000168,-0.399429332545
ACH-000169,-0.261490649387
ACH-000178,-0.321300296058
ACH-000182,-0.253400210115
ACH-000183,-0.244698300453
ACH-000188,-0.40886969934699996
ACH-000189,-0.576573018875
ACH-000190,-0.0982134679687
ACH-000198,-0.240665649457
ACH-000204,-0.19882392796700002
ACH-000206,-0.492013033175
ACH-000207,-0.100633016876
ACH-000211,-0.28697224718000003
ACH-000215,-0.41513093397100004
ACH-000221,-0.462361403846
ACH-000222,-0.174213821766
ACH-000223,-0.24236890892700003
ACH-000226,-0.242800667103
ACH-000227,-0.255908629596
ACH-000228,-0.33065611994399996
ACH-000231,-0.307492793642
ACH-000232,-0.281978916205
ACH-000233,-0.34208678094800005
ACH-000234,-0.17927910509300002
ACH-000235,-0.245018412328
ACH-000237,-0.24095223189399997
ACH-000238,-0.415689281753
ACH-000243,-0.300181668393
ACH-000244,-0.229817270487
ACH-000246,-0.08044924998700001
ACH-000248,-0.269127672485
ACH-000250,-0.0271216918295
ACH-000251,-0.301209117377
ACH-000253,-0.27237778626
ACH-000255,-0.284882604987
ACH-000256,0.0715616850108
ACH-000257,-0.368437391518
ACH-000258,-0.083492847056
ACH-000259,-0.111304367107
ACH-000260,-0.231749687548
ACH-000261,-0.23835500844500002
ACH-000262,-0.318220958624
ACH-000263,-0.522182787325
ACH-000264,-0.152181003805
ACH-000265,-0.17390051182500002
ACH-000266,-0.125348379617
ACH-000272,-0.232561798717
ACH-000273,-0.407867519441
ACH-000274,-0.187616739522
ACH-000277,-0.315903359157
ACH-000278,-0.225886343999
ACH-000279,-0.199779091809
ACH-000280,-0.338480271103
