,TPR (7175)
ACH-000004,-0.900458873345
ACH-000007,-0.991733434454
ACH-000009,-1.08991756942
ACH-000011,-1.0683815547
ACH-000012,-1.11277358639
ACH-000013,-1.1567776912
ACH-000014,-0.954827171956
ACH-000015,-0.973525568807
ACH-000017,-0.986789683005
ACH-000018,-0.935994747077
ACH-000019,-0.9522095172589999
ACH-000021,-0.990775832004
ACH-000022,-0.855121479726
ACH-000025,-1.1654731065200001
ACH-000028,-1.2100282082
ACH-000030,-0.8568185511249999
ACH-000035,-1.0697051667
ACH-000036,-0.9237868980689999
ACH-000037,-0.415780814473
ACH-000039,-1.09869438847
ACH-000040,-0.648512745983
ACH-000041,-0.8983240791730001
ACH-000042,-1.09574868398
ACH-000045,-0.8190115869779999
ACH-000047,-1.35578733655
ACH-000052,-1.01510453461
ACH-000053,-0.8403339203489999
ACH-000054,-0.759828420235
ACH-000055,-1.09193831769
ACH-000060,-1.18802285074
ACH-000067,-1.05745933031
ACH-000070,-0.826303441538
ACH-000075,-0.834700462189
ACH-000078,-0.7608189979019999
ACH-000082,-0.958784172474
ACH-000085,-1.1901530462999999
ACH-000086,-0.735619185522
ACH-000087,-0.999422621021
ACH-000092,-1.04259958236
ACH-000095,-0.9697901047799998
ACH-000097,-0.7825021742370001
ACH-000098,-0.806281643511
ACH-000099,-0.9452715478120001
ACH-000108,-1.0516669224700002
ACH-000113,-0.943942009885
ACH-000115,-1.1023544047700002
ACH-000116,-1.0000051817
ACH-000118,-1.2430493866299999
ACH-000120,-1.02218148177
ACH-000123,-0.935675132166
ACH-000127,-0.8709040665719999
ACH-000128,-0.634878227375
ACH-000132,-1.13222142791
ACH-000133,-1.13315164876
ACH-000137,-0.9846759443549999
ACH-000138,-0.9096868929180001
ACH-000142,-1.15288332575
ACH-000143,-1.21204665692
ACH-000146,-0.894557050328
ACH-000148,-1.03780407721
ACH-000150,-0.843842305039
ACH-000152,-0.9536106108
ACH-000153,-1.4547767271
ACH-000159,-0.932774726938
ACH-000160,-0.778431924514
ACH-000163,-1.0303523777299999
ACH-000167,-0.861575090223
ACH-000168,-1.14492875871
ACH-000169,-0.8480337216600001
ACH-000178,-1.0762128668000002
ACH-000182,-0.791176792985
ACH-000183,-0.9563002355660001
ACH-000188,-1.02146758333
ACH-000189,-0.899962945976
ACH-000190,-0.9282714830390001
ACH-000198,-1.09243560773
ACH-000204,-1.20758726373
ACH-000206,-1.06954639645
ACH-000207,-0.8216530228
ACH-000211,-1.1238791894
ACH-000215,-0.920175733812
ACH-000221,-0.93892889305
ACH-000222,-1.20607334343
ACH-000223,-1.3294519729799998
ACH-000226,-1.14320331547
ACH-000227,-0.8036856091779999
ACH-000228,-1.101669099
ACH-000231,-0.734991025417
ACH-000232,-0.846588267441
ACH-000233,-0.940841674545
ACH-000234,-1.0162869553799998
ACH-000235,-0.91358748905
ACH-000237,-1.08259360059
ACH-000238,-1.28477221406
ACH-000243,-1.3211662582400001
ACH-000244,-0.995328179828
ACH-000246,-0.977988555919
ACH-000248,-1.0173493566299998
ACH-000250,-1.02230532545
ACH-000251,-1.06978830932
ACH-000253,-0.98955880372
ACH-000255,-1.0921391211
ACH-000256,-1.1536003162700001
ACH-000257,-0.572336856092
ACH-000258,-1.1873290246700001
ACH-000259,-0.918900371804
ACH-000260,-0.8431769111480001
ACH-000261,-1.15931034749
ACH-000262,-0.7912866500669999
ACH-000263,-0.9777386226960001
ACH-000264,-1.06356316419
ACH-000265,-0.9828296757780001
ACH-000266,-1.31794636502
ACH-000272,-0.9208859974250001
ACH-000273,-0.9440594941889999
ACH-000274,-0.966587390502
ACH-000277,-0.904787658059
ACH-000278,-1.00138817551
ACH-000279,-0.919252462737
ACH-000280,-0.876765375025
ACH-000281,-1.27789875332
ACH-000288,-0.999044626072
ACH-000291,-1.05619316375
ACH-000293,-1.05163788241
ACH-000294,-1.2982128424200001
ACH-000295,-1.27329171271
ACH-000296,-1.12257372733
ACH-000302,-0.845347065109
ACH-000304,-0.7202708559280001
ACH-000307,-0.985424338789
ACH-000308,-1.23336091537
ACH-000310,-0.927919302682
ACH-000311,-1.232735891
ACH-000312,-1.03468662209
ACH-000315,-0.917729622389
ACH-000316,-0.924084442403
ACH-000317,-0.768859126799
ACH-000318,-1.02788801439
ACH-000319,-1.07346591569
ACH-000320,-1.1004431797299998
ACH-000322,-1.29320499585
ACH-000323,-0.773311194057
ACH-000324,-0.8936949762540001
ACH-000329,-0.734276839946
ACH-000330,-0.886843710139
ACH-000331,-1.111528251
ACH-000332,-1.1937988527399999
ACH-000334,-1.0614393844299999
ACH-000335,-1.01531984112
ACH-000336,-1.21622641763
ACH-000337,-0.973115044517
ACH-000339,-0.889219223039
ACH-000341,-0.8019138669320001
ACH-000348,-1.0300014795299999
ACH-000350,-1.35694495823
ACH-000352,-1.2513630223
ACH-000356,-1.1321317046700001
ACH-000361,-1.04165170593
ACH-000362,-1.14127437777
ACH-000363,-1.229505364
ACH-000364,-1.26095181644
ACH-000365,-1.24445305563
ACH-000366,-1.05030143937
ACH-000368,-0.867107289152
ACH-000374,-0.709309064828
ACH-000375,-0.883561020018
ACH-000376,-0.820724766326
ACH-000381,-1.0738890741399998
ACH-000383,-0.8271062755509999
ACH-000387,-1.1734324385400001
ACH-000389,-1.11302294036
ACH-000390,-0.7443292998559999
ACH-000393,-1.0177229469700002
ACH-000395,-0.887243347797
ACH-000397,-1.0937027880399999
ACH-000401,-1.03956944301
ACH-000402,-1.2741829537
ACH-000403,-0.9763827971979999
ACH-000404,-1.12332313848
ACH-000406,-1.09453531415
ACH-000407,-0.585290178956
ACH-000408,-1.25307043269
ACH-000410,-1.20898701405
ACH-000411,-0.8364167761560001
ACH-000414,-1.1080423575
ACH-000415,-1.29251179042
ACH-000416,-1.1651128718700001
ACH-000420,-0.5705230292100001
ACH-000421,-1.0020668721
ACH-000424,-1.03608900969
ACH-000425,-1.28153258967
ACH-000426,-0.763520265811
ACH-000427,-0.885623681753
ACH-000433,-1.16113125599
ACH-000436,-0.8757554035780001
ACH-000444,-0.99664589964
ACH-000445,-1.0629795253399998
ACH-000448,-0.909866453146
ACH-000450,-0.665888435719
ACH-000452,-1.1008617063
ACH-000454,-1.160203946
ACH-000458,-1.11474178894
ACH-000459,-0.9271578529250001
ACH-000460,-1.13855315034
ACH-000461,-0.7304723083050001
ACH-000463,-0.8408589242290001
ACH-000464,-0.928229381688
ACH-000466,-1.0647664243000001
ACH-000467,-1.1140745963
ACH-000468,-1.34950826405
ACH-000469,-0.696798389155
ACH-000470,-1.13449673094
ACH-000471,-1.13636608323
ACH-000472,-0.8880338345559999
ACH-000473,-1.14311232288
ACH-000475,-1.0072389687299999
ACH-000476,-0.946451403435
ACH-000477,-0.693353901135
ACH-000480,-1.18650688186
ACH-000481,-0.934516523954
ACH-000483,-1.24658286516
ACH-000484,-1.18089596483
ACH-000485,-0.9329964732350001
ACH-000486,-1.10549230771
ACH-000487,-0.889561196675
ACH-000488,-1.1714361629899999
ACH-000490,-1.13203951715
ACH-000491,-1.15042185054
ACH-000495,-1.01776057796
ACH-000496,-1.0869519936499998
ACH-000499,-0.838186397957
ACH-000500,-1.0381239044700001
ACH-000502,-1.0162866416299998
ACH-000503,-1.07750200138
ACH-000505,-1.11095454206
ACH-000507,-0.817409644566
ACH-000510,-1.01112532618
ACH-000511,-0.876680594545
ACH-000512,-0.840387593094
ACH-000516,-1.00017078082
ACH-000517,-0.8694502455259999
ACH-000518,-1.11372989643
ACH-000520,-0.879582105486
ACH-000521,-1.0917481224799999
ACH-000522,-0.661376919819
ACH-000524,-1.20773382139
ACH-000527,-1.22854036485
ACH-000528,-1.34751596944
ACH-000537,-1.22958788668
ACH-000541,-1.20404821078
ACH-000542,-0.962769034304
ACH-000544,-1.22344813918
ACH-000545,-1.04927028797
ACH-000547,-1.13121640958
ACH-000548,-1.27949025119
ACH-000549,-0.9449623943809999
ACH-000550,-1.08499648263
ACH-000552,-0.90921848506
ACH-000556,-0.902066764474
ACH-000557,-0.932064037729
ACH-000570,-0.65949749266
ACH-000571,-0.850336001396
ACH-000573,-0.926136956992
ACH-000576,-1.01199325706
ACH-000580,-0.839628701957
ACH-000584,-0.9572068895479999
ACH-000585,-1.2351761887700001
ACH-000588,-0.8878086663920001
ACH-000589,-1.07781703556
ACH-000591,-0.9576131723639999
ACH-000593,-1.05360631567
ACH-000600,-1.0060552563299998
ACH-000601,-0.8414080724899999
ACH-000604,-1.16944002674
ACH-000605,-0.9751507256380001
ACH-000606,-1.18331694938
ACH-000608,-1.09699721068
ACH-000614,-1.26171035109
ACH-000616,-1.08566090746
ACH-000618,-1.08643859195
ACH-000619,-1.3643381155
ACH-000620,-1.24879230643
ACH-000621,-0.829245157341
ACH-000622,-0.917026126215
ACH-000623,-1.1881058767100001
ACH-000624,-1.14860047393
ACH-000627,-1.12122027724
ACH-000630,-1.20192175614
ACH-000632,-0.952279681384
ACH-000633,-0.841155851216
ACH-000637,-1.17398066107
ACH-000638,-1.1771308673
ACH-000646,-1.60626648792
ACH-000647,-0.85175667598
ACH-000648,-0.863143085653
ACH-000649,-0.688292348259
ACH-000651,-0.960269857134
ACH-000652,-0.913922339583
ACH-000653,-1.03513602966
ACH-000657,-0.826980717438
ACH-000658,-1.24641864175
ACH-000661,-1.20868660534
ACH-000662,-1.09197185308
ACH-000663,-0.931336873
ACH-000665,-0.8000781852500001
ACH-000671,-0.822507408248
ACH-000673,-0.930840009288
ACH-000676,-1.18039968127
ACH-000677,-0.454555640455
ACH-000681,-1.0850824612899999
ACH-000682,-1.06884704816
ACH-000683,-1.3971322652
ACH-000684,-0.8507234675149999
ACH-000688,-1.3904436547699999
ACH-000693,-0.9356248035200001
ACH-000694,-0.951486029887
ACH-000695,-1.0597388729700001
ACH-000696,-1.1587597831299998
ACH-000697,-1.21701435785
ACH-000699,-1.30935157563
ACH-000701,-1.1723701708299998
ACH-000706,-1.0315614903700001
ACH-000711,-1.05966556728
ACH-000713,-1.1982709013600001
ACH-000714,-0.9401093471430001
ACH-000718,-1.13439665013
ACH-000720,-0.88764558002
ACH-000721,-0.603669475078
ACH-000724,-1.1658152552
ACH-000725,-0.850699096886
ACH-000732,-0.9853379488089999
ACH-000734,-0.8323949273190001
ACH-000735,-1.0878406602700001
ACH-000736,-1.11903060925
ACH-000738,-1.0472547047299998
ACH-000746,-1.14275126365
ACH-000747,-1.3475708422
ACH-000748,-0.790332214523
ACH-000753,-1.10206144108
ACH-000756,-0.8454611361300001
ACH-000757,-1.15946129935
ACH-000758,-1.12986539872
ACH-000760,-1.07613250019
ACH-000763,-1.02550729069
ACH-000764,-1.32606051163
ACH-000765,-1.06901450434
ACH-000766,-0.9496658054359999
ACH-000767,-0.8027910324840001
ACH-000768,-1.1579022058700001
ACH-000769,-0.972878151366
ACH-000770,-1.16124006244
ACH-000771,-1.3218824478
ACH-000773,-0.776733301441
ACH-000776,-0.8433303008840001
ACH-000777,-0.666666533786
ACH-000778,-1.39356483491
ACH-000781,-1.0087341801899998
ACH-000782,-1.1983664542899999
ACH-000783,-0.941284919279
ACH-000784,-0.911680987746
