,UBE2Q2L (100505679)
ACH-000004,-0.20285702949700002
ACH-000007,-0.32590784640500003
ACH-000009,-0.535557511674
ACH-000011,-0.38652239412199996
ACH-000012,-0.345086397236
ACH-000013,-0.08585666418400001
ACH-000014,-0.0941747710859
ACH-000015,-0.143090655652
ACH-000017,-0.198234390583
ACH-000018,-0.400401169719
ACH-000019,0.316792808374
ACH-000021,0.12346220462400001
ACH-000022,-0.296241755531
ACH-000025,-0.657934867886
ACH-000028,-0.20357294271499998
ACH-000030,-0.18341467301199998
ACH-000035,0.0574844297466
ACH-000036,-0.428326624507
ACH-000037,-0.288522022588
ACH-000039,0.0429218152119
ACH-000040,-0.28774786643100003
ACH-000041,-0.20797075540399998
ACH-000042,-0.332310174728
ACH-000045,-0.36793784833899995
ACH-000047,-0.31916013539500004
ACH-000052,-0.124881791757
ACH-000053,-0.117205549534
ACH-000054,-0.45602273427900003
ACH-000055,-0.282750652936
ACH-000060,-0.280950863994
ACH-000067,-0.327007715143
ACH-000070,-0.153080386568
ACH-000075,-0.5042703419829999
ACH-000078,-0.163256610927
ACH-000082,-0.031934347915
ACH-000085,-0.12373329091700001
ACH-000086,-0.334441933156
ACH-000087,-0.123445690021
ACH-000092,-0.181445529294
ACH-000095,-0.511802164986
ACH-000097,-0.204517729361
ACH-000098,-0.103480005084
ACH-000099,-0.0359031103231
ACH-000108,-0.638400365596
ACH-000113,-0.354336051498
ACH-000115,-0.2797254329
ACH-000116,-0.664123290834
ACH-000118,-0.253644424195
ACH-000120,-0.197839669401
ACH-000123,-0.134939762019
ACH-000127,-0.209825624645
ACH-000128,-0.300143430251
ACH-000132,-0.200692889219
ACH-000133,-0.123381427635
ACH-000137,-0.33323312384799997
ACH-000138,-0.209539238324
ACH-000142,-0.0550299956181
ACH-000143,-0.26931731795
ACH-000146,-0.540016218828
ACH-000148,-0.29615224387899997
ACH-000150,-0.423951668493
ACH-000152,-0.077084703201
ACH-000153,-0.28141423735599996
ACH-000159,0.0724508896529
ACH-000160,-0.190317927059
ACH-000163,-0.446978501879
ACH-000167,-0.300224975115
ACH-000168,-0.383736291043
ACH-000169,-0.320974694125
ACH-000178,-0.12218465426899999
ACH-000182,-0.116919276892
ACH-000183,-0.12081347779200001
ACH-000188,-0.15771530221
ACH-000189,-0.100990260703
ACH-000190,-0.390534739271
ACH-000198,-0.18669464645999997
ACH-000204,0.116466275105
ACH-000206,0.16114009135500001
ACH-000207,0.0983032992643
ACH-000211,-0.411982737494
ACH-000215,-0.038046809268800004
ACH-000221,-0.121036301621
ACH-000222,-0.30914729287
ACH-000223,-0.184556308457
ACH-000226,0.00540818527253
ACH-000227,0.095202911722
ACH-000228,-0.10671437080299999
ACH-000231,0.0665583597641
ACH-000232,0.00010857043550499998
ACH-000233,-0.236189906568
ACH-000234,-0.595644694532
ACH-000235,-0.27301437767299996
ACH-000237,-0.110447059926
ACH-000238,-0.48275782988300003
ACH-000243,-0.21857514184500001
ACH-000244,-0.267202953634
ACH-000246,-0.310805964632
ACH-000248,0.10106904247000001
ACH-000250,0.000770003151537
ACH-000251,-0.263061361018
ACH-000253,-0.38017371228600005
ACH-000255,-0.276244194035
ACH-000256,-0.512695839388
ACH-000257,-0.0315606633513
ACH-000258,-0.44523113236999995
ACH-000259,-0.11072610260099999
ACH-000260,-0.259833481568
ACH-000261,-0.26722917019000003
ACH-000262,0.172777633121
ACH-000263,-0.364825813782
ACH-000264,0.0697319188188
ACH-000265,-0.31466539227699997
ACH-000266,-0.38711374418899996
ACH-000272,-0.381550964799
ACH-000273,-0.164666051156
ACH-000274,-0.290951117857
ACH-000277,-0.147230155307
ACH-000278,-0.349587440559
ACH-000279,0.0815161556077
ACH-000280,0.11210756415999999
ACH-000281,-0.136759230776
ACH-000288,-0.514562019647
ACH-000291,-0.263996425791
ACH-000293,-0.190371460663
ACH-000294,-0.235248098385
ACH-000295,-0.052216611057699994
ACH-000296,-0.430105248547
ACH-000302,-0.506268470792
ACH-000304,-0.253090586029
ACH-000307,-0.311088295147
ACH-000308,-0.218741215806
ACH-000310,-0.29800958772
ACH-000311,-0.490753645912
ACH-000312,-0.0766995557367
ACH-000315,0.24076305385699998
ACH-000316,-0.304426564011
ACH-000317,-0.017819399685900003
ACH-000318,-0.0833022979422
ACH-000319,-0.475698486461
ACH-000320,-0.0906348841548
ACH-000322,-0.114136766555
ACH-000323,-0.18165677167
ACH-000324,-0.34039568206799997
ACH-000329,-0.12470445518100001
ACH-000330,-0.0671290210793
ACH-000331,-0.28156872350400003
ACH-000332,-0.276665195531
ACH-000334,-0.06669568475530001
ACH-000335,-0.317712038919
ACH-000336,0.41399337309699996
ACH-000337,0.192013799011
ACH-000339,-0.033479269147
ACH-000341,-0.5592489073129999
ACH-000348,-0.126781451671
ACH-000350,-0.36986907958899995
ACH-000352,-0.149553622829
ACH-000356,-0.07882878566269999
ACH-000361,-0.571541514176
ACH-000362,-0.28799163259
ACH-000363,-0.073829256031
ACH-000364,-0.581197549667
ACH-000365,0.158140101022
ACH-000366,-0.47041362458499997
ACH-000368,-0.30633396346700004
ACH-000374,-0.0923761877496
ACH-000375,-0.272469286292
ACH-000376,-0.208815906416
ACH-000381,-0.19737938805100003
ACH-000383,-0.0304164569038
ACH-000387,-0.167325567266
ACH-000389,-0.426377440785
ACH-000390,-0.230766327341
ACH-000393,-0.41691682110699996
ACH-000395,-0.268287703398
ACH-000397,-0.167966245066
ACH-000401,0.182071610707
ACH-000402,0.292468069406
ACH-000403,-0.375996837021
ACH-000404,-0.44242198055299997
ACH-000406,-0.152558061167
ACH-000407,-0.35467415502800004
ACH-000408,-0.25306957930199997
ACH-000410,-0.126545077857
ACH-000411,-0.17611841833
ACH-000414,-0.0505534811082
ACH-000415,-0.176562034053
ACH-000416,-0.19720760659400002
ACH-000420,-0.197468717753
ACH-000421,-0.18179919905900002
ACH-000424,-0.0178740524926
ACH-000425,-0.109434780431
ACH-000426,-0.22001884061500002
ACH-000427,-0.025285828434599998
ACH-000433,-0.36957124675399994
ACH-000436,-0.589241290079
ACH-000444,-0.16821780987399998
ACH-000445,-0.257282527626
ACH-000448,-0.396309581655
ACH-000450,-0.314810243254
ACH-000452,0.08202133625130001
ACH-000454,-0.17517647499699998
ACH-000458,-0.43013557053
ACH-000459,-0.5358245721980001
ACH-000460,-0.41759830568499995
ACH-000461,-0.030178753012
ACH-000463,-0.417238518945
ACH-000464,-0.651774591476
ACH-000466,-0.181631826734
ACH-000467,-0.42067661429799996
ACH-000468,-0.49910772024300004
ACH-000469,-0.158358742113
ACH-000470,-0.46810900342399997
ACH-000471,-0.11014502886399999
ACH-000472,-0.278496974492
ACH-000473,-0.306450697158
ACH-000475,-0.0875760627156
ACH-000476,-0.133053767008
ACH-000477,-0.484314582649
ACH-000480,-0.0168920895305
ACH-000481,-0.295378064356
ACH-000483,-0.459974284776
