,RFXANK (8625)
ACH-000274,-0.295391435266
ACH-000277,-0.026703706775599998
ACH-000278,-0.38292906328299997
ACH-000279,-0.138221875014
ACH-000280,-0.24171812597800002
ACH-000281,-0.285322292698
ACH-000288,0.0276508853452
ACH-000291,-0.162875629631
ACH-000293,-0.18903460569699998
ACH-000294,-0.384131730356
ACH-000295,-0.0632469835489
ACH-000296,-0.427201481834
ACH-000302,-0.253570199611
ACH-000304,-0.323564775307
ACH-000307,-0.315701289308
ACH-000308,-0.196041504917
ACH-000310,-0.44186045630500004
ACH-000311,-0.194171860101
ACH-000312,-0.30282069158799996
ACH-000315,-0.025264194777799998
ACH-000316,-0.12048766405
ACH-000317,-0.09380749920119999
ACH-000318,-0.302675461589
ACH-000319,-0.235170214585
ACH-000320,-0.37253710290299996
ACH-000322,-0.20906544544
ACH-000323,-0.197287335449
ACH-000324,-0.298384555712
ACH-000329,-0.132035907851
ACH-000330,-0.36858336724
ACH-000331,-0.0729550842661
ACH-000332,-0.25656586581
ACH-000334,-0.197979503083
ACH-000335,-0.21626052866599998
ACH-000336,-0.0311015946256
ACH-000337,-0.29657704168000004
ACH-000339,-0.22553720872699998
ACH-000341,-0.44144237162100003
ACH-000348,-0.18087392704799998
ACH-000350,-0.136727944676
ACH-000352,-0.143600169806
ACH-000356,-0.451140960217
ACH-000361,-0.39985629739399997
ACH-000362,-0.24601613930100003
ACH-000363,-0.211141698211
ACH-000364,-0.42173386489
ACH-000365,-0.155647082486
ACH-000366,-0.34527582166299997
ACH-000368,-0.106704518982
ACH-000374,-0.41682373059199995
ACH-000375,-0.144030829903
ACH-000376,0.0008075900363810001
ACH-000381,-0.0653217817829
ACH-000383,-0.244570878092
ACH-000387,-0.30162089686099997
ACH-000389,-0.384985412412
ACH-000390,-0.324369620449
ACH-000393,-0.428829867264
ACH-000395,-0.141226207483
ACH-000397,-0.211231571017
ACH-000401,-0.0822034436774
ACH-000402,-0.348064149403
ACH-000403,-0.127229863266
ACH-000404,-0.138207641637
ACH-000406,-0.330525074323
ACH-000407,-0.138916453463
ACH-000408,-0.360126097888
ACH-000410,-0.25469799347100003
ACH-000411,-0.19277272251
ACH-000414,-0.19424772758099998
ACH-000415,-0.263381132161
ACH-000416,-0.0488501855238
ACH-000420,-0.40609175380999996
ACH-000421,-0.294431712492
ACH-000424,-0.22399253228100002
ACH-000425,-0.102097448139
ACH-000426,-0.48959762309699995
ACH-000427,-0.459095445704
ACH-000433,-0.8066583187909999
ACH-000436,-0.15613367890799998
ACH-000444,-0.26702411980999996
ACH-000445,-0.507133329863
ACH-000448,-0.303618349728
ACH-000450,0.157114444825
ACH-000452,-0.243668346873
ACH-000454,-0.5073586311580001
ACH-000458,-0.283121802661
ACH-000459,-0.046238584686400006
ACH-000460,-0.288915023528
ACH-000461,-0.19974716546399998
ACH-000463,-0.289633645099
ACH-000464,-0.0089866233985
ACH-000466,-0.29851402774
ACH-000467,-0.07798894473330001
ACH-000468,-0.448606808252
ACH-000469,-0.117274190281
ACH-000470,-0.09857941389589998
ACH-000471,-0.43487298106899996
ACH-000472,-0.124354629374
ACH-000473,-0.191740203962
ACH-000475,-0.18170121837499997
ACH-000476,-0.27525159580499997
ACH-000477,-0.24681335219300002
ACH-000480,-0.45025651763400004
ACH-000481,-0.18100941032600001
ACH-000483,-0.163073754232
ACH-000484,0.14181600998500002
ACH-000485,-0.0412405474581
ACH-000486,-0.194551041794
ACH-000487,-0.222327799501
ACH-000488,-0.170665356722
ACH-000490,-0.353304509112
ACH-000491,-0.126182044031
ACH-000495,-0.31936585837299997
ACH-000496,-0.289534661983
ACH-000499,-0.15997527303099998
ACH-000500,0.311284841566
ACH-000502,-0.315579242053
ACH-000503,-0.36792583560099995
ACH-000505,-0.219078638555
ACH-000507,-0.200525665411
ACH-000510,-0.205804789598
ACH-000511,-0.123533983248
ACH-000512,-0.266789349564
ACH-000516,-0.0952254726513
ACH-000517,-0.269551600862
ACH-000518,-0.158627365072
ACH-000520,-0.303852544196
ACH-000521,-0.062424561048999995
ACH-000522,-0.361991167288
ACH-000524,-0.367100378983
ACH-000527,-0.321807775211
ACH-000528,-0.242403791895
ACH-000537,-0.335803144203
ACH-000541,-0.289011179817
ACH-000542,-0.12413367482200001
ACH-000544,-0.0819706517272
ACH-000545,-0.38815161459200004
ACH-000547,0.34788771152
ACH-000548,-0.184144823479
ACH-000549,-0.18042230318500002
ACH-000550,-0.0692097549135
ACH-000552,-0.246688470134
ACH-000556,-0.287069233857
ACH-000557,-0.07455548727780001
ACH-000570,-0.103696456166
ACH-000571,-0.224651977938
ACH-000573,-0.203271002896
ACH-000576,-0.284695341359
ACH-000580,-0.276915867747
ACH-000584,-0.262452954248
ACH-000585,-0.426235302012
ACH-000588,-0.110587207626
ACH-000589,-0.255899033765
ACH-000591,-0.46847451062
ACH-000593,-0.237009301959
ACH-000600,-0.230718963404
ACH-000601,-0.21792517341200002
ACH-000604,-0.276939586476
ACH-000605,-0.0636651955446
ACH-000606,-0.199578756972
ACH-000608,-0.157989120042
ACH-000614,-0.171814207368
ACH-000616,-0.215358882415
ACH-000618,-0.359463501523
ACH-000619,-0.23590756279800001
ACH-000620,-0.23282853711800003
ACH-000621,-0.284497096757
ACH-000622,-0.247919821425
ACH-000623,-0.262355928886
ACH-000624,-0.276290251286
ACH-000627,-0.140096396412
ACH-000630,-0.237550917768
ACH-000632,-0.224062539241
ACH-000633,-0.248012070165
ACH-000637,-0.18873702088799998
ACH-000638,-0.323219523158
ACH-000646,-0.243828048932
ACH-000647,-0.18554580762200001
ACH-000648,-0.395781688692
ACH-000649,-0.32093434245999997
ACH-000651,-0.21874669116700002
ACH-000652,-0.296725210823
ACH-000653,-0.24171483877799999
ACH-000657,-0.261844180522
ACH-000658,-0.305028293234
ACH-000661,-0.405399902514
ACH-000662,-0.294073137658
ACH-000663,-0.24956614987700002
ACH-000665,-0.323146623179
ACH-000671,-0.0896709451281
ACH-000673,-0.233434004456
ACH-000676,-0.28211917309900003
ACH-000677,-0.258247019624
ACH-000681,-0.223948521378
ACH-000682,-0.25228075837499997
ACH-000683,-0.27887828298
ACH-000684,-0.26426596638300004
ACH-000688,-0.0929497830262
ACH-000693,-0.315699573821
ACH-000694,-0.010760615402600001
ACH-000695,-0.182247350677
ACH-000696,-0.235611651754
ACH-000697,-0.306869023709
ACH-000699,-0.26764971701699997
ACH-000701,-0.151206301198
ACH-000706,-0.00685557533069
ACH-000711,-0.300926753737
ACH-000713,-0.183538517499
ACH-000714,-0.239651428288
ACH-000718,-0.144565979451
ACH-000720,-0.201949232152
ACH-000721,-0.31383790996800004
ACH-000724,-0.10108691063200001
ACH-000725,-0.330486583179
ACH-000732,-0.290434316513
ACH-000734,-0.208702605693
ACH-000735,-0.197900521411
ACH-000736,-0.161233418407
ACH-000738,-0.21330109139800002
ACH-000746,-0.252997661866
ACH-000747,-0.186249033003
ACH-000748,-0.227532925909
