,PRUNE (58497)
ACH-000004,-0.32795423725
ACH-000007,-0.053124445403300004
ACH-000009,-0.4582652828
ACH-000011,-0.387164481
ACH-000012,-0.598104006178
ACH-000013,-0.44179296826000003
ACH-000014,-0.459744651481
ACH-000015,-0.374541950472
ACH-000017,-0.34968498623899996
ACH-000018,-0.66598686866
ACH-000019,-0.7178752579809999
ACH-000021,-0.504656364798
ACH-000022,-0.153320233288
ACH-000025,-0.433463474868
ACH-000028,-0.343223753887
ACH-000030,-0.286685792886
ACH-000035,-0.36526703722599996
ACH-000036,-0.355948491231
ACH-000037,-0.064005888185
ACH-000039,-0.561817471766
ACH-000040,-0.144608164445
ACH-000041,-0.229907298219
ACH-000042,-0.29106539015
ACH-000045,-0.38345420912600003
ACH-000047,-0.5621242004689999
ACH-000052,-0.28615035749
ACH-000053,-0.63650980221
ACH-000054,-0.36988812637900004
ACH-000055,-0.0958311683289
ACH-000060,-0.311780443134
ACH-000067,-0.431584101666
ACH-000070,-0.33864110604599995
ACH-000075,-0.478566182076
ACH-000078,-0.351850439033
ACH-000082,-0.23664490635899998
ACH-000085,-0.145964062963
ACH-000086,-0.43950161955899997
ACH-000087,-0.46984927647
ACH-000092,-0.34652742690300004
ACH-000095,-0.28249581713599997
ACH-000097,-0.502612280748
ACH-000098,-0.44518062191200003
ACH-000099,-0.366180351823
ACH-000108,-0.42829649540299997
ACH-000113,-0.604458567541
ACH-000115,-0.570057349233
ACH-000116,-0.354025937148
ACH-000118,-0.609904256849
ACH-000120,-0.317046887642
ACH-000123,-0.24171624251200002
ACH-000127,-0.7385953393250001
ACH-000128,-0.44037366046899995
ACH-000132,-0.19016323197700002
ACH-000133,-0.41289125543899996
ACH-000137,-0.416203871617
ACH-000138,-0.378318906928
ACH-000142,-0.310435211799
ACH-000143,-0.0561168740709
ACH-000146,-0.296526546223
ACH-000148,-0.34363293186800004
ACH-000150,-0.635093978179
ACH-000152,-0.48243209789999997
ACH-000153,-0.3709969481
ACH-000159,-0.492053966968
ACH-000160,-0.30915264843
ACH-000163,-0.307561927451
ACH-000167,0.0859497428764
ACH-000168,-0.222184651655
ACH-000169,-0.36455834351800004
ACH-000178,-0.314677895445
ACH-000182,-0.26472748472
ACH-000183,-0.358908543233
ACH-000188,-0.32728805755
ACH-000189,-0.453402539345
ACH-000190,-0.07405251498089999
ACH-000198,-0.775116412509
ACH-000204,-0.23591675979200002
ACH-000206,-0.035086921663199995
ACH-000207,-0.29540716867100003
ACH-000211,-0.445682657533
ACH-000215,-0.573777081602
ACH-000221,-0.134374280518
ACH-000222,-0.20006787537300003
ACH-000223,-0.308613855239
ACH-000226,-0.683837307895
ACH-000227,-0.243845925989
ACH-000228,-0.366349507412
ACH-000231,-0.409088540546
