,CRYGD (1421)
ACH-000004,0.00231422991601
ACH-000007,-0.237866023395
ACH-000009,-0.211347380731
ACH-000011,0.0541922049401
ACH-000012,0.0150954407794
ACH-000013,-0.04565534277719999
ACH-000014,-0.34444841437
ACH-000015,-0.177323661199
ACH-000017,-0.0783999097548
ACH-000018,-0.178640172662
ACH-000019,-0.258924173784
ACH-000021,-0.242588889265
ACH-000022,-0.174875413561
ACH-000025,0.0285115875112
ACH-000028,-0.016224564059600002
ACH-000030,-0.175571696038
ACH-000035,0.270868129548
ACH-000036,-0.250928519178
ACH-000037,-0.484185582586
ACH-000039,-0.10577878742900002
ACH-000040,-0.111664555751
ACH-000041,-0.064179820269
ACH-000042,-0.159123228653
ACH-000045,-0.31444926124600003
ACH-000047,-0.25836894264800003
ACH-000052,-0.08996934790830001
ACH-000053,-0.0879539077102
ACH-000054,-0.387225567821
ACH-000055,-0.189613691182
ACH-000060,-0.09577398019580001
ACH-000067,-0.120313768234
ACH-000070,-0.14931523675
ACH-000075,-0.440012348916
ACH-000078,-0.356062089405
ACH-000082,-0.321794590786
ACH-000085,-0.0798841180924
ACH-000086,-0.262891020876
ACH-000087,0.171935359008
ACH-000092,-0.34148838531900005
ACH-000095,-0.211833042722
ACH-000097,-0.0457170186435
ACH-000098,-0.165566704299
ACH-000099,-0.126085690271
ACH-000108,-0.289300791821
ACH-000113,-0.205941250779
ACH-000115,-0.193129256365
ACH-000116,-0.21604080013799998
ACH-000118,-0.20001126228500002
ACH-000120,-0.30516577458099997
ACH-000123,-0.11953614105999999
ACH-000127,-0.05943759826830001
ACH-000128,0.0381949748605
ACH-000132,-0.169610143069
ACH-000133,-0.344583025487
ACH-000137,-0.311230628178
ACH-000138,-0.027364648314400004
ACH-000142,-0.0720071420156
ACH-000143,0.0146348662607
ACH-000146,0.056833722001300005
ACH-000148,-0.184530578507
ACH-000150,-0.101212241443
ACH-000152,-0.238504445698
ACH-000153,0.0468466844685
ACH-000159,-0.396733608754
ACH-000160,-0.013882600648299999
ACH-000163,-0.12127429986199999
ACH-000167,-0.24080914248799998
ACH-000168,-0.502009452328
ACH-000169,-0.09669419462470001
ACH-000178,-0.26019468563000003
ACH-000182,-0.18458146694400002
ACH-000183,-0.0275914204442
ACH-000188,-0.09458759558509999
ACH-000189,-0.46367191482000003
ACH-000190,-0.29150483725299997
ACH-000198,-0.23992815403499998
ACH-000204,-0.342513495513
ACH-000206,0.0284164887545
ACH-000207,0.126863904129
ACH-000211,-0.318212181428
ACH-000215,-0.17948342099800002
ACH-000221,0.0129970914114
ACH-000222,-0.08634467144539999
ACH-000223,-0.228977955456
ACH-000226,-0.147134595244
ACH-000227,-0.303262262193
ACH-000228,-0.154467453392
ACH-000231,-0.240342969975
ACH-000232,-0.0700913311756
ACH-000233,-0.152003828471
ACH-000234,-0.221170020689
ACH-000235,0.0697327193758
ACH-000237,-0.15658271527
ACH-000238,-0.17993364713399998
ACH-000243,-0.120481855298
ACH-000244,-0.370696907551
ACH-000246,-0.175169870133
ACH-000248,0.0239569656556
ACH-000250,-0.152064568236
ACH-000251,-0.0730888594299
ACH-000253,-0.226070338363
ACH-000255,0.0618133034861
ACH-000256,-0.34684239507799997
ACH-000257,-0.11326528184000001
ACH-000258,-0.20591526692099998
ACH-000259,-0.116536926985
ACH-000260,-0.206166584028
ACH-000261,-0.053699085378099996
ACH-000262,-0.083139757793
ACH-000263,-0.384194380313
ACH-000264,-0.0642799460943
ACH-000265,-0.211558095933
ACH-000266,-0.11176791341299999
ACH-000272,-0.19260507059999998
ACH-000273,-0.16961662097
ACH-000274,-0.48491169454099997
ACH-000277,-0.16088604448899999
ACH-000278,-0.112240825772
ACH-000279,-0.338545499549
ACH-000280,-0.148098202727
ACH-000281,0.0858580292293
ACH-000288,-0.302640294765
ACH-000291,-0.057706401163499996
ACH-000293,-0.161186914723
ACH-000294,-0.0351110608736
ACH-000295,-0.415029780758
ACH-000296,-0.10930383571499999
ACH-000302,-0.103860412731
ACH-000304,-0.0142531891698
ACH-000307,-0.170866014545
ACH-000308,-0.24379993513300002
ACH-000310,-0.45769146247299997
ACH-000311,0.0687544188526
ACH-000312,-0.20219461596500002
ACH-000315,-0.13469670070999998
ACH-000316,-0.261709232381
ACH-000317,0.018766655006500002
ACH-000318,-0.0531377096779
ACH-000319,-0.214907703206
ACH-000320,-0.15712358711899999
ACH-000322,-0.107618494609
ACH-000323,-0.18523499188099998
ACH-000324,-0.11879204205600001
ACH-000329,-0.455396940247
ACH-000330,-0.0130231020307
ACH-000331,-0.11153906987500001
ACH-000332,-0.145324963168
ACH-000334,0.33608223057400005
ACH-000335,-0.149814651315
ACH-000336,-0.0734774599477
ACH-000337,-0.286412483913
ACH-000339,-0.09539949297250001
ACH-000341,-0.39803595186499996
ACH-000348,-0.162388063806
ACH-000350,-0.119473129474
ACH-000352,0.0309162468761
ACH-000356,0.00884476845759
ACH-000361,-0.482760239629
ACH-000362,0.0288315591322
ACH-000363,-0.0982828856645
ACH-000364,-0.127312156766
ACH-000365,-0.217482512162
ACH-000366,-0.226983878679
ACH-000368,-0.20109791123100001
ACH-000374,-0.004436916839970001
ACH-000375,-0.211988019124
ACH-000376,-0.249607488164
ACH-000381,-0.0679003613921
ACH-000383,-0.174041760258
ACH-000387,-0.30407856445799997
ACH-000389,-0.0366742007114
ACH-000390,0.0089200639553
ACH-000393,-0.29090330374400003
ACH-000395,-0.24797533719099998
ACH-000397,-0.21426413735599997
ACH-000401,-0.13128938112299998
ACH-000402,0.0500130741553
ACH-000403,-0.158340111539
