,IL36G (56300)
ACH-000004,0.11573692422000001
ACH-000007,-0.228703057417
ACH-000009,-0.129215331834
ACH-000011,-0.23061391655400001
ACH-000012,-0.19359598390000002
ACH-000013,-0.0923302323858
ACH-000014,-0.118414590946
ACH-000015,-0.0824857913646
ACH-000017,-0.163991744183
ACH-000018,0.077983720723
ACH-000019,-0.400672509411
ACH-000021,0.0499973364424
ACH-000022,-0.144162722618
ACH-000025,-0.21835471983100002
ACH-000028,-0.1533559033
ACH-000030,-0.13178173301899998
ACH-000035,-0.0986044718312
ACH-000036,-0.0938740713545
ACH-000037,-0.777861893069
ACH-000039,0.141406959293
ACH-000040,-0.16222512166
ACH-000041,-0.134323205401
ACH-000042,0.0679381198929
ACH-000045,0.030304627346
ACH-000047,-0.227437966769
ACH-000052,-0.29082620903
ACH-000053,-0.118685215451
ACH-000054,-0.0376120299631
ACH-000055,-0.0988988642105
ACH-000060,-0.143085865793
ACH-000067,-0.011821526640000002
ACH-000070,0.108295209489
ACH-000075,0.169294876071
ACH-000078,-0.0687546542546
ACH-000082,-0.0551663129489
ACH-000085,-0.229277557306
ACH-000086,-0.134440493998
ACH-000087,0.178799726486
ACH-000092,-0.394402890532
ACH-000095,0.0013264327568599998
ACH-000097,0.09992438645919999
ACH-000098,-0.128369570185
ACH-000099,0.05022309048240001
ACH-000108,-0.0251568251139
ACH-000113,-0.165965903207
ACH-000115,0.0402063132441
ACH-000116,-0.177078037696
ACH-000118,-0.11011705452500001
ACH-000120,0.0025551331085
ACH-000123,-0.142892312149
ACH-000127,-0.07812652175280001
ACH-000128,0.134120719336
ACH-000132,-0.24281402173099997
ACH-000133,-0.202351921283
ACH-000137,-0.217672982901
ACH-000138,-0.0734532242954
ACH-000142,0.012506447442100001
ACH-000143,-0.0657866934697
ACH-000146,0.12529474012
ACH-000148,0.00024271028866
ACH-000150,-0.09980187391669999
ACH-000152,0.00110110088356
ACH-000153,-0.14411457790999999
ACH-000159,0.058127360736499996
ACH-000160,-0.19923724104499999
ACH-000163,-0.227104783581
ACH-000167,-0.249716460956
ACH-000168,-0.0995012425718
ACH-000169,-0.0791410098188
