,NT5M (56953)
ACH-000004,0.256452290268
ACH-000007,-0.130315889784
ACH-000009,-0.177465637601
ACH-000011,0.00850943153593
ACH-000012,-0.028997850406299996
ACH-000013,-0.264593184039
ACH-000014,-0.0163362434008
ACH-000015,-0.08757487119989998
ACH-000017,0.0253331233256
ACH-000018,-0.11061794698300001
ACH-000019,0.043842527136199995
ACH-000021,0.0033219134523800003
ACH-000022,-0.542564005987
ACH-000025,-0.0982565439762
ACH-000028,0.0453010389181
ACH-000030,-0.047958316425199994
ACH-000035,0.0283049791053
ACH-000036,-0.0591618451308
ACH-000037,0.06988298026110001
ACH-000039,0.14000941240999998
ACH-000040,0.0353190300865
ACH-000041,-0.0461394682633
ACH-000042,-0.07939929952060001
ACH-000045,-0.0513992292208
ACH-000047,0.0312315688406
ACH-000052,0.0256393550008
ACH-000053,0.0325452717132
ACH-000054,0.010124208646799998
ACH-000055,0.102859785813
ACH-000060,-0.0771190460578
ACH-000067,0.00865926659817
ACH-000070,0.0528947403574
ACH-000075,-0.10282767473099999
ACH-000078,-0.07866801190060001
ACH-000082,-0.27172529962499997
ACH-000085,-0.0907430394861
ACH-000086,0.103477985642
ACH-000087,-0.106359820854
ACH-000092,-0.0627942475207
ACH-000095,0.011958759351700002
ACH-000097,-0.0513060318965
ACH-000098,-0.16378556778699999
ACH-000099,0.0238182622274
ACH-000108,0.049939193748399995
ACH-000113,-0.0551358867137
ACH-000115,0.145462959983
ACH-000116,-0.10470088203099999
ACH-000118,0.07851006401060001
ACH-000120,0.0879070166387
ACH-000123,0.016281545545
ACH-000127,-0.00333113648943
ACH-000128,-0.005880776420539999
ACH-000132,-0.0691609744526
ACH-000133,-0.136524438549
ACH-000137,0.021104104501099997
ACH-000138,0.102388927663
ACH-000142,-0.089272555184
ACH-000143,-0.190575138732
ACH-000146,0.129070408978
ACH-000148,-0.045082032533
ACH-000150,-0.0209376411812
ACH-000152,-0.194931216702
ACH-000153,-0.565911731738
ACH-000159,0.057028270964900006
ACH-000160,-0.126548492859
ACH-000163,-0.179396885801
ACH-000167,-0.08297246416199999
ACH-000168,-0.157118792738
ACH-000169,0.00471627571206
ACH-000178,0.12270400950799999
ACH-000182,-0.122277660164
ACH-000183,-0.0736639466692
ACH-000188,-0.12980491638900002
ACH-000189,0.10299877541099998
ACH-000190,0.147980183138
ACH-000198,0.0185519008483
ACH-000204,-0.128922884978
ACH-000206,0.00067409925542
ACH-000207,-0.0656897025636
ACH-000211,-0.0416376698291
ACH-000215,-0.00545985443222
ACH-000221,-0.12531512030300002
ACH-000222,0.314174248609
ACH-000223,-0.004706141059180001
ACH-000226,0.00958856527674
