,MAPK13 (5603)
ACH-000004,-0.0974890851746
ACH-000007,-0.13241593537000002
ACH-000009,-0.0294890424349
ACH-000011,0.0353292231647
ACH-000012,-0.059939893825400006
ACH-000013,-0.146533886225
ACH-000014,-0.20746076074099998
ACH-000015,-0.0149750230092
ACH-000017,0.010325225981600001
ACH-000018,-0.17249735860800003
ACH-000019,0.012244186094
ACH-000021,-0.09067186081739999
ACH-000022,-0.045578578640400005
ACH-000025,-0.0766830350112
ACH-000028,-0.141537989245
ACH-000030,-0.130573354307
ACH-000035,-0.124160547828
ACH-000036,-0.031497986807499996
ACH-000037,-0.178333611068
ACH-000039,-0.423619576006
ACH-000040,-0.196152010757
ACH-000041,-0.41429190870099997
ACH-000042,0.16567137724
ACH-000045,-0.0290123493228
ACH-000047,-0.199297147872
ACH-000052,-0.0226407548037
ACH-000053,-0.0964514244864
ACH-000054,0.0214529314835
ACH-000055,-0.122968962837
ACH-000060,-0.133383231868
ACH-000067,-0.247597940652
ACH-000070,-0.00412212917491
ACH-000075,-0.068373886701
ACH-000078,-0.181496090693
ACH-000082,0.0192581521783
ACH-000085,-0.32051918995900003
ACH-000086,0.11680960304099999
ACH-000087,-0.10091735210899999
ACH-000092,0.10155701800200001
ACH-000095,-0.0766290088602
ACH-000097,-0.0477620841854
ACH-000098,-0.106230977932
ACH-000099,-0.021142843264
ACH-000108,-0.0809188750893
ACH-000113,-0.21642679055
ACH-000115,-0.24589991454
ACH-000116,-0.21407594656800003
ACH-000118,0.09605888711030001
ACH-000120,-0.24013882578899998
ACH-000123,-0.115837278129
ACH-000127,-0.174991362658
ACH-000128,-0.159391143253
ACH-000132,-0.23568965909000003
ACH-000133,-0.0476918386822
ACH-000137,-0.07110895197599999
ACH-000138,-0.012712825773799999
ACH-000142,-0.276675651546
ACH-000143,0.147128983624
ACH-000146,-0.20345310706
ACH-000148,0.171303563623
ACH-000150,-0.0852879528958
ACH-000152,-0.30437607703
ACH-000153,-0.0765556307175
ACH-000159,-0.301685427326
ACH-000160,-0.127858558373
ACH-000163,-0.242530098624
ACH-000167,-0.0694056365921
ACH-000168,-0.161861049298
ACH-000169,-0.103624377881
ACH-000178,-0.0648235603954
ACH-000182,-0.0015912219713499999
ACH-000183,-0.0175574460052
ACH-000188,-0.0577530701187
ACH-000189,-0.120870857877
ACH-000190,-0.14839235795999997
ACH-000198,-0.25466100239
ACH-000204,-0.168976699771
ACH-000206,-0.460491792246
ACH-000207,-0.292897992311
ACH-000211,-0.0933639118471
ACH-000215,-0.0871972841899
ACH-000221,0.00660612896536
ACH-000222,-0.134547356434
ACH-000223,-0.185148707709
ACH-000226,-0.026153678475200004
ACH-000227,-0.189386046
