,SP110 (3431)
ACH-000410,0.061424061377999994
ACH-000411,-0.0521737951534
ACH-000414,-0.022455201645400002
ACH-000415,0.0286568245312
ACH-000416,0.0961076080907
ACH-000420,-0.16810563924600003
ACH-000421,0.155937320451
ACH-000424,0.094002073794
ACH-000425,-0.154421497692
ACH-000426,-0.364143455609
ACH-000427,-0.23462625774700002
ACH-000433,-0.193834796457
ACH-000436,-0.152982159204
ACH-000444,-0.07165211690619999
ACH-000445,-0.11013667752
ACH-000448,0.21751572308400002
ACH-000450,-0.0405696218388
ACH-000452,0.077570250916
ACH-000454,0.145872950629
ACH-000458,0.0808975494609
ACH-000459,-0.165909125978
ACH-000460,-0.244200881644
ACH-000461,-0.0620686810023
ACH-000463,0.0746855094811
ACH-000464,0.16256505126499998
ACH-000466,0.020660047887599998
ACH-000467,0.07006699036939999
ACH-000468,0.11906566992999999
ACH-000469,0.11279494675599999
ACH-000470,-0.052577059181900004
ACH-000471,0.110009949646
ACH-000472,0.175312371063
ACH-000473,0.11584573144200001
ACH-000475,0.0569915155346
ACH-000476,-0.26974686362399997
ACH-000477,0.161155870089
ACH-000480,-0.10315908653999999
ACH-000481,-0.0231539674816
ACH-000483,0.257352893855
ACH-000484,0.46908346573
ACH-000485,-0.168711692966
ACH-000486,0.0408234122414
ACH-000487,-0.093284917437
ACH-000488,0.10491294238299999
ACH-000490,0.180127794544
ACH-000491,0.12729929761
ACH-000495,-0.113682668653
ACH-000496,0.0205721129261
ACH-000499,0.19896892642499997
ACH-000500,0.42892998934500004
ACH-000502,-0.17287877223099998
ACH-000503,-0.0289613345461
ACH-000505,0.08942422654660001
ACH-000507,0.04222586917190001
ACH-000510,0.155060429941
ACH-000511,0.179489334595
ACH-000512,-0.44188869521799995
ACH-000516,0.221868057394
ACH-000517,-0.044158239899500004
ACH-000518,-0.113714600615
ACH-000520,0.0802457095029
ACH-000521,0.0837333283243
ACH-000522,0.0708575643596
ACH-000524,0.08801867484169999
ACH-000527,0.036994541614
ACH-000528,0.14615329471799998
ACH-000537,0.183262140237
ACH-000541,0.221849464085
ACH-000542,-0.22691936637200003
ACH-000544,-0.216376070398
ACH-000545,0.0676339381239
ACH-000547,-0.203324923778
ACH-000548,-0.024595874286
ACH-000549,0.068666841437
ACH-000550,-0.05596572403990001
ACH-000552,-0.21099783044700002
ACH-000556,0.107738062894
ACH-000557,0.0035657361781700004
ACH-000570,-0.0575902799828
ACH-000571,0.10834288023600001
ACH-000573,0.0131925648499
ACH-000576,0.081150975041
ACH-000580,0.139794000814
ACH-000584,0.0763687788172
ACH-000585,0.011820677728799998
ACH-000588,0.200723312678
ACH-000589,0.11633563942
ACH-000591,0.42138992639899997
ACH-000593,0.092464645887
ACH-000600,0.10769343521199999
ACH-000601,-0.145407269828
ACH-000604,0.006557306226539999
ACH-000605,-0.0283402220268
ACH-000606,-0.514027190361
ACH-000608,0.149126272132
ACH-000614,0.09916584386050001
ACH-000616,-0.100478196154
ACH-000618,-0.071074974446
ACH-000619,-0.257214327179
ACH-000620,0.126355131299
ACH-000621,0.0409736540066
ACH-000622,0.0971711746375
ACH-000623,-0.0626434876176
ACH-000624,0.0674819653444
ACH-000627,-0.133518065685
ACH-000630,0.177443595018
