,TCP1 (6950)
ACH-000004,-1.3808325794999998
ACH-000007,-1.4960917702
ACH-000009,-1.4895864034900002
ACH-000011,-1.71367179124
ACH-000012,-1.35955328451
ACH-000013,-1.53819305669
ACH-000014,-1.6417074288299998
ACH-000015,-1.6362003052599998
ACH-000017,-1.2634190603
ACH-000018,-1.32040828938
ACH-000019,-1.54844284243
ACH-000021,-1.46007804976
ACH-000022,-1.34877406247
ACH-000025,-1.5900457292399999
ACH-000028,-1.76212634874
ACH-000030,-1.53601486185
ACH-000035,-1.22993418114
ACH-000036,-1.8136395491599997
ACH-000037,-1.79658463743
ACH-000039,-1.2599483272299998
ACH-000040,-1.77249762532
ACH-000041,-1.37404734071
ACH-000042,-1.52078262766
ACH-000045,-1.57381784183
ACH-000047,-1.41326699738
ACH-000052,-1.4270160839500001
ACH-000053,-1.50008412299
ACH-000054,-1.53959504262
ACH-000055,-1.5221843365099998
ACH-000060,-1.6689102150100001
ACH-000067,-1.26127850198
ACH-000070,-1.6964901567299997
ACH-000075,-1.4746975044600001
ACH-000078,-1.45597722181
ACH-000082,-1.91664844494
ACH-000085,-1.60832029631
ACH-000086,-1.26515259485
ACH-000087,-1.3272819657100001
ACH-000092,-1.1327964368999999
ACH-000095,-1.37339648895
ACH-000097,-1.6875671202899998
ACH-000098,-1.50349426539
ACH-000099,-1.6331935802000002
ACH-000108,-1.69272118908
ACH-000113,-1.54342305395
ACH-000115,-1.6435257290099998
ACH-000116,-1.43879802609
ACH-000118,-1.6347425263600002
ACH-000120,-1.4133324462399999
ACH-000123,-1.5789828878
ACH-000127,-1.5838099588799999
ACH-000128,-1.97060537262
ACH-000132,-1.48507908018
ACH-000133,-1.4848858531600002
ACH-000137,-1.69995975334
ACH-000138,-1.7834622260099997
ACH-000142,-1.21001391221
ACH-000143,-1.16468684942
ACH-000146,-1.1226552655
ACH-000148,-1.9186729501
ACH-000150,-1.4151733225
ACH-000152,-1.20729986233
ACH-000153,-1.49216993072
ACH-000159,-1.52905481534
ACH-000160,-1.8529310635499998
ACH-000163,-1.86111604338
ACH-000167,-1.93697350708
ACH-000168,-1.55853303719
ACH-000169,-1.4208938069400001
ACH-000178,-1.42288734529
ACH-000182,-1.22598772545
ACH-000183,-1.6318991568099999
ACH-000188,-1.35210791359
ACH-000189,-1.08192142993
ACH-000190,-1.79940340966
ACH-000198,-1.4902941702099999
ACH-000204,-1.68952834618
ACH-000206,-1.4805842177200002
ACH-000207,-1.6833716844100002
ACH-000211,-1.6394435069100002
ACH-000215,-1.7922099035900003
ACH-000221,-1.43749204313
ACH-000222,-1.8467652456900001
ACH-000223,-1.46869101682
ACH-000226,-1.6779196229700002
ACH-000227,-1.5541167655500001
ACH-000228,-1.3622205523700002
ACH-000231,-1.22527659623
ACH-000232,-1.6299469713199999
ACH-000233,-2.00048976425
ACH-000234,-1.57546788512
ACH-000235,-1.4730789130200002
ACH-000237,-1.41747259193
ACH-000238,-1.7240583356799999
ACH-000243,-1.4795091956600002
ACH-000244,-1.6788845208200003
ACH-000246,-1.4655248721399998
ACH-000248,-1.13104761543
ACH-000250,-1.5062322724200001
ACH-000251,-1.70177865047
ACH-000253,-1.48857153586
ACH-000255,-1.50594962541
ACH-000256,-1.79161716977
ACH-000257,-1.21308459805
ACH-000258,-1.21411325322
ACH-000259,-1.3809994567200001
ACH-000260,-1.43949472269
ACH-000261,-1.50064708419
ACH-000262,-1.4082959797699999
ACH-000263,-1.86615289182
ACH-000264,-1.30878980014
ACH-000265,-1.75645034283
ACH-000266,-1.5428419965200002
ACH-000272,-1.39869761336
ACH-000273,-1.69914261183
ACH-000274,-1.7877732494499998
ACH-000277,-1.32227815423
ACH-000278,-1.2093584826600001
ACH-000279,-1.8056272435499998
ACH-000280,-2.0030412676
ACH-000281,-2.00921619206
ACH-000288,-1.66171330724
ACH-000291,-1.7468386420700002
ACH-000293,-1.4986316822999999
ACH-000294,-1.45111036915
ACH-000295,-1.58983687889
ACH-000296,-1.3976733761200002
ACH-000302,-1.1142664508700002
ACH-000304,-1.36976214459
ACH-000307,-1.19319345645
ACH-000308,-1.5218223282299999
ACH-000310,-1.4045894021899998
ACH-000311,-1.7415688109599998
ACH-000312,-1.5892856660299999
ACH-000315,-1.0370273753700001
ACH-000316,-1.53237100928
ACH-000317,-1.67516269316
ACH-000318,-1.43516776653
ACH-000319,-1.29316004216
ACH-000320,-1.8664982402599999
ACH-000322,-1.5646126890399998
ACH-000323,-1.5680711296
ACH-000324,-1.5269671477000002
ACH-000329,-1.5733613361899998
ACH-000330,-1.30634182037
ACH-000331,-1.51022150514
ACH-000332,-1.44844235956
ACH-000334,-1.4030162448399999
ACH-000335,-1.54943890912
ACH-000336,-1.875607129
ACH-000337,-1.02032962409
ACH-000339,-1.7555994581599998
ACH-000341,-1.64909081074
ACH-000348,-1.45728661985
ACH-000350,-2.1058882391900005
ACH-000352,-1.6105171918
ACH-000356,-1.5766232906200002
ACH-000361,-1.41656402759
ACH-000362,-1.26886924231
ACH-000363,-1.5691627396899999
ACH-000364,-1.68165226919
ACH-000365,-1.38068358144
ACH-000366,-1.50451659206
ACH-000368,-1.58769907843
ACH-000374,-0.861060499287
ACH-000375,-1.61603406343
ACH-000376,-1.3686127703
ACH-000381,-0.972471546582
ACH-000383,-1.48825374505
ACH-000387,-1.03079577162
ACH-000389,-1.5733404699000002
ACH-000390,-1.4925002316999998
ACH-000393,-1.63921369282
ACH-000395,-1.67669420796
ACH-000397,-1.47001597879
ACH-000401,-1.7680920259200001
ACH-000402,-1.51888026365
ACH-000403,-1.36683818807
ACH-000404,-1.1318134776
ACH-000406,-1.73961680905
ACH-000407,-1.51450168855
ACH-000408,-1.20430966473
ACH-000410,-1.27697645383
ACH-000411,-1.5548556423500002
ACH-000414,-1.7113765349599999
ACH-000415,-1.21516737801
ACH-000416,-1.24206427249
ACH-000420,-1.5305043334900001
ACH-000421,-1.27181680701
ACH-000424,-1.2535163061499999
ACH-000425,-1.55111056651
ACH-000426,-1.4859887142299997
ACH-000427,-1.67425214339
ACH-000433,-1.4625463372299998
ACH-000436,-1.8723551386200001
ACH-000444,-1.4990766849700001
ACH-000445,-1.7242546935900003
ACH-000448,-1.2065103427600001
ACH-000450,-1.26737069625
ACH-000452,-1.40281699832
ACH-000454,-1.46567515613
ACH-000458,-1.4961971504299998
ACH-000459,-1.21074205652
ACH-000460,-1.35427679861
ACH-000461,-1.49045736092
ACH-000463,-1.5411687335100002
ACH-000464,-1.62198208197
ACH-000466,-1.38747235324
ACH-000467,-1.36027985241
ACH-000468,-1.59896946145
ACH-000469,-1.47771965093
ACH-000470,-0.8398639348810001
ACH-000471,-1.4896512118399998
ACH-000472,-1.81488309838
ACH-000473,-1.35743162756
ACH-000475,-1.5032173203299999
ACH-000476,-1.53940556523
ACH-000477,-1.5918140796899998
ACH-000480,-1.46478081026
ACH-000481,-1.21563733398
ACH-000483,-1.37528591341
ACH-000484,-1.5912504127
ACH-000485,-1.78196701138
ACH-000486,-1.7799980440799998
ACH-000487,-0.9876802865790001
ACH-000488,-1.44422090947
ACH-000490,-1.2703693326999999
ACH-000491,-1.6022499127899998
ACH-000495,-1.49839231262
ACH-000496,-1.42449954027
ACH-000499,-1.53683200086
ACH-000500,-1.59098754877
ACH-000502,-1.6769959246200001
ACH-000503,-1.39598252994
ACH-000505,-1.77620417854
ACH-000507,-1.40277004066
ACH-000510,-1.39644162632
ACH-000511,-1.4974217795700002
ACH-000512,-1.7898753816
ACH-000516,-1.70062237069
ACH-000517,-1.53560021632
ACH-000518,-1.44443509994
ACH-000520,-1.55756629225
ACH-000521,-1.59956481465
ACH-000522,-1.4094502840799998
ACH-000524,-1.4543695866
ACH-000527,-1.475225176
ACH-000528,-1.4595538220299997
ACH-000537,-1.42125175061
ACH-000541,-1.5468105226700002
ACH-000542,-1.8603137704700001
ACH-000544,-1.5762872995
ACH-000545,-1.3963521352700001
ACH-000547,-1.2649713068700001
ACH-000548,-1.34747710234
ACH-000549,-1.26520509513
ACH-000550,-1.78277026643
ACH-000552,-1.3863398203
ACH-000556,-1.2583740874299998
ACH-000557,-1.4926203095700001
ACH-000570,-1.39503756016
ACH-000571,-1.70925350856
ACH-000573,-1.56479973041
ACH-000576,-1.9090818756999999
ACH-000580,-1.53243744959
ACH-000584,-1.8000610125799998
ACH-000585,-1.78932210801
ACH-000588,-1.5657854216999998
ACH-000589,-1.6202727144799998
ACH-000591,-1.5874865051700002
ACH-000593,-1.54318227551
ACH-000600,-1.4897497855000001
ACH-000601,-1.5616527180700002
ACH-000604,-0.8141018252240001
ACH-000605,-1.4456675210699999
ACH-000606,-1.38608969137
ACH-000608,-1.7732378692
ACH-000614,-1.9025425935900002
ACH-000616,-1.4061458116299999
ACH-000618,-1.32010769313
ACH-000619,-1.36608461355
ACH-000620,-1.84724655366
ACH-000621,-1.7309914922999998
ACH-000622,-1.23662950739
ACH-000623,-1.4528782999599998
ACH-000624,-1.3089294900200001
ACH-000627,-1.62921126825
ACH-000630,-1.4838236689200002
ACH-000632,-1.63821945587
ACH-000633,-1.24098221344
ACH-000637,-1.44408857342
ACH-000638,-1.5583905523100001
ACH-000646,-1.4440754719
ACH-000647,-1.5911258091799998
ACH-000648,-1.66575510359
ACH-000649,-1.62120919428
ACH-000651,-1.0927605771200002
ACH-000652,-1.7296521969
ACH-000653,-1.428751025
ACH-000657,-1.6906483728100001
ACH-000658,-1.5271836766799998
ACH-000661,-1.7180241052599998
ACH-000662,-1.15927758278
ACH-000663,-1.66271523053
ACH-000665,-1.01023144737
ACH-000671,-1.92787840555
ACH-000673,-1.44234780926
ACH-000676,-1.4528505273899999
ACH-000677,-1.56471510588
ACH-000681,-1.9025537889099997
ACH-000682,-1.7269581011300001
