,PIM1 (5292)
ACH-000794,0.043148009296500006
ACH-000796,0.12221489454500001
ACH-000799,0.156506450988
ACH-000800,0.037852312019599994
ACH-000802,0.111177920211
ACH-000804,0.283271274028
ACH-000805,0.318471279146
ACH-000809,0.0757316445357
ACH-000810,-0.029329122593200002
ACH-000811,0.10989110707699999
ACH-000817,0.0766479749735
ACH-000819,0.22687517864999998
ACH-000820,0.33222417905499996
ACH-000821,0.211799251802
ACH-000822,0.0771282088439
ACH-000823,0.226126392352
ACH-000824,0.137081740138
ACH-000827,0.128315512154
ACH-000829,-0.0321198648403
ACH-000831,0.15306416920399998
ACH-000832,0.149860970179
ACH-000833,0.288282191027
ACH-000834,-0.023852681614700003
ACH-000835,0.171030647459
ACH-000836,0.469928306745
ACH-000837,0.310798077455
ACH-000838,0.332286371708
ACH-000839,0.0792989502609
ACH-000840,0.0613975553868
ACH-000841,0.07106141035889998
ACH-000843,0.250263578223
ACH-000846,-0.0307780293849
ACH-000847,-0.13263891668299999
ACH-000848,0.10849992588
ACH-000849,0.33014451837
ACH-000851,0.247212164079
ACH-000855,-0.12790512277899999
ACH-000856,0.00697892883474
ACH-000858,0.139963958705
ACH-000859,0.44133084877400003
ACH-000861,0.136227666217
ACH-000862,-0.0542050317506
ACH-000865,0.0739014369543
ACH-000866,0.0548214278203
ACH-000867,0.0723059461435
ACH-000869,-0.187491533477
ACH-000872,0.304184574764
ACH-000873,-0.026736633860400004
ACH-000876,0.27066235441
ACH-000878,-0.157562177348
ACH-000880,0.265100726552
ACH-000881,0.151813929925
ACH-000882,0.19315934649099997
ACH-000884,0.294176825587
ACH-000885,0.000868228260616
ACH-000887,0.13001681331599999
ACH-000888,0.193415957777
ACH-000889,0.060931075198099996
ACH-000890,0.193721127766
ACH-000896,0.0011863910358499998
ACH-000898,-0.0306029806647
ACH-000900,0.11871384821900001
ACH-000901,0.191789734776
ACH-000905,-0.162783669243
ACH-000906,0.0787835391708
ACH-000907,0.089414379931
ACH-000910,0.322235066515
ACH-000911,0.120205192938
ACH-000912,0.18184246000100002
ACH-000913,0.111342110323
ACH-000915,-0.0150865277853
ACH-000916,0.405329988206
ACH-000917,0.301351357371
ACH-000921,-0.07370904973720001
ACH-000924,0.0269609482004
ACH-000926,-0.047415282938299996
ACH-000928,0.10261501178400001
ACH-000929,0.246671620732
ACH-000932,0.0397864444379
ACH-000935,0.150450208686
ACH-000936,0.10271074649499999
ACH-000937,0.155237469618
ACH-000938,0.23312488048500002
ACH-000939,0.534469523839
ACH-000941,0.11975117502900001
ACH-000943,0.146596365028
ACH-000946,0.160860010523
ACH-000947,0.090756660537
ACH-000948,0.18335820118700003
ACH-000950,0.0272970135791
ACH-000953,0.16755628817600002
ACH-000957,0.44600096763700003
ACH-000958,-0.055357045489300004
ACH-000960,-0.114924151216
ACH-000963,0.142299758447
ACH-000968,0.35766464477300003
ACH-000969,0.0737231074547
ACH-000973,0.08644273035819999
ACH-000974,0.0862811040728
ACH-000975,0.231519781118
ACH-000976,0.124770777271
ACH-000978,0.114203916852
ACH-000980,0.137382793716
ACH-000984,0.179728688241
ACH-000986,0.124309211059
ACH-000988,0.124543089554
ACH-000993,0.232845697971
ACH-000994,0.16945032758
ACH-000996,0.0139147417553
ACH-001001,0.0324198128028
ACH-001020,0.890980284578
ACH-001028,0.20320810731699998
ACH-001031,-0.127644846002
ACH-001038,0.273079293647
ACH-001048,0.08556781370110002
ACH-001050,-0.04229102785759999
ACH-001053,-0.00529723595874
ACH-001054,0.143501308246
ACH-001061,0.182580333043
ACH-001067,0.168811830638
ACH-001075,-0.033773729277900004
ACH-001096,0.0319313507366
ACH-001128,1.23228962179
ACH-001134,-0.0156716944206
ACH-001151,0.117776877862
ACH-001163,0.197934714326
ACH-001164,0.118551499623
ACH-001173,0.22270717165399997
ACH-001183,-0.28471351273
ACH-001184,-0.0116301534739
ACH-001190,0.191953827306
ACH-001192,0.11180569399599999
ACH-001193,-0.015281748844000001
ACH-001196,0.214059234655
ACH-001197,0.253881937977
ACH-001205,-0.10764472281700001
ACH-001211,0.342753382905
ACH-001212,0.21294849817400002
ACH-001228,-0.0301396476692
ACH-001232,0.0651755676652
ACH-001239,0.130018742076
ACH-001274,-0.0140347553718
ACH-001275,0.226750418584
ACH-001277,0.252663388847
ACH-001278,0.152971744379
ACH-001280,0.208563638346
ACH-001283,0.123986503125
ACH-001289,-0.18380798275
ACH-001295,-0.23157416837499997
ACH-001300,-0.35902553056100006
ACH-001301,0.155108991648
ACH-001302,-0.28179525931999994
ACH-001303,-0.206869766301
ACH-001306,0.0969074782285
ACH-001318,0.20071323019
ACH-001322,0.29962034581
ACH-001328,-0.107581565065
ACH-001332,0.38117514571
ACH-001333,0.142837364942
ACH-001336,0.036865613989699994
ACH-001340,-0.06818403690790001
ACH-001346,0.163817418227
ACH-001353,0.07517611250739999
ACH-001354,-0.189090209712
ACH-001367,0.18245305225400002
ACH-001368,0.10561850056199999
ACH-001374,0.301255166993
ACH-001375,0.0057649170099099995
ACH-001377,0.156385146223
ACH-001380,0.25259920160599997
ACH-001391,0.131930484592
ACH-001407,0.0666900773542
ACH-001408,0.0460081346722
ACH-001413,0.17922145876499998
ACH-001430,-0.0444642991966
ACH-001431,0.271234627566
ACH-001450,0.249795158875
ACH-001496,0.332777375898
ACH-001500,0.38513470921
ACH-001521,0.296575274833
ACH-001523,0.126391070059
ACH-001532,0.169246806949
ACH-001536,0.17522944469
ACH-001550,0.454941172735
ACH-001552,-0.051894797646199996
ACH-001554,0.0886482790615
ACH-001645,0.227562828548
ACH-001654,0.0995432418445
ACH-001715,-0.049981936266400004
ACH-001735,0.132932475823
ACH-001736,0.12242056276300001
ACH-001737,-0.00884541914938
ACH-001740,0.154936473249
ACH-001745,0.142070083219
ACH-001750,-0.0199457060525
ACH-001765,-0.0468153305499
ACH-001956,0.187128910017
ACH-001957,0.126758600709
