,CMKLR1 (1240)
ACH-000004,-0.09513225418150001
ACH-000007,-0.163307440999
ACH-000009,-0.274597028711
ACH-000011,-0.222030182698
ACH-000012,-0.054374383025
ACH-000013,-0.228768758141
ACH-000014,-0.17060075011599998
ACH-000015,-0.107935012573
ACH-000017,-0.201688504524
ACH-000018,0.214556405759
ACH-000019,0.0436596291651
ACH-000021,-0.258501012753
ACH-000022,-0.24610029736900002
ACH-000025,-0.0673019355328
ACH-000028,-0.110875242796
ACH-000030,-0.157612196658
ACH-000035,-0.056430618448400006
ACH-000036,-0.0920129028768
ACH-000037,-0.438100863132
ACH-000039,0.160761469097
ACH-000040,-0.38380167605800003
ACH-000041,-0.00352081056856
ACH-000042,-0.191878335733
ACH-000045,0.11110895420299999
ACH-000047,-0.109039313375
ACH-000052,-0.0823151667789
ACH-000053,-0.112155701571
ACH-000054,0.0551504903364
ACH-000055,-0.0893916766234
ACH-000060,-0.140359726407
ACH-000067,-0.27638327768800003
ACH-000070,-0.351025865101
ACH-000075,-0.120399295019
ACH-000078,-0.175267161908
ACH-000082,-0.15795805822200001
ACH-000085,-0.512216221545
ACH-000086,-0.152133106887
ACH-000087,-0.222326208035
ACH-000092,-0.0127925849747
ACH-000095,-0.128892921921
ACH-000097,-0.10066216648600002
ACH-000098,-0.0516771263588
ACH-000099,-0.13425001307
ACH-000108,-0.09398752359330001
ACH-000113,-0.154986064168
ACH-000115,0.173933893097
ACH-000116,-0.0459291743066
ACH-000118,-0.056151571618599995
ACH-000120,-0.16432020095799998
ACH-000123,-0.38864011172300006
ACH-000127,-0.24750456893300002
ACH-000128,-0.49146687763499997
ACH-000132,-0.0374804236441
ACH-000133,-0.11508199907299999
ACH-000137,-0.120220721158
ACH-000138,-0.178327675007
ACH-000142,-0.23182139200899998
ACH-000143,-0.379483880629
ACH-000146,-0.184499954092
ACH-000148,-0.24345152986299998
ACH-000150,-0.263234810525
ACH-000152,-0.101970684587
ACH-000153,-0.372615822774
ACH-000159,-0.056057434859699995
ACH-000160,-0.0858724624921
ACH-000163,-0.24207540026000002
ACH-000167,-0.611910888206
ACH-000168,-0.133363300252
ACH-000169,-0.00962326124274
ACH-000178,-0.144702644687
ACH-000182,-0.18778336825199998
ACH-000183,-0.327257028874
ACH-000188,-0.111549341921
ACH-000189,-0.188928861849
ACH-000190,-0.284900918134
ACH-000198,-0.155216240387
ACH-000204,-0.177795157441
ACH-000206,0.0468535024553
ACH-000207,-0.181853984021
ACH-000211,-0.164010279376
ACH-000215,-0.230915954352
ACH-000221,-0.212749795607
ACH-000222,-0.0529758363689
ACH-000223,-0.15250141933
ACH-000226,-0.19675299160300003
ACH-000227,-0.0701116043751
ACH-000228,-0.191377526937
ACH-000231,-0.23336240961399998
ACH-000232,-0.103915138493
ACH-000233,-0.004849246275729999
ACH-000234,-0.329860889186
ACH-000235,-0.148759424852
ACH-000237,-0.06861249637080001
ACH-000238,-0.096109021875
ACH-000243,-0.123790445997
ACH-000244,-0.275169117239
ACH-000246,-0.23587542469999997
ACH-000248,0.00231558088127
ACH-000250,-0.12297742110899999
ACH-000251,-0.271283090401
ACH-000253,-0.0299025296527
ACH-000255,-0.23049416702199998
ACH-000256,-0.188820274635
ACH-000257,-0.221979783125
ACH-000258,-0.0956282756552
ACH-000259,-0.227526584359
ACH-000260,-0.067580185736
ACH-000261,-0.329382125283
ACH-000262,0.09527979588369999
ACH-000263,-0.159685201574
ACH-000264,-0.000844284251411
ACH-000265,-0.13467016054300002
ACH-000266,-0.182929297691
ACH-000272,-0.141640289586
ACH-000273,-0.29548306045899997
ACH-000274,-0.186161862651
ACH-000277,-0.501409293137
ACH-000278,-0.34334005871600004
ACH-000279,-0.197566069142
ACH-000280,-0.0322267929159
ACH-000281,-0.34832494416299997
ACH-000288,-0.22536087553000003
ACH-000291,-0.17851461947500002
ACH-000293,-0.142190111918
ACH-000294,-0.23136534243
ACH-000295,0.0423755314217
ACH-000296,-0.0313041397803
ACH-000302,-0.155812111734
