,SHFM1 (7979)
ACH-000004,-1.0533051471500001
ACH-000007,-0.538353336279
ACH-000009,-1.0087046609399999
ACH-000011,-0.8937594749259999
ACH-000012,-1.05977693187
ACH-000013,-0.870192568125
ACH-000014,-0.861726651127
ACH-000015,-0.608831086512
ACH-000017,-0.555882718596
ACH-000018,-0.74286669515
ACH-000019,-0.9717469189040001
ACH-000021,-0.940723902954
ACH-000022,-0.866872399307
ACH-000025,-1.16683696378
ACH-000028,-0.9958553522600001
ACH-000030,-0.9323330769339999
ACH-000035,-0.820014812576
ACH-000036,-0.950142342908
ACH-000037,-0.574099682377
ACH-000039,-1.19278618675
ACH-000040,-1.0763391211700002
ACH-000041,-0.970475419733
ACH-000042,-0.955923856199
ACH-000045,-1.0918895554
ACH-000047,-1.07376631564
ACH-000052,-1.28131430221
ACH-000053,-1.18715540971
ACH-000054,-1.0590767447299998
ACH-000055,-1.21211759991
ACH-000060,-0.954807846984
ACH-000067,-1.14477183093
ACH-000070,-0.882139942068
ACH-000075,-1.22389895347
ACH-000078,-1.08025745906
ACH-000082,-1.24260280195
ACH-000085,-1.01258409267
ACH-000086,-0.750829040061
ACH-000087,-0.9536591480230001
ACH-000092,-1.23407539733
ACH-000095,-1.0881740235500001
ACH-000097,-0.9835423735100001
ACH-000098,-0.681933358279
ACH-000099,-0.971310068581
ACH-000108,-0.9575180029970001
ACH-000113,-1.01548095811
ACH-000115,-1.34019311616
ACH-000116,-1.0478997138700001
ACH-000118,-1.1279409319
ACH-000120,-0.7494791052159999
ACH-000123,-0.889348206989
ACH-000127,-1.23446156717
ACH-000128,-1.0150930106799998
ACH-000132,-1.3407651016600002
ACH-000133,-1.4646056852899998
ACH-000137,-0.930416200008
ACH-000138,-0.682609055816
ACH-000142,-0.8230852804440001
ACH-000143,-0.983064824585
ACH-000146,-0.9484378045530001
ACH-000148,-0.933351080503
ACH-000150,-0.809586619123
ACH-000152,-1.0653953726899998
ACH-000153,-1.14505742567
ACH-000159,-0.9007988332719999
ACH-000160,-0.813906205844
ACH-000163,-1.1811168730500001
ACH-000167,-0.345141660454
