,UBE2W (55284)
ACH-000004,0.0329208726156
ACH-000007,-0.133240790002
ACH-000009,0.015794720095899998
ACH-000011,-0.00159089417289
ACH-000012,-0.158923604046
ACH-000013,-0.109170840382
ACH-000014,0.395027404685
ACH-000015,0.014248579853399999
ACH-000017,-0.550530691813
ACH-000018,-0.13052906964400002
ACH-000019,-0.10289709004599999
ACH-000021,-0.114584945212
ACH-000022,-0.158463740857
ACH-000025,-0.10333554359899999
ACH-000028,-0.139911033884
ACH-000030,-0.0420465063051
ACH-000035,0.09569958346169999
ACH-000036,-0.0043488055074899995
ACH-000037,-0.09869120596969999
ACH-000039,-0.24494728908500002
ACH-000040,-0.273525236392
ACH-000041,-0.11076980393300001
ACH-000042,0.0047008018012
ACH-000045,0.07981234315710001
ACH-000047,-0.09298221676210001
ACH-000052,0.260589815696
ACH-000053,-0.024461767429400004
ACH-000054,-0.0816616350587
ACH-000055,-0.286439506511
ACH-000060,-0.00043358093218300004
ACH-000067,-0.10758624055199999
ACH-000070,0.0717690010796
ACH-000075,0.00899704030851
ACH-000078,0.143088407583
ACH-000082,-0.112529422161
ACH-000085,0.016145988041999997
ACH-000086,0.0640014205787
ACH-000087,0.126488814225
ACH-000092,-0.195537291822
ACH-000095,0.048142025951
ACH-000097,-0.10343982405999999
ACH-000098,-0.0444839173983
ACH-000099,-0.126670614178
ACH-000108,-0.0227315695605
ACH-000113,-0.0451329264336
ACH-000115,-0.21601272028700003
ACH-000116,-0.116646817832
ACH-000118,-0.042134565520699996
ACH-000120,0.13436646041099998
ACH-000123,0.009102385283829999
ACH-000127,-0.0759119162675
ACH-000128,-0.0387167544488
ACH-000132,-0.0199686577039
ACH-000133,0.0436435442442
ACH-000137,-0.176989065088
ACH-000138,-0.0305909560171
ACH-000142,0.0588371642003
ACH-000143,-0.128683403073
ACH-000146,-0.0007790209675269999
ACH-000148,0.0116421118235
ACH-000150,-0.147747841761
ACH-000152,-0.12465578782299999
ACH-000153,-0.263275233847
ACH-000159,-0.0496832962954
ACH-000160,0.09619916222930001
ACH-000163,-0.26368196868099997
ACH-000167,-0.0307063658096
ACH-000168,0.0949747868746
ACH-000169,-0.12265498923000001
ACH-000178,0.023973548225599998
ACH-000182,-0.142843167741
ACH-000183,-0.187832156831
ACH-000188,-0.0389084508029
ACH-000189,-0.0800757641979
ACH-000190,0.12572943556
ACH-000198,-0.21377071563
ACH-000204,-0.060256063112000005
ACH-000206,-0.0669061581461
ACH-000207,-0.10298658797
ACH-000211,0.122583189957
ACH-000215,-0.0399358973948
ACH-000221,-0.232629247918
ACH-000222,0.109394848415
ACH-000223,-0.039613077560900004
ACH-000226,-0.169592802922
ACH-000227,0.24883012016999997
ACH-000228,0.0668895719234
ACH-000231,-0.014745615722
ACH-000232,-0.07340341398860001
ACH-000233,-0.026953481855700002
ACH-000234,0.0182934789805
ACH-000235,-0.0655105663576
ACH-000237,-0.0227458456421
ACH-000238,-0.11432841515
ACH-000243,-0.0345251258993
ACH-000244,-0.161731739801
ACH-000246,-0.061504595438699995
ACH-000248,-0.17441559505600002
ACH-000250,-0.113546357679
ACH-000251,-0.0486348646755
ACH-000253,-0.0674278646886
ACH-000255,0.0162124088191
ACH-000256,-0.303764213886
ACH-000257,-0.270943593562
ACH-000258,-0.224640715387
ACH-000259,-0.0679262766727
ACH-000260,-0.10668017085899999
ACH-000261,-0.0464349919134
ACH-000262,-0.150437702448
ACH-000263,-0.219626460476
ACH-000264,-0.0795788673877
ACH-000265,-0.00023767128016700001
ACH-000266,-0.012008171167799998
ACH-000272,-0.025232975833200003
ACH-000273,-0.11147357016699999
ACH-000274,-0.174945875915
ACH-000277,-0.0126787783288
ACH-000278,0.2546559772
ACH-000279,-0.0899618205939
ACH-000280,-0.133625055728
ACH-000281,0.0105358561834
ACH-000288,0.0401261769839
ACH-000291,-0.113865228979
ACH-000293,-0.027148943303900004
ACH-000294,-0.00949604327229
ACH-000295,0.107246863312
ACH-000296,-0.23280340667100002
ACH-000302,-0.0787427006958
ACH-000304,-0.14092296935
ACH-000307,0.0257656060075
ACH-000308,-0.094615485239
ACH-000310,-0.05646910909030001
ACH-000311,-0.12764436123
ACH-000312,-0.0205504859766
ACH-000315,-0.0037076000433699996
ACH-000316,-0.0616716109618
ACH-000317,-0.00444626807495
ACH-000318,0.0834337909787
ACH-000319,0.06563957466659999
ACH-000320,0.24045983652800001
ACH-000322,-0.0724030701322
ACH-000323,0.0910253753573
ACH-000324,-0.117650622229
ACH-000329,-0.143997000428
ACH-000330,-0.252447849592
ACH-000331,-0.130313858494
ACH-000332,-0.0637012994739
ACH-000334,-0.22337774188999998
ACH-000335,-0.029544767922200003
ACH-000336,-0.0225668423318
ACH-000337,0.05628523884600001
ACH-000339,0.07380969635250001
ACH-000341,-0.21389761352699999
ACH-000348,-0.0196347472803
ACH-000350,0.05110993745680001
ACH-000352,-0.241732005669
ACH-000356,-0.0517998917929
ACH-000361,-0.018899976589900003
ACH-000362,-0.0308129567322
ACH-000363,-0.00673946331414
ACH-000364,-0.016957237936
ACH-000365,-0.00121451898004
ACH-000366,-0.0837195967732
ACH-000368,-0.180844492883
ACH-000374,0.272817685317
ACH-000375,-0.15686917374099998
ACH-000376,-0.114433557133
ACH-000381,-0.020905113033599997
ACH-000383,-0.00382790159682
ACH-000387,-0.216494456155
