,PRKAR2A (5576)
ACH-000004,-0.217263552983
ACH-000007,-0.651029455273
ACH-000009,-0.600328659944
ACH-000011,-0.390345888729
ACH-000012,-0.547351972937
ACH-000013,-0.366565641426
ACH-000014,-0.259242371445
ACH-000015,-0.42806741933700004
ACH-000017,-0.174839619274
ACH-000018,-0.43911735363300003
ACH-000019,-0.431607417798
ACH-000021,-0.376322466258
ACH-000022,-0.462547814028
ACH-000025,-0.47856596976899995
ACH-000028,-0.298923794889
ACH-000030,-0.37299953397200003
ACH-000035,-0.191485272702
ACH-000036,-0.276244163333
ACH-000037,-0.357996605734
ACH-000039,-0.388560751936
ACH-000040,-0.706346949103
ACH-000041,-0.261762768844
ACH-000042,-0.506144710793
ACH-000045,-0.483355215833
ACH-000047,-0.316964130002
ACH-000052,-0.09481198546700001
ACH-000053,-0.431980203101
ACH-000054,-0.379777936875
ACH-000055,-0.24704025669100002
ACH-000060,-0.278573359691
ACH-000067,-0.48819084147
ACH-000070,-0.561072930442
ACH-000075,0.231707675299
ACH-000078,-0.504173769064
ACH-000082,-0.33564894865500006
ACH-000085,-0.225764045456
ACH-000086,-0.176243886183
ACH-000087,-0.0632586836726
ACH-000092,-0.23281227554699999
ACH-000095,-0.29634090842599997
ACH-000097,-0.279931841372
ACH-000098,-0.540604407783
ACH-000099,-0.47769876450000004
ACH-000108,-0.357391062387
ACH-000113,-0.332516201709
ACH-000115,-0.49659669313
ACH-000116,-0.495342910872
ACH-000118,-0.31701909208900003
ACH-000120,-0.408446982896
ACH-000123,-0.361216997716
ACH-000127,-0.253595585086
ACH-000128,-0.307818827678
ACH-000132,-0.6014197291219999
ACH-000133,-0.207532345999
ACH-000137,-0.24941581119399997
ACH-000138,-0.462200764328
ACH-000142,-0.259147469923
ACH-000143,-0.37961739155599994
ACH-000146,-0.323253468479
ACH-000148,-0.262235219811
ACH-000150,-0.463738674785
ACH-000152,-0.40513700985
ACH-000153,-0.273389828271
ACH-000159,-0.311037366546
ACH-000160,-0.214565683935
ACH-000163,-0.385958874543
ACH-000167,-0.591382286566
ACH-000168,-0.523681572187
ACH-000169,-0.19595899126
ACH-000178,-0.385512903595
ACH-000182,-0.17733408775899998
ACH-000183,-0.5196491272770001
ACH-000188,-0.30061120036600003
ACH-000189,-0.638517822303
ACH-000190,-0.560312542915
ACH-000198,-0.316107926393
ACH-000204,-0.693659723564
ACH-000206,0.153387563048
ACH-000207,-0.199112698645
ACH-000211,-0.392368105886
ACH-000215,-0.30962480663
ACH-000221,-0.470935304811
ACH-000222,-0.552973994234
ACH-000223,-0.42163367665299994
ACH-000226,-0.31507635867600003
ACH-000227,-0.39210633666
ACH-000228,-0.339729151888
ACH-000231,-0.350843176779
ACH-000232,-0.28275923839899997
ACH-000233,-0.25234603284400003
ACH-000234,-0.231287204024
ACH-000235,-0.396230677487
ACH-000237,-0.609691732231
ACH-000238,-0.609463456368
ACH-000243,-0.28598681666299997
ACH-000244,-0.301846474831
ACH-000246,-0.44984425294799996
ACH-000248,-0.38448929125299997
ACH-000250,-0.350500493002
ACH-000251,0.0255585281779
ACH-000253,-0.421976213764
ACH-000255,-0.40756395818
ACH-000256,-0.209700520256
ACH-000257,-0.732559844048
ACH-000258,-0.823602255842
ACH-000259,-0.269262467821
ACH-000260,-0.394758047062
ACH-000261,-0.198164928317
ACH-000262,-0.28452947888700003
ACH-000263,-0.845895386846
ACH-000264,-0.40651471587800003
ACH-000265,-0.508792226608
ACH-000266,-0.387233377667
ACH-000272,-0.28675215473
ACH-000273,-0.473938646914
ACH-000274,-0.324246974693
ACH-000277,-0.24795512281100002
ACH-000278,-0.431486409366
ACH-000279,-0.36027150549000003
ACH-000280,-0.573787102554
ACH-000281,-0.169393972968
ACH-000288,-0.557629068682
ACH-000291,-0.48982045151799997
ACH-000293,-0.0487293914209
ACH-000294,-0.176415704646
ACH-000295,-0.40570913393799996
ACH-000296,-0.415873068925
ACH-000302,-0.344105630754
ACH-000304,-0.577333704493
ACH-000307,-0.385503458201
ACH-000308,-0.314026459895
ACH-000310,-0.585130775414
ACH-000311,-0.134385984342
ACH-000312,-0.396189637856
ACH-000315,0.0256366214184
ACH-000316,-0.40736307465300003
ACH-000317,-0.564391310224
ACH-000318,-0.26588324195999996
ACH-000319,-0.191006131542
ACH-000320,-0.635074422937
ACH-000322,-0.27879910718600004
