,PI4K2A (55361)
ACH-000004,-0.176571270608
ACH-000007,-0.180179625171
ACH-000009,-0.14099894825200002
ACH-000011,-0.11878344629200001
ACH-000012,-0.155110474155
ACH-000013,-0.254924944026
ACH-000014,-0.138595631418
ACH-000015,-0.126194597662
ACH-000017,-0.05228583059769999
ACH-000018,-0.102637272138
ACH-000019,-0.313739993003
ACH-000021,-0.12918588130300002
ACH-000022,-0.0313280698711
ACH-000025,-0.190575305381
ACH-000028,-0.243629101041
ACH-000030,-0.195732125854
ACH-000035,-0.19129932035500002
ACH-000036,-0.0886767521534
ACH-000037,-0.27402105066
ACH-000039,-0.13475489728
ACH-000040,-0.06098137120969999
ACH-000041,-0.266918821893
ACH-000042,-0.308118339685
ACH-000045,-0.19018580067200003
ACH-000047,-0.0952669038851
ACH-000052,-0.350675649674
ACH-000053,-0.11358653903100001
ACH-000054,-0.17314562933400002
ACH-000055,-0.34070692982600004
ACH-000060,-0.129770916982
ACH-000067,-0.374322218591
ACH-000070,0.0341480623469
ACH-000075,-0.0570343400992
ACH-000078,-0.109649032216
ACH-000082,-0.116229551422
ACH-000085,-0.305784818447
ACH-000086,-0.29848214071
ACH-000087,0.0034537516371999995
ACH-000092,-0.20915969728199998
ACH-000095,-0.21340162357999998
ACH-000097,-0.0885159977981
ACH-000098,-0.17764995985100002
ACH-000099,-0.166088424796
ACH-000108,-0.150360315394
ACH-000113,-0.209523954694
ACH-000115,-0.35369681657200003
ACH-000116,-0.151141924798
ACH-000118,-0.22451382540800002
ACH-000120,-0.07734899638460001
ACH-000123,-0.15117391014599998
ACH-000127,-0.398007390532
ACH-000128,-0.0228918120391
ACH-000132,-0.255104419635
ACH-000133,-0.23871662894
ACH-000137,-0.151213366141
ACH-000138,-0.12277530751299999
ACH-000142,-0.0134381577127
ACH-000143,-0.08929293593800001
ACH-000146,-0.187651388831
ACH-000148,-0.319390574041
ACH-000150,-0.166412517357
ACH-000152,-0.14971430829000001
ACH-000153,0.0410910681484
ACH-000159,-0.250680651853
ACH-000160,-0.183445228094
ACH-000163,-0.13596163269
ACH-000167,-0.174601617619
ACH-000168,-0.27389127811999997
ACH-000169,-0.169484878417
ACH-000178,-0.231387644459
ACH-000182,-0.18511983157900003
ACH-000183,-0.195762547944
ACH-000188,-0.299953376757
ACH-000189,-0.208945635258
ACH-000190,-0.281519188332
ACH-000198,-0.0990250404678
ACH-000204,-0.138965579069
ACH-000206,-0.24893052434799998
ACH-000207,0.119383913611
ACH-000211,-0.20349137344300003
ACH-000215,-0.209064783685
ACH-000221,-0.09913120489739999
ACH-000222,-0.266008800924
ACH-000223,-0.21165070449
ACH-000226,-0.21202343979000002
ACH-000227,-0.09694435715819999
ACH-000228,-0.290685241581
ACH-000231,-0.243581258949
ACH-000232,-0.113813700941
ACH-000233,-0.208711207298
ACH-000234,-0.205612857257
ACH-000235,-0.190145130998
ACH-000237,-0.26378685318399997
ACH-000238,-0.163009111969
ACH-000243,-0.155608091425
ACH-000244,0.13314543846899998
ACH-000246,-0.20938148221900002
ACH-000248,-0.19190213663
ACH-000250,-0.233184394476
ACH-000251,-0.10870101028899999
ACH-000253,-0.147442655477
ACH-000255,-0.440440366256
ACH-000256,-0.12683324573
ACH-000257,-0.256715883184
ACH-000258,-0.192921139952
ACH-000259,-0.20292522765999998
ACH-000260,-0.267481306419
ACH-000261,-0.229354686806
ACH-000262,-0.18073290182799998
ACH-000263,0.060243115838900005
ACH-000264,-0.22620441487799997
ACH-000265,-0.39955360136699997
ACH-000266,-0.226197059124
ACH-000272,-0.17703009272300002
ACH-000273,-0.0670285179544
ACH-000274,-0.186800631926
ACH-000277,-0.314760884105
ACH-000278,-0.407299419999
ACH-000279,-0.106010877895
ACH-000280,-0.329527714783
ACH-000281,-0.28684212251999996
ACH-000288,-0.16392102631799998
ACH-000291,-0.259353138921
ACH-000293,-0.385223582823
ACH-000294,-0.401199574704
ACH-000295,-0.388014905068
ACH-000296,-0.162789968784
ACH-000302,-0.25639568552499997
ACH-000304,-0.332813235062
ACH-000307,-0.201869249435
ACH-000308,-0.24069848612199998
ACH-000310,-0.195832551682
ACH-000311,-0.377119091478
ACH-000312,-0.01974645755
ACH-000315,0.073074182137
ACH-000316,-0.30404844388
ACH-000317,-0.26914480919
ACH-000318,-0.166523333236
ACH-000319,-0.0540777407039
ACH-000320,-0.185507693253
ACH-000322,-0.015897910213
ACH-000323,-0.303760730211
ACH-000324,-0.172642240508
ACH-000329,-0.166762785793
ACH-000330,-0.039780016903199995
ACH-000331,-0.27783266079700003
ACH-000332,-0.25120886579999996
ACH-000334,0.0709672855454
ACH-000335,-0.0928595907862
ACH-000336,-0.150104562351
ACH-000337,-0.267475137361
ACH-000339,-0.232298637897
ACH-000341,-0.0497476419156
ACH-000348,-0.0357381260983
ACH-000350,-0.08851075394030002
ACH-000352,-0.118860406273
ACH-000356,-0.331735678135
ACH-000361,-0.1729036176
ACH-000362,-0.24619804297400003
ACH-000363,-0.20457502076900003
ACH-000364,-0.254206141273
ACH-000365,-0.03842384977319999
ACH-000366,-0.148835906205
ACH-000368,-0.23064407292599998
ACH-000374,-0.393808384978
ACH-000375,-0.0068777106555399994
ACH-000376,-0.25331162206999996
ACH-000381,-0.145530606078
ACH-000383,-0.177808669332
ACH-000387,-0.36307499937700005
ACH-000389,-0.181928132648
ACH-000390,-0.38870169863000004
ACH-000393,-0.384891216486
ACH-000395,-0.22106606015299998
ACH-000397,-0.243408878391
ACH-000401,-0.290950639335
ACH-000402,-0.37565979622400003
ACH-000403,-0.176214381233
ACH-000404,-0.188808172344
ACH-000406,-0.349823877728
ACH-000407,-0.07794544158460001
ACH-000408,-0.235715205876
ACH-000410,-0.173805321847
ACH-000411,-0.296401429177
ACH-000414,-0.105770032213
ACH-000415,-0.160270434366
ACH-000416,-0.194526147944
ACH-000420,-0.225550056763
ACH-000421,-0.199219433155
ACH-000424,-0.15087308729
ACH-000425,-0.274114406919
ACH-000426,-0.09152166031589999
ACH-000427,-0.409585619061
ACH-000433,-0.303780058963
ACH-000436,-0.195029623128
ACH-000444,-0.311045483442
ACH-000445,-0.291283105885
ACH-000448,-0.226586605169
ACH-000450,-0.11829647272
ACH-000452,-0.321205541633
ACH-000454,-0.256216378011
ACH-000458,-0.11763407209000001
ACH-000459,-0.127228507501
ACH-000460,-0.0771209104749
ACH-000461,-0.154591760439
ACH-000463,-0.15911558125
ACH-000464,-0.03696924056380001
ACH-000466,-0.11042989149900001
ACH-000467,-0.23880495936299997
ACH-000468,-0.328848448985
ACH-000469,-0.19447178745299998
ACH-000470,-0.058020011355400004
ACH-000471,0.148415478263
ACH-000472,-0.183061678931
ACH-000473,0.0646079713055
ACH-000475,-0.28715184643
ACH-000476,-0.344485170077
ACH-000477,-0.14032468307600002
ACH-000480,-0.222632597949
ACH-000481,-0.173336916998
ACH-000483,-0.274901409649
ACH-000484,-0.121507018481
ACH-000485,-0.299640425872
ACH-000486,-0.172146362854
ACH-000487,-0.190681850797
ACH-000488,-0.135889894273
ACH-000490,-0.26094081232
ACH-000491,-0.107215134406
ACH-000495,-0.144660672928
ACH-000496,-0.217918466826
ACH-000499,-0.0663675178998
ACH-000500,-0.606332626378
ACH-000502,-0.219266849381
ACH-000503,0.0566064137003
ACH-000505,-0.178775363949
ACH-000507,-0.07774456752719999
ACH-000510,-0.15761763098
ACH-000511,-0.0313329723721
ACH-000512,0.00729399999629
ACH-000516,-0.215179752577
ACH-000517,-0.165593354176
ACH-000518,0.0345546815455
ACH-000520,-0.304314781584
ACH-000521,-0.241822862113
ACH-000522,-0.0341004642674
ACH-000524,-0.245506707188
ACH-000527,-0.17244889012400003
ACH-000528,-0.2476612261
ACH-000537,-0.022434872740000004
ACH-000541,-0.196641191653
ACH-000542,-0.263053845852
ACH-000544,-0.07038808001630001
ACH-000545,-0.26861508273
ACH-000547,-0.388654227813
ACH-000548,-0.18970512778299997
ACH-000549,-0.277020158047
ACH-000550,-0.266685867781
