,SPRR2G (6706)
ACH-000004,-0.397312008982
ACH-000007,-0.258328895022
ACH-000009,-0.424444387826
ACH-000011,-0.50379466371
ACH-000012,-0.223522369529
ACH-000013,-0.220394410555
ACH-000014,-0.308678020832
ACH-000015,-0.17102164522
ACH-000017,-0.354788601167
ACH-000018,-0.279324773849
ACH-000019,-0.233953015796
ACH-000021,-0.328313142992
ACH-000022,-0.0690745777668
ACH-000025,-0.45300673495800003
ACH-000028,-0.280540138469
ACH-000030,-0.212129925759
ACH-000035,-0.017577164255800002
ACH-000036,-0.40532875653899997
ACH-000037,-0.45904067351800004
ACH-000039,-0.159009454761
ACH-000040,-0.437596769387
ACH-000041,-0.146516218749
ACH-000042,-0.20787382234700003
ACH-000045,-0.26302701491
ACH-000047,-0.145527790346
ACH-000052,-0.280840996811
ACH-000053,-0.237728695782
ACH-000054,-0.529331412329
ACH-000055,-0.19201685461100002
ACH-000060,-0.309473309393
ACH-000067,-0.24442951214699998
ACH-000070,-0.466579644886
ACH-000075,-0.5534900229290001
ACH-000078,-0.25166265772
ACH-000082,-0.428001837519
ACH-000085,-0.0618814663958
ACH-000086,-0.55261609991
ACH-000087,-0.340416299677
ACH-000092,-0.467603690298
ACH-000095,-0.17344779458
ACH-000097,-0.555380915433
ACH-000098,-0.35710401835999994
ACH-000099,-0.167301813504
ACH-000108,-0.110442122473
ACH-000113,-0.195434960639
ACH-000115,-0.280686543805
ACH-000116,-0.299226791233
ACH-000118,-0.26878536439399997
ACH-000120,-0.31107094359799997
ACH-000123,-0.333134346282
ACH-000127,-0.327530559969
ACH-000128,-0.481615104931
ACH-000132,-0.159840018485
ACH-000133,-0.34356824906800004
ACH-000137,-0.528685153191
ACH-000138,-0.160704272598
ACH-000142,-0.298685092027
ACH-000143,-0.565780525369
ACH-000146,-0.451050173569
ACH-000148,-0.396924317438
ACH-000150,-0.403439104212
ACH-000152,-0.249671874904
ACH-000153,-0.760114609437
ACH-000159,-0.440622347596
ACH-000160,-0.26798178071199996
ACH-000163,-0.408526249801
ACH-000167,-0.43931699869999996
ACH-000168,-0.33748929577799996
ACH-000169,-0.317527282407
ACH-000178,-0.22245486514199997
ACH-000182,-0.0957557651902
ACH-000183,-0.15013790273900002
ACH-000188,-0.237081868171
ACH-000189,-0.31527247530200003
ACH-000190,-0.316972196019
ACH-000198,-0.268395081767
ACH-000204,-0.36266702325800004
ACH-000206,-0.35552012321500004
ACH-000207,-0.398571841525
ACH-000211,-0.394001271714
ACH-000215,-0.467042656548
ACH-000221,-0.31377201411999994
ACH-000222,-0.47303151561800005
ACH-000223,-0.238768455581
ACH-000226,-0.550929779574
ACH-000227,-0.218883628774
ACH-000228,-0.391359134083
ACH-000231,-0.242171410649
ACH-000232,-0.192211650076
