,XBP1 (7494)
ACH-000004,-0.0540356129505
ACH-000007,-0.129594533643
ACH-000009,-0.126601006064
ACH-000011,-0.290862997114
ACH-000012,-0.129429330474
ACH-000013,-0.12018017888699999
ACH-000014,-0.09003182527339999
ACH-000015,-0.12018440649800001
ACH-000017,0.14712918829000002
ACH-000018,-0.192652260691
ACH-000019,0.00291487410721
ACH-000021,-0.00260067508004
ACH-000022,-0.006710625671979999
ACH-000025,-0.329123111533
ACH-000028,0.05491258280399999
ACH-000030,-0.0399014330916
ACH-000035,-0.113614127308
ACH-000036,-0.0565987091835
ACH-000037,-0.09981883345489999
ACH-000039,-0.15863798402
ACH-000040,-0.11341959234099999
ACH-000041,-0.0753585978282
ACH-000042,-0.271829562011
ACH-000045,0.0400923368641
ACH-000047,0.037549244677
ACH-000052,-0.36246443854099997
ACH-000053,-0.15096887379
ACH-000054,-0.25539808034
ACH-000055,-0.149737090009
ACH-000060,-0.0589659219379
ACH-000067,-0.15757457284499998
ACH-000070,-0.038079965117
ACH-000075,-0.07231303946989999
ACH-000078,-0.054262856529900004
ACH-000082,-0.052470946315199996
ACH-000085,-0.0826863660424
ACH-000086,-0.012041504932
ACH-000087,0.0674467358041
ACH-000092,-0.232843464312
ACH-000095,-0.326430568633
ACH-000097,-0.0204599917721
ACH-000098,-0.0372257476463
ACH-000099,-0.141065721231
ACH-000108,-0.015984060590299998
ACH-000113,-0.27226290666999997
ACH-000115,-0.350819964406
ACH-000116,0.0212838538571
ACH-000118,-0.34903297906400005
ACH-000120,-0.120495723677
ACH-000123,-0.148144038636
ACH-000127,0.023138455561000002
ACH-000128,-0.0745529586516
ACH-000132,-0.273310204705
ACH-000133,-0.275316986406
ACH-000137,-0.08648410816960002
ACH-000138,0.0565469850799
ACH-000142,-0.18250751893
ACH-000143,-0.200194657033
ACH-000146,0.00532572190822
ACH-000148,0.059553649376300005
ACH-000150,0.08747139874280001
ACH-000152,-0.0497305899572
ACH-000153,0.44558272555699996
ACH-000159,-0.0675787279342
ACH-000160,-0.0297251906526
ACH-000163,-0.051440329393499996
ACH-000167,-0.18495055808
ACH-000168,0.129009285378
ACH-000169,-0.142892179146
ACH-000178,-0.118818740387
ACH-000182,-0.0905928234047
ACH-000183,-0.300881383133
ACH-000188,0.00033401000014599995
ACH-000189,0.12677301812
ACH-000190,-0.0588451159595
ACH-000198,0.0146706068579
ACH-000204,-0.31826706764
ACH-000206,-0.053010260265600004
ACH-000207,-0.0845070613065
ACH-000211,-0.0230926378549
ACH-000215,-0.019822119883599998
ACH-000221,-0.12333395872099999
ACH-000222,-0.177834930651
ACH-000223,-0.22597594946199998
ACH-000226,-0.0633675766697
ACH-000227,0.0555799403321
ACH-000228,-0.191172916622
ACH-000231,-0.0365297226199
ACH-000232,-0.0710610996254
ACH-000233,-0.0690981547544
ACH-000234,0.13297784350199998
ACH-000235,-0.0849715074879
ACH-000237,-0.155345302628
ACH-000238,-0.0933319280954
ACH-000243,-0.0631682021967
ACH-000244,-0.24028167312399998
ACH-000246,-0.0324021513368
ACH-000248,-0.140724984108
ACH-000250,-0.0232985495168
ACH-000251,-0.151790880673
ACH-000253,0.07503273611889999
ACH-000255,-0.118760347064
