,TXNL4A (10907)
ACH-000004,-1.66778512345
ACH-000007,-1.7772639428299999
ACH-000009,-1.82898857622
ACH-000011,-1.95563193807
ACH-000012,-2.04849145389
ACH-000013,-2.17504936007
ACH-000014,-2.05679671748
ACH-000015,-1.93745923518
ACH-000017,-1.96881579414
ACH-000018,-1.82490231931
ACH-000019,-2.5052484547
ACH-000021,-1.7616827726900002
ACH-000022,-2.2211066694799997
ACH-000025,-1.6671851386200003
ACH-000028,-1.9923262164500002
ACH-000030,-1.9724283062099999
ACH-000035,-1.47857068665
ACH-000036,-1.57310166215
ACH-000037,-2.4059611992
ACH-000039,-2.3682674277099998
ACH-000040,-1.8435274347200001
ACH-000041,-1.89924375524
ACH-000042,-1.8833629777
ACH-000045,-2.0961228150299998
ACH-000047,-1.8977041142299997
ACH-000052,-1.5221921417
ACH-000053,-1.9649126403400001
ACH-000054,-1.9701841813499998
ACH-000055,-1.69033204159
ACH-000060,-1.8783226045599997
ACH-000067,-1.67466088505
ACH-000070,-2.02089303824
ACH-000075,-1.3539134325400002
ACH-000078,-2.19848123833
ACH-000082,-2.03692298077
ACH-000085,-2.0301473596
ACH-000086,-1.5058311317299997
ACH-000087,-2.04414306339
ACH-000092,-1.7685572440400001
ACH-000095,-2.04358082696
ACH-000097,-1.8799997198099998
ACH-000098,-1.8414305323299998
ACH-000099,-1.8799366748900002
ACH-000108,-1.96754574134
ACH-000113,-1.79117699667
ACH-000115,-2.17265265198
ACH-000116,-2.16577962505
ACH-000118,-1.95796875309
ACH-000120,-1.6616945183399998
ACH-000123,-1.8892345427700001
ACH-000127,-1.78260686592
ACH-000128,-1.50450831662
ACH-000132,-1.96612638743
ACH-000133,-1.7429801226700001
ACH-000137,-2.00032550024
ACH-000138,-1.8846781838599997
ACH-000142,-1.75178478602
ACH-000143,-1.91736506287
ACH-000146,-2.2897312749700003
ACH-000148,-1.7867274981999999
ACH-000150,-1.85994977747
ACH-000152,-1.6309426427399998
ACH-000153,-2.02005591555
ACH-000159,-1.88815617539
ACH-000160,-2.0599390001599995
ACH-000163,-2.11666547935
ACH-000167,-2.13351811432
ACH-000168,-2.0618038539200003
ACH-000169,-1.9128728501400003
ACH-000178,-1.78493862846
ACH-000182,-1.9648163219499999
ACH-000183,-1.79695380002
ACH-000188,-1.79191471444
ACH-000189,-1.4909599425100002
ACH-000190,-2.0276692070299998
ACH-000198,-2.0080417062900002
ACH-000204,-1.520881555
ACH-000206,-2.4060604523599998
ACH-000207,-2.3226604789
ACH-000211,-1.8958392343400001
ACH-000215,-1.78841814838
ACH-000221,-2.20391971555
ACH-000222,-2.39542306246
ACH-000223,-2.12145201529
ACH-000226,-1.9252017379400004
ACH-000227,-1.52471082201
ACH-000228,-1.82100694428
ACH-000231,-1.66486924655
ACH-000232,-2.1447710090400003
ACH-000233,-2.2455393742200003
ACH-000234,-2.44251816863
ACH-000235,-1.9820745186200002
ACH-000237,-1.8702028206999999
ACH-000238,-1.73322335463
ACH-000243,-1.9190825917400003
ACH-000244,-2.10912180865
ACH-000246,-1.9535113938599997
ACH-000248,-1.7326194242299997
ACH-000250,-1.81936815287
ACH-000251,-1.92752964705
ACH-000253,-1.9047360388999999
ACH-000255,-1.80525180964
ACH-000256,-2.27529965306
ACH-000257,-1.4462248805000002
ACH-000258,-2.08800636468
ACH-000259,-2.1498099775
ACH-000260,-1.7591234987900002
ACH-000261,-2.01383054882
ACH-000262,-1.6358445680899998
ACH-000263,-2.06429329528
ACH-000264,-1.8221012758700001
ACH-000265,-2.12990107651
ACH-000266,-2.1586156329099997
ACH-000272,-1.7682927076099997
ACH-000273,-1.8641863184599998
ACH-000274,-2.1546841430900003
ACH-000277,-2.3702656903
ACH-000278,-1.97079069444
ACH-000279,-1.76909313343
ACH-000280,-1.96717456504
ACH-000281,-2.32931575916
ACH-000288,-1.7496847038900003
ACH-000291,-1.8618282663900003
ACH-000293,-1.9935104081000001
ACH-000294,-2.37941809194
ACH-000295,-1.54032366334
ACH-000296,-2.10585187067
ACH-000302,-2.2000596717
ACH-000304,-2.20085133746
ACH-000307,-1.8871610775299998
ACH-000308,-2.00041473223
ACH-000310,-2.28381605308
ACH-000311,-2.21907266408
ACH-000312,-2.08817547011
ACH-000315,-2.12496870775
ACH-000316,-1.68611709815
ACH-000317,-1.66420803347
ACH-000318,-2.24688163598
ACH-000319,-1.50821189822
ACH-000320,-1.86447557711
ACH-000322,-1.70227571695
ACH-000323,-1.4557217882799998
ACH-000324,-1.7755940184299999
ACH-000329,-2.03207471819
ACH-000330,-1.6582932190200002
ACH-000331,-1.6815413490600002
ACH-000332,-2.0083324937099998
ACH-000334,-1.77188683488
ACH-000335,-1.9624682588900002
ACH-000336,-1.36733314537
ACH-000337,-2.23610546115
ACH-000339,-1.8960934498599997
ACH-000341,-2.40295389068
ACH-000348,-2.02077077575
ACH-000350,-2.488846258
ACH-000352,-1.84426107931
ACH-000356,-1.56940943114
ACH-000361,-2.10531322498
ACH-000362,-2.09294754552
ACH-000363,-2.1891484673400003
ACH-000364,-1.43767466534
ACH-000365,-1.86547952248
ACH-000366,-1.87218745847
ACH-000368,-1.9004472332099998
ACH-000374,-1.4979124035
ACH-000375,-1.9516463119799998
ACH-000376,-1.91581128982
ACH-000381,-2.2463417173599995
ACH-000383,-1.9930001755900002
ACH-000387,-2.18516753442
ACH-000389,-1.62548243845
ACH-000390,-2.1288414029599996
ACH-000393,-1.8690456868
ACH-000395,-2.47415514651
ACH-000397,-1.6276261781
ACH-000401,-1.75871023909
ACH-000402,-2.2453792847
ACH-000403,-2.2535959857099996
ACH-000404,-1.64525285174
ACH-000406,-1.97780923354
ACH-000407,-1.8508634087400002
ACH-000408,-1.64498702151
ACH-000410,-1.80962468158
ACH-000411,-1.86495751788
ACH-000414,-2.18503419216
ACH-000415,-1.8348775932099999
ACH-000416,-1.7502580736400002
ACH-000420,-1.81998154535
ACH-000421,-1.8470582517099998
ACH-000424,-1.52597292822
ACH-000425,-1.9471274608900002
ACH-000426,-2.7346011498799996
ACH-000427,-1.64791007245
ACH-000433,-1.8456684715
ACH-000436,-2.03189427426
