,CIR1 (9541)
ACH-000004,-0.301195164528
ACH-000007,-0.284181031707
ACH-000009,-0.35023799730599997
ACH-000011,-0.630060479812
ACH-000012,-0.41633683501400004
ACH-000013,-0.322885072321
ACH-000014,-0.40912592323799996
ACH-000015,-0.146720481741
ACH-000017,-0.419310089401
ACH-000018,-0.48031679955300005
ACH-000019,-0.673003947133
ACH-000021,-0.18844716394000002
ACH-000022,-0.251301831314
ACH-000025,-0.564220298992
ACH-000028,-0.460535763402
ACH-000030,-0.400936067932
ACH-000035,-0.332745718668
ACH-000036,-0.40956159631300004
ACH-000037,-0.33448785829
ACH-000039,-0.310160553457
ACH-000040,-0.291701801311
ACH-000041,-0.45745244507
ACH-000042,-0.218193753324
ACH-000045,-0.278817153624
ACH-000047,-0.241269718912
ACH-000052,-0.640687464563
ACH-000053,-0.133352040278
ACH-000054,-0.26743372683
ACH-000055,-0.165785088551
ACH-000060,-0.266371946928
ACH-000067,-0.501439050893
ACH-000070,-0.46502769435900004
ACH-000075,-0.480884995671
ACH-000078,-0.39276801876
ACH-000082,-0.318403459661
ACH-000085,-0.141585548441
ACH-000086,-0.469399255156
ACH-000087,-0.521278082428
ACH-000092,-0.6921295368189999
ACH-000095,-0.235463279115
ACH-000097,-0.23393436132800002
ACH-000098,-0.311768235291
ACH-000099,-0.452315569674
ACH-000108,-0.209788961682
ACH-000113,-0.463725950193
ACH-000115,-0.345041322889
ACH-000116,-0.212941147537
ACH-000118,-0.24866305147700002
ACH-000120,-0.345879260897
ACH-000123,-0.41966398056000004
ACH-000127,-0.38506435932300004
ACH-000128,-0.264064705169
ACH-000132,-0.09852956019169999
ACH-000133,-0.579956062992
ACH-000137,-0.39791280673100005
ACH-000138,-0.16414858551300002
ACH-000142,-0.401633329029
ACH-000143,-0.40586720240400004
ACH-000146,-0.21059751508699998
ACH-000148,-0.49963631293899996
ACH-000150,-0.396881420306
ACH-000152,-0.31786677929
ACH-000153,-0.268825027308
ACH-000159,-0.39064612334
ACH-000160,-0.144838956464
ACH-000163,-0.442879790528
ACH-000167,-0.268104560238
ACH-000168,-0.347584481483
ACH-000169,-0.155397369162
ACH-000178,-0.09686637143030001
ACH-000182,-0.232373556998
ACH-000183,-0.227274160008
ACH-000188,-0.6609189501120001
ACH-000189,-0.26615223452
ACH-000190,-0.285790789163
ACH-000198,-0.447046636989
ACH-000204,-0.34405508298500004
ACH-000206,-0.664059585611
ACH-000207,-0.261824818832
ACH-000211,-0.38111485175399995
ACH-000215,-0.45522400043600003
ACH-000221,-0.252537922353
ACH-000222,-0.328625423211
ACH-000223,-0.41601675126800003
ACH-000226,-0.605445000229
ACH-000227,-0.473464365077
ACH-000228,-0.30686021888799997
ACH-000231,-0.8331601679549999
ACH-000232,-0.15709481799699998
ACH-000233,-0.259108364447
ACH-000234,-0.404224361638
ACH-000235,-0.242015259743
ACH-000237,-0.48401531648900004
ACH-000238,-0.44611280368699996
ACH-000243,-0.365784657773
ACH-000244,-0.49605652276999995
ACH-000246,-0.590925586903
ACH-000248,-0.412852496449
ACH-000250,-0.499432209466
ACH-000251,-0.2662503958
ACH-000253,-0.127170370808
ACH-000255,-0.291042018429
ACH-000256,-0.407276453016
ACH-000257,-0.33566036755199996
ACH-000258,-0.5188717986670001
ACH-000259,-0.282215879562
ACH-000260,-0.336669611584
ACH-000261,-0.0814521739225
ACH-000262,-0.19712097409200002
ACH-000263,-0.20376997799899998
ACH-000264,-0.314951371712
ACH-000265,-0.306834311745
ACH-000266,-0.259270264942
ACH-000272,-0.399880517627
ACH-000273,-0.399655816728
ACH-000274,-0.41531726191600005
ACH-000277,-0.320514455724
ACH-000278,-0.224276577243
ACH-000279,-0.43380758801299996
ACH-000280,-0.44083461717600003
ACH-000281,-0.309961029926
ACH-000288,-0.509357989577
ACH-000291,-0.330474343389
ACH-000293,-0.181745479952
ACH-000294,0.0250486931891
ACH-000295,-0.303638961392
ACH-000296,-0.276490889474
ACH-000302,-0.38799954414300003
ACH-000304,-0.35146634262299997
ACH-000307,-0.401050084001
ACH-000308,-0.34329416923699996
ACH-000310,-0.42920820377700003
ACH-000311,-0.576393113005
ACH-000312,-0.295059287336
ACH-000315,-0.00919185259517
ACH-000316,-0.17146733662799998
ACH-000317,-0.378855671562
ACH-000318,-0.453587037034
ACH-000319,-0.180821211986
ACH-000320,-0.170219478872
ACH-000322,-0.12923376625900002
ACH-000323,-0.20750607781199998
ACH-000324,-0.332364809232
ACH-000329,-0.283120487091
ACH-000330,-0.277148907369
ACH-000331,-0.35444600991499997
ACH-000332,-0.150583269523
ACH-000334,-0.545067624221
ACH-000335,-0.404187661417
ACH-000336,-0.0175990908752
ACH-000337,-0.688682683299
ACH-000339,-0.31777647902199996
ACH-000341,-0.398036739718
ACH-000348,-0.189895608962
ACH-000350,-0.12724001644400001
ACH-000352,-0.340852336017
ACH-000356,-0.428038154667
ACH-000361,-0.22476422762899997
ACH-000362,-0.335950921601
ACH-000363,-0.310703391725
ACH-000364,-0.367267152315
ACH-000365,-0.452306365941
ACH-000366,-0.192060081367
ACH-000368,-0.6572687023089999
ACH-000374,-0.496746251386
ACH-000375,-0.25044392868500004
ACH-000376,-0.4806303121
ACH-000381,-0.365842062917
ACH-000383,-0.145143848202
ACH-000387,-0.481096321205
ACH-000389,-0.338439260286
ACH-000390,-0.319734497058
ACH-000393,-0.173026615783
ACH-000395,-0.356287611113
ACH-000397,-0.303906828442
ACH-000401,-0.28935132303000005
ACH-000402,-0.107325436169
ACH-000403,-0.287351439788
ACH-000404,-0.384280733461
ACH-000406,-0.208981298746
ACH-000407,-0.464895331846
ACH-000408,-0.34599797490999995
ACH-000410,-0.41536266106799996
ACH-000411,-0.400264627633
ACH-000414,-0.316531207786
ACH-000415,-0.415408091883
ACH-000416,-0.28303732224800005
ACH-000420,-0.348466241021
ACH-000421,-0.242056023004
ACH-000424,-0.5435719840659999
ACH-000425,-0.41257927727
ACH-000426,-0.119996350583
ACH-000427,-0.229522859119
ACH-000433,-0.43708913108999997
ACH-000436,-0.07912128408960001
ACH-000444,-0.43290288738300003
ACH-000445,-0.503303032243
ACH-000448,-0.379711862398
ACH-000450,-0.35330609279200004
ACH-000452,-0.280596318452
ACH-000454,-0.289073555968
ACH-000458,-0.422652695747
ACH-000459,-0.231497455007
ACH-000460,-0.38237306847499997
ACH-000461,-0.202307454424
ACH-000463,-0.33827859807800004
ACH-000464,-0.28123003734499996
ACH-000466,-0.110716690982
ACH-000467,-0.223162304674
ACH-000468,-0.542217226683
ACH-000469,-0.451770589381
ACH-000470,-0.13555569358300001
ACH-000471,-0.177955935963
ACH-000472,-0.226949502292
ACH-000473,-0.367351837703
ACH-000475,-0.250932463268
ACH-000476,-0.07212989719810001
ACH-000477,-0.33902664376
ACH-000480,-0.291628405983
ACH-000481,-0.286313487396
ACH-000483,-0.399484713279
ACH-000484,-0.130125248652
ACH-000485,-0.405042737161
ACH-000486,-0.51395940607
ACH-000487,-0.520179412634
ACH-000488,-0.500845360283
ACH-000490,-0.41828430297700003
ACH-000491,-0.42028183748000003
ACH-000495,-0.8457987150570001
ACH-000496,-0.25253419849500003
ACH-000499,-0.210707733053
ACH-000500,-0.640352504234
ACH-000502,-0.368305510299
ACH-000503,-0.493629838892
ACH-000505,-0.423675437534
ACH-000507,-0.291339811642
ACH-000510,-0.324445132843
ACH-000511,-0.45889878349
ACH-000512,-0.746183507979
ACH-000516,-0.529892629563
ACH-000517,-0.282248546178
ACH-000518,-0.213169140245
ACH-000520,-0.20410535568399998
ACH-000521,-0.516900152298
ACH-000522,-0.325306779694
ACH-000524,-0.105460222969
ACH-000527,-0.17822871819699998
ACH-000528,-0.176437858116
ACH-000537,-0.272077831951
ACH-000541,-0.405485978717
ACH-000542,-0.457336076562
ACH-000544,-0.452111012677
ACH-000545,-0.556266499554
ACH-000547,-0.313304225132
ACH-000548,-0.39606739150700004
ACH-000549,-0.377246342455
ACH-000550,-0.161888139604
ACH-000552,-0.235886456237
ACH-000556,-0.14124027286
ACH-000557,-0.136788394501
ACH-000570,-0.463277356146
ACH-000571,-0.115625634209
ACH-000573,-0.44048125137500005
ACH-000576,-0.25301534709
ACH-000580,-0.342808988898
ACH-000584,-0.35910500813
ACH-000585,-0.346383895353
ACH-000588,-0.08022513895689999
ACH-000589,-0.533724219473
ACH-000591,-0.340178943621
ACH-000593,-0.333573250402
ACH-000600,-0.406763012902
ACH-000601,-0.339226648538
ACH-000604,-0.40929461041299997
ACH-000605,-0.318647731014
ACH-000606,-0.8512657926970001
ACH-000608,-0.301160882459
ACH-000614,-0.20115538252
ACH-000616,-0.484178474626
ACH-000618,-0.30723891576400003
ACH-000619,-0.45469905716000003
ACH-000620,-0.109146929472
ACH-000621,-0.44068275571099996
ACH-000622,-0.4751106804
ACH-000623,-0.486867095189
ACH-000624,-0.23672974247200002
ACH-000627,-0.326157754671
ACH-000630,-0.298548612984
