,ASH1L (55870)
ACH-000004,-0.302017974885
ACH-000007,-0.619619208416
ACH-000009,-0.324688701035
ACH-000011,0.673853533569
ACH-000012,-0.0874877968718
ACH-000013,-0.166339395642
ACH-000014,-0.31622964786999996
ACH-000015,-0.11515981533500001
ACH-000017,-0.594311064816
ACH-000018,-0.503328344999
ACH-000019,-0.6406284117459999
ACH-000021,-0.278967651471
ACH-000022,-0.17593745442699998
ACH-000025,-0.357401785204
ACH-000028,-0.403589595033
ACH-000030,-0.173597340908
ACH-000035,-0.429338903338
ACH-000036,-0.20181868161400002
ACH-000037,-0.0078964394328
ACH-000039,-0.237437877445
ACH-000040,-0.27109527921
ACH-000041,-0.832142116181
ACH-000042,-0.440165451417
ACH-000045,-0.034740418019
ACH-000047,-0.41344419166
ACH-000052,-0.18040403568900001
ACH-000053,-0.073338430929
ACH-000054,-0.153064234336
ACH-000055,-0.7821450704299999
ACH-000060,0.00697577873202
ACH-000067,0.105728174669
ACH-000070,-0.30424113723
ACH-000075,-0.474805176074
ACH-000078,-0.356233935978
ACH-000082,-0.390975776943
ACH-000085,0.0350373794664
ACH-000086,-0.353659710456
ACH-000087,0.0349867131209
ACH-000092,-0.128846921983
ACH-000095,-0.322358081357
ACH-000097,-1.34628215367
ACH-000098,-0.204909239569
ACH-000099,-0.543984720799
ACH-000108,-0.159231583895
ACH-000113,-0.245109563353
ACH-000115,-0.077311168825
ACH-000116,-0.9667519543709999
ACH-000118,-0.21284614877099997
ACH-000120,-0.563662347768
ACH-000123,-0.382086466967
ACH-000127,-0.18365861110399997
ACH-000128,-0.34922054055
ACH-000132,-0.08171343921419999
ACH-000133,-0.229235198198
ACH-000137,-0.00672551476623
ACH-000138,-0.5411694925370001
ACH-000142,-0.0539739770028
ACH-000143,-0.411222794695
ACH-000146,-0.22678644503400003
ACH-000148,-0.18799484477000003
ACH-000150,-0.17006148160300003
ACH-000152,-0.23691348128000003
ACH-000153,-0.51510048554
ACH-000159,-0.31957308181099997
ACH-000160,0.346139566879
ACH-000163,-0.335687579949
ACH-000167,0.7244574273700001
ACH-000168,-0.210693239945
ACH-000169,-0.399723994773
ACH-000178,-0.110082006843
ACH-000182,-0.11861389299200001
ACH-000183,-0.357660889315
ACH-000188,-0.224092361501
ACH-000189,-0.147783307404
ACH-000190,0.0806292607745
ACH-000198,-0.34492947468
ACH-000204,-0.5699501681520001
ACH-000206,-0.24870258049400001
ACH-000207,-0.39811018306900003
ACH-000211,-0.17682101697900002
ACH-000215,-0.253920112949
ACH-000221,-0.432841067598
ACH-000222,-0.297554988671
ACH-000223,-0.126086517298
ACH-000226,-0.301984892764
ACH-000227,-0.274090110945
ACH-000228,-0.458197540373
ACH-000231,-0.08586262060080001
ACH-000232,-0.6113353078379999
ACH-000233,-0.183690918451
ACH-000234,-0.166596429558
ACH-000235,-0.755870220072
ACH-000237,-0.18524954725
ACH-000238,-0.0468847901209
ACH-000243,-0.22740325576099998
ACH-000244,-0.21791684602699998
ACH-000246,-0.361952011732
ACH-000248,0.0791244874503
ACH-000250,-0.164874274802
ACH-000251,-0.246665591961
ACH-000253,-0.172681119756
ACH-000255,-0.187778806613
ACH-000256,-0.595122610585
ACH-000257,-0.575198458613
ACH-000258,-0.444541073474
ACH-000259,-0.460437788111
ACH-000260,-0.657447222724
ACH-000261,-0.0652649172566
ACH-000262,0.304727349355
ACH-000263,0.07509549893010001
ACH-000264,-0.403437748632
ACH-000265,-0.200388350621
ACH-000266,-0.250088190785
ACH-000272,-0.09742147793369998
ACH-000273,-0.284073500488
ACH-000274,-0.06448983005390001
ACH-000277,-0.384217231479
ACH-000278,-0.388073274164
ACH-000279,-0.181794906701
ACH-000280,0.044644612026899996
ACH-000281,-0.24002585425
ACH-000288,-0.206003778761
ACH-000291,-0.43119388189999996
ACH-000293,-0.262424433895
ACH-000294,-0.169748018261
ACH-000295,-0.218645744492
ACH-000296,-0.256015859617
ACH-000302,-0.33501586529399996
ACH-000304,-0.256516372068
ACH-000307,-0.112057050325
ACH-000308,-0.560921964423
ACH-000310,-0.345586488401
ACH-000311,-0.36673640594800005
ACH-000312,-0.275063865001
ACH-000315,-0.36629938490999997
ACH-000316,-0.079217027843
ACH-000317,-0.354115442589
ACH-000318,-0.391066425762
ACH-000319,-0.242001514888
ACH-000320,-0.29422431117
ACH-000322,-0.146266506121
ACH-000323,-0.249013277395
ACH-000324,-0.186377139984
ACH-000329,-0.280243668443
ACH-000330,-0.48954584230400006
ACH-000331,-0.09627120686030001
ACH-000332,-0.468077621665
ACH-000334,-0.453770611009
ACH-000335,-0.24756745145599998
ACH-000336,-0.515851690307
ACH-000337,-0.519237959097
ACH-000339,-0.146316312303
ACH-000341,0.0698163910824
ACH-000348,-0.270945226096
ACH-000350,-0.054571423769399996
ACH-000352,-0.5489988248040001
ACH-000356,-0.19499802805100003
ACH-000361,-0.447171418261
ACH-000362,-0.40292264431999997
ACH-000363,-0.23441671168000003
ACH-000364,-0.427113919234
ACH-000365,-0.198466411003
ACH-000366,0.00202304216551
ACH-000368,0.0208022585789
ACH-000374,-0.280212202925
ACH-000375,-0.18513278584800003
ACH-000376,-0.16380298425999998
ACH-000381,-0.216324874758
ACH-000383,-0.23410278716400001
ACH-000387,-0.149341154879
ACH-000389,-0.0693466146724
ACH-000390,-0.22133859455200003
ACH-000393,-0.136214644656
ACH-000395,-0.0590525982335
ACH-000397,-1.04523987194
ACH-000401,-0.512349111803
ACH-000402,0.296120086266
ACH-000403,-0.0991698139147
ACH-000404,0.25770038623
ACH-000406,-0.207551823703
ACH-000407,-0.367758121682
ACH-000408,-0.0723157330485
ACH-000410,-0.345501625146
ACH-000411,0.043140040474500006
ACH-000414,-0.238915815688
ACH-000415,-0.134003015532
ACH-000416,-0.0364644369205
ACH-000420,-0.158391617148
ACH-000421,-0.448806283329
ACH-000424,-0.41314058761699995
ACH-000425,-0.284094334962
ACH-000426,-0.383577989798
ACH-000427,-0.367272306251
ACH-000433,-0.23442501056899998
ACH-000436,-0.382648045203
ACH-000444,-0.118689499368
ACH-000445,-0.000236514773388
ACH-000448,-0.218585633332
ACH-000450,-0.0165914671181
ACH-000452,-0.132662988386
ACH-000454,-0.24196043783399998
ACH-000458,-0.23796521781899999
ACH-000459,-0.0636231753844
ACH-000460,-1.02399080042
ACH-000461,-0.321395119493
ACH-000463,-0.156569966791
ACH-000464,-0.214621590211
ACH-000466,-0.323999310847
ACH-000467,-0.646442919074
ACH-000468,-0.232325636774
ACH-000469,-0.144274843708
ACH-000470,-0.125999430539
ACH-000471,-0.212752322084
ACH-000472,-0.107016882085
ACH-000473,-0.057239767889599995
ACH-000475,-0.13847373838
ACH-000476,-0.701689303178
ACH-000477,0.0754849659692
ACH-000480,-0.0636988863404
ACH-000481,-0.31769337582400003
ACH-000483,-0.0846735395331
ACH-000484,-0.579250268921
ACH-000485,-0.0828225457943
