,EDRF1 (26098)
ACH-000004,-0.9532071501799999
ACH-000007,-0.00132129124157
ACH-000009,-0.23242882215500002
ACH-000011,-0.17453390704799998
ACH-000012,-0.550526031902
ACH-000013,-0.0402863162404
ACH-000014,-0.07175859943599999
ACH-000015,-0.0649073195826
ACH-000017,-0.119920840658
ACH-000018,0.260700907436
ACH-000019,-0.228230716785
ACH-000021,-0.033175461776999995
ACH-000022,-0.0778565123334
ACH-000025,-0.18328826844300003
ACH-000028,-0.021944415397799996
ACH-000030,-0.08239938828410001
ACH-000035,-0.053121902821500006
ACH-000036,-0.247086182238
ACH-000037,-0.15152461217399998
ACH-000039,-0.0623179694799
ACH-000040,-0.36092948888099996
ACH-000041,-0.163751703867
ACH-000042,-0.20405190116
ACH-000045,-0.114810765278
ACH-000047,-0.0659566732507
ACH-000052,-0.07100573149600001
ACH-000053,-0.0181069643869
ACH-000054,-0.144475300513
ACH-000055,0.026929025145099997
ACH-000060,-0.0943921482032
ACH-000067,-0.358132215581
ACH-000070,-0.0346810701704
ACH-000075,-0.10462881024399999
ACH-000078,-0.22343594681099999
ACH-000082,-0.157410552323
ACH-000085,-0.405961032308
ACH-000086,-0.139788981908
ACH-000087,0.152740037046
ACH-000092,-0.210567763075
ACH-000095,-0.17897159291700002
ACH-000097,-0.126814045853
ACH-000098,-0.054368546854800005
ACH-000099,-0.10515366047000001
ACH-000108,-0.575505300417
ACH-000113,-0.0685161556968
ACH-000115,-0.28180755301399996
ACH-000116,-0.0511258549493
ACH-000118,-0.268059173063
ACH-000120,0.138205018938
ACH-000123,-0.09813335667680001
ACH-000127,-0.386434274693
ACH-000128,-0.137678835944
ACH-000132,-0.16782445089099998
ACH-000133,-0.161519299983
ACH-000137,0.0717664382872
ACH-000138,-0.17491335901399999
ACH-000142,-0.0250111088669
ACH-000143,-0.26613798980500003
ACH-000146,-0.08085008823680001
ACH-000148,-0.23133585635200002
ACH-000150,-0.179917921489
ACH-000152,-0.189380104686
ACH-000153,0.0521717206131
ACH-000159,-0.14987845857999998
ACH-000160,-0.0575472032553
ACH-000163,-0.31101180556499997
ACH-000167,-0.0510274950533
ACH-000168,-0.0027276897314699997
ACH-000169,-0.349009402583
ACH-000178,-0.0788540458928
ACH-000182,-0.259139937586
ACH-000183,-0.306393938499
ACH-000188,-0.0165703121965
ACH-000189,-0.171891580416
ACH-000190,-0.522958446102
ACH-000198,-0.535537869111
ACH-000204,-0.234310869144
ACH-000206,-0.20893997948399998
ACH-000207,-0.521311783695
ACH-000211,-0.129738526458
ACH-000215,-0.11679345049900001
ACH-000221,-0.031028077343900003
ACH-000222,-0.20431940878199997
ACH-000223,-0.205174815233
ACH-000226,-0.14296715579299998
ACH-000227,-0.268137949914
ACH-000228,-0.242534322507
ACH-000231,-0.160363965316
ACH-000232,-0.122872076405
ACH-000233,-0.057213911768399996
ACH-000234,-0.0844438602457
ACH-000235,-0.0210295008875
ACH-000237,-0.0698549587077
ACH-000238,-0.316215505933
ACH-000243,-0.0026056982497700003
ACH-000244,0.22460758811599998
ACH-000246,-0.214291415491
ACH-000248,-0.413888957035
ACH-000250,-0.240457166428
ACH-000251,0.0345697237105
ACH-000253,-0.036617076206699996
ACH-000255,0.0939050971981
ACH-000256,-0.285001325879
ACH-000257,-0.263732895099
ACH-000258,-0.411523058984
ACH-000259,-0.200764921346
ACH-000260,-0.075548172516
ACH-000261,-0.23222812026099998
ACH-000262,-0.24197806876400002
ACH-000263,0.043308712992500005
ACH-000264,0.0527533594413
ACH-000265,-0.237365120543
ACH-000266,-0.213071001533
ACH-000272,-0.19619697184
ACH-000273,-0.0744629177348
ACH-000274,-0.0562688250358
ACH-000277,-0.439021067384
ACH-000278,-0.21890349031
ACH-000279,-0.280240765022
