,MAZ (4150)
ACH-000004,-0.438703625685
ACH-000007,-0.267745431111
ACH-000009,0.0224090464104
ACH-000011,-0.349728676401
ACH-000012,-0.0719110408014
ACH-000013,-0.30091868742899996
ACH-000014,-0.1969527778
ACH-000015,-0.269586781704
ACH-000017,-0.33735533375200005
ACH-000018,-0.19833148940200002
ACH-000019,-0.238802852671
ACH-000021,-0.253583896034
ACH-000022,-0.12060617381100001
ACH-000025,-0.16284476768699999
ACH-000028,-0.250507926254
ACH-000030,0.0409440274134
ACH-000035,-0.17373057401500003
ACH-000036,-0.0769372920084
ACH-000037,-0.255487383273
ACH-000039,-0.104292042478
ACH-000040,-0.163873685567
ACH-000041,-0.17348929693100001
ACH-000042,-0.0636789275742
ACH-000045,-0.268413777974
ACH-000047,-0.22754862699900003
ACH-000052,-0.216760850538
ACH-000053,0.00032247034684900004
ACH-000054,-0.249472331951
ACH-000055,-0.0336899631605
ACH-000060,-0.23210409496800002
ACH-000067,-0.0606048041335
ACH-000070,-0.10550281227
ACH-000075,-0.458383406516
ACH-000078,-0.146057383513
ACH-000082,-0.207821091448
ACH-000085,-0.279337932424
ACH-000086,-0.050882969828199995
ACH-000087,-0.508587713023
ACH-000092,-0.23856103161699999
ACH-000095,-0.18715020831300003
ACH-000097,-0.31197415278
ACH-000098,-0.255533433034
ACH-000099,-0.17603023095800002
ACH-000108,-0.049281099657
ACH-000113,-0.177674782471
ACH-000115,-0.136845174498
ACH-000116,-0.225121197045
ACH-000118,-0.058225031764099995
ACH-000120,-0.26992921431600003
ACH-000123,-0.0740099521746
ACH-000127,-0.418890265557
ACH-000128,-0.25870663100200003
ACH-000132,-0.20409370908500002
ACH-000133,-0.0665846695225
ACH-000137,-0.11551245
ACH-000138,-0.0808917836305
ACH-000142,-0.278433695433
ACH-000143,-0.399366568125
ACH-000146,-0.23889976079
ACH-000148,-0.258719930016
ACH-000150,-0.21245551565200002
ACH-000152,-0.151743457572
ACH-000153,-0.495692937056
ACH-000159,-0.246954628861
ACH-000160,0.330316608367
ACH-000163,-0.153684099952
ACH-000167,0.361501700106
ACH-000168,-0.145613694203
ACH-000169,-0.08350466727260002
ACH-000178,-0.0709144583374
ACH-000182,-0.183649658909
ACH-000183,-0.212304538121
ACH-000188,0.046272089218300005
ACH-000189,0.061195342161800004
ACH-000190,0.21509144674199998
ACH-000198,-0.0516966577616
ACH-000204,-0.183549902036
ACH-000206,-0.410730145012
ACH-000207,0.018561552016499998
ACH-000211,-0.131860440925
ACH-000215,-0.210086262956
ACH-000221,-0.43864787190800003
ACH-000222,-0.358196727188
ACH-000223,-0.18239381484
ACH-000226,-0.135784474494
ACH-000227,-0.12456013398700001
ACH-000228,-0.142368479293
