,SPTY2D1 (144108)
ACH-000004,-0.150600033423
ACH-000007,-0.027043540956000003
ACH-000009,0.0866852794261
ACH-000011,0.20236545140099998
ACH-000012,0.0512796029457
ACH-000013,0.011616778157299999
ACH-000014,-0.0477507489603
ACH-000015,0.138086421706
ACH-000017,0.246415045372
ACH-000018,-0.046312125579
ACH-000019,0.0554823885399
ACH-000021,0.0630349508133
ACH-000022,0.211441709945
ACH-000025,0.0610608805623
ACH-000028,-0.13214358027599998
ACH-000030,-0.059753042353
ACH-000035,0.0245339050784
ACH-000036,0.292569284879
ACH-000037,-0.054857475880899995
ACH-000039,-0.0015673262101099999
ACH-000040,-0.0930860820445
ACH-000041,-0.0412523146525
ACH-000042,0.278478909146
ACH-000045,-0.00706229272507
ACH-000047,-0.184835088554
ACH-000052,0.0860152835989
ACH-000053,0.0030990734856799996
ACH-000054,0.0732532001298
ACH-000055,-0.051945363848699994
ACH-000060,0.427882731195
ACH-000067,0.0767142584201
ACH-000070,-0.13526077258
ACH-000075,0.151292900172
ACH-000078,0.061401359219500004
ACH-000082,-0.219376901347
ACH-000085,0.0683687790874
ACH-000086,0.10525153551899999
ACH-000087,-0.304513752616
ACH-000092,0.0064583534951299995
ACH-000095,0.12952119292199998
ACH-000097,0.0652890768582
ACH-000098,-0.056735329922699994
ACH-000099,0.19601393077399998
ACH-000108,0.146351073488
ACH-000113,0.298332968755
ACH-000115,-0.196843940954
ACH-000116,-0.0251634084014
ACH-000118,0.0497993300763
ACH-000120,-0.045098577329900004
ACH-000123,-0.37271942007299996
ACH-000127,0.143349866149
ACH-000128,0.138803028331
ACH-000132,0.0283983982705
ACH-000133,0.18154484417199998
ACH-000137,-0.10599070422000001
ACH-000138,0.23585602494600003
ACH-000142,0.158292728424
ACH-000143,0.0602094419255
ACH-000146,0.0953266860836
ACH-000148,0.0925874669137
ACH-000150,-0.139538152824
ACH-000152,0.360912910408
ACH-000153,-0.23239643180199998
ACH-000159,-0.0741100807598
ACH-000160,0.201152968753
ACH-000163,-0.040476641631199996
ACH-000167,0.10037859560699999
ACH-000168,0.07621801156619999
ACH-000169,0.0630452664582
ACH-000178,0.208944813466
ACH-000182,0.015089919158700001
ACH-000183,-0.177735933944
ACH-000188,0.15010828068499998
ACH-000189,-0.31991104647199997
ACH-000190,0.32178216986900005
ACH-000198,-0.017698430203599996
ACH-000204,-0.326059505548
