,DTL (51514)
ACH-000004,-1.6193694769999998
ACH-000007,-1.4271125616999998
ACH-000009,-1.60184987238
ACH-000011,-1.4679540311000001
ACH-000012,-1.51495352508
ACH-000013,-1.5179674758000001
ACH-000014,-1.4184430188600001
ACH-000015,-1.29467785339
ACH-000017,-1.37588136132
ACH-000018,-1.35770551864
ACH-000019,-2.1604044821
ACH-000021,-1.60049977914
ACH-000022,-1.5272093655599999
ACH-000025,-1.33454120369
ACH-000028,-1.6041900040600001
ACH-000030,-1.44349181552
ACH-000035,-1.33747293247
ACH-000036,-1.5896682375600002
ACH-000037,-0.932254749922
ACH-000039,-1.52761000724
ACH-000040,-1.44366809231
ACH-000041,-1.31123701887
ACH-000042,-1.5267181775999998
ACH-000045,-1.43614870063
ACH-000047,-1.47021267082
ACH-000052,-1.54006090908
ACH-000053,-1.4314487337000001
ACH-000054,-1.55967062628
ACH-000055,-1.3688735594299999
ACH-000060,-1.518521005
ACH-000067,-1.3951675017299998
ACH-000070,-1.36745717488
ACH-000075,-1.4527060863799999
ACH-000078,-1.3859486131999998
ACH-000082,-1.5243681792500001
ACH-000085,-1.58767588826
ACH-000086,-1.4770820557299997
ACH-000087,-1.49476094997
ACH-000092,-1.50658366143
ACH-000095,-1.4205722029199999
ACH-000097,-1.28119335984
ACH-000098,-1.55475364338
ACH-000099,-1.5930186323299997
ACH-000108,-1.5387191513999998
ACH-000113,-1.23264087897
ACH-000115,-2.03407356412
ACH-000116,-1.6435617089399999
ACH-000118,-1.40215445833
ACH-000120,-1.41848044905
ACH-000123,-1.55922604211
ACH-000127,-1.6218467770299998
ACH-000128,-1.47655470659
ACH-000132,-1.8030864348599998
ACH-000133,-1.58231296734
ACH-000137,-1.5677720652899998
ACH-000138,-1.4842812603600002
ACH-000142,-1.6197648252
ACH-000143,-1.34055934277
ACH-000146,-1.9034445362099999
ACH-000148,-1.5168100000100002
ACH-000150,-1.43025111061
ACH-000152,-1.38662663506
ACH-000153,-1.5426247500299999
ACH-000159,-1.5389866667899998
ACH-000160,-1.8656159506599999
ACH-000163,-1.24606256832
