,NSF (4905)
ACH-000004,-1.45546632939
ACH-000007,-1.54268396884
ACH-000009,-1.5845382732299997
ACH-000011,-1.5086102216100001
ACH-000012,-1.7838618945599998
ACH-000013,-1.44005463637
ACH-000014,-1.54682736287
ACH-000015,-1.4935893014500001
ACH-000017,-1.6782515563299998
ACH-000018,-1.2649666578
ACH-000019,-1.7288102245299999
ACH-000021,-1.42629852083
ACH-000022,-1.9007066147599998
ACH-000025,-1.32302607113
ACH-000028,-1.48196342254
ACH-000030,-1.48425969842
ACH-000035,-1.28474137141
ACH-000036,-1.46087411271
ACH-000037,-2.12982333754
ACH-000039,-1.8776221763599998
ACH-000040,-1.2382783108
ACH-000041,-1.35199139847
ACH-000042,-1.4181005283500001
ACH-000045,-1.4327540672699999
ACH-000047,-1.53163308521
ACH-000052,-1.4899149428
ACH-000053,-1.5263957404100001
ACH-000054,-1.39196638243
ACH-000055,-1.2060790642700001
ACH-000060,-1.20666012691
ACH-000067,-1.18918856674
ACH-000070,-1.7112490932700002
ACH-000075,-1.46756960014
ACH-000078,-1.6306839962600002
ACH-000082,-1.53478457867
ACH-000085,-1.8295556600999998
ACH-000086,-1.5596121296
ACH-000087,-1.4308645502200001
ACH-000092,-1.38907908079
ACH-000095,-1.56928021808
ACH-000097,-1.40685012741
ACH-000098,-1.54447547784
ACH-000099,-1.5717227065900001
ACH-000108,-1.48895817155
ACH-000113,-1.5790318864500001
ACH-000115,-1.93884031478
ACH-000116,-1.29788050916
ACH-000118,-1.08776979535
ACH-000120,-1.4254767900799998
ACH-000123,-1.51228936676
ACH-000127,-1.54360482474
ACH-000128,-1.10511492093
ACH-000132,-1.46982389132
ACH-000133,-1.42421093215
ACH-000137,-1.6238500310799997
ACH-000138,-1.37298905606
ACH-000142,-1.51792509869
ACH-000143,-1.6564317512
ACH-000146,-1.71993029313
ACH-000148,-1.56090472385
ACH-000150,-1.4261782579299997
ACH-000152,-1.6194264438400001
ACH-000153,-1.5285817240600001
ACH-000159,-1.6943507125100001
ACH-000160,-1.7060331342700001
ACH-000163,-1.61256129391
ACH-000167,-1.54719703864
ACH-000168,-1.47083863784
ACH-000169,-1.3538110941100001
ACH-000178,-1.32584290966
ACH-000182,-1.5481176113100001
ACH-000183,-1.5381216202
ACH-000188,-1.1100854973999998
ACH-000189,-1.5938004433200001
ACH-000190,-1.41938489437
ACH-000198,-1.64501737614
ACH-000204,-1.84706781912
ACH-000206,-1.6147158392299998
ACH-000207,-1.9417957672
ACH-000211,-1.27552189342
ACH-000215,-1.53782619105
ACH-000221,-1.46315300083
ACH-000222,-1.70645315728
ACH-000223,-1.74795417741
ACH-000226,-1.39302251188
ACH-000227,-1.85525418324
ACH-000228,-1.4571735266999999
ACH-000231,-1.5189535811200001
ACH-000232,-1.5047077866799998
ACH-000233,-1.46049651959
ACH-000234,-1.28317515002
ACH-000235,-1.50390446528
ACH-000237,-1.4175253658000002
ACH-000238,-1.8205327294599998
ACH-000243,-1.34685023014
ACH-000244,-1.33300908919
ACH-000246,-1.4137688879499999
ACH-000248,-1.4337717590099999
ACH-000250,-1.4988182132499999
ACH-000251,-0.732411767709
ACH-000253,-1.29283810381
ACH-000255,-1.4770661104499998
ACH-000256,-1.74277453588
ACH-000257,-1.79007999909
ACH-000258,-1.19594151843
ACH-000259,-1.55644932838
ACH-000260,-1.38560057444
ACH-000261,-1.28419208531
ACH-000262,-1.5419901966
ACH-000263,-1.5866379593900002
ACH-000264,-1.81026443875
ACH-000265,-1.36662319416
ACH-000266,-1.33524560799
ACH-000272,-1.1094345685200002
ACH-000273,-1.39960839256
ACH-000274,-1.655232584
ACH-000277,-1.6856462396899998
ACH-000278,-1.2327979262200002
ACH-000279,-1.76081826058
ACH-000280,-1.13208447903
ACH-000281,-1.31888959392
ACH-000288,-1.59477749223
ACH-000291,-1.16995698005
ACH-000293,-1.6326329912200002
ACH-000294,-1.6715464786899998
ACH-000295,-1.71004306236
ACH-000296,-1.4953117853400002
ACH-000302,-1.5281571481600003
ACH-000304,-1.42411378334
ACH-000307,-1.28274279659
ACH-000308,-1.51291070921
ACH-000310,-1.37361129118
ACH-000311,-1.4055906474200002
ACH-000312,-1.52551864149
ACH-000315,-2.14576885119
ACH-000316,-1.41062181609
