,SREK1 (140890)
ACH-000004,-0.36374345653800005
ACH-000007,-0.190106701387
ACH-000009,-0.22592142919100003
ACH-000011,-0.43358664750200004
ACH-000012,-0.36052364791599995
ACH-000013,-0.42788310401
ACH-000014,-0.758041765738
ACH-000015,-0.582862735173
ACH-000017,-0.74762180345
ACH-000018,-0.413109505775
ACH-000019,-0.408670592982
ACH-000021,-0.188092696659
ACH-000022,-0.39487929039700004
ACH-000025,-0.308734917529
ACH-000028,-0.679885471307
ACH-000030,-0.184440649174
ACH-000035,-0.18679865166700002
ACH-000036,-0.675753348188
ACH-000037,-0.35105858398100004
ACH-000039,-0.765081207681
ACH-000040,-0.41895524978
ACH-000041,-0.37152216941
ACH-000042,-0.630636853104
ACH-000045,-0.26390639510499997
ACH-000047,-0.36616373382100004
ACH-000052,-0.639618337465
ACH-000053,-0.820383503572
ACH-000054,-0.5929714954290001
ACH-000055,-0.513389439426
ACH-000060,-0.558069961883
ACH-000067,-0.319328826954
ACH-000070,-0.44041025404600004
ACH-000075,-0.46259750954400003
ACH-000078,-0.590551679689
ACH-000082,-0.499545720199
ACH-000085,-0.281093898824
ACH-000086,-0.160003734992
ACH-000087,-0.0334927658333
ACH-000092,-0.20877295674199997
ACH-000095,-0.370075066075
ACH-000097,-0.278019279535
ACH-000098,-0.128639449934
ACH-000099,-0.13742623779000002
ACH-000108,-0.666142764199
ACH-000113,-0.234865805181
ACH-000115,-0.490867576752
ACH-000116,-0.326027278126
ACH-000118,-0.387570494323
ACH-000120,-0.703065952067
ACH-000123,-0.49184990220299996
ACH-000127,-0.630899003721
ACH-000128,-0.207840593838
ACH-000132,-0.31980486850400003
ACH-000133,-0.602628780844
ACH-000137,-0.223022576173
ACH-000138,-0.381997542262
ACH-000142,-0.45803348128
ACH-000143,-0.327282459972
ACH-000146,-0.236442814999
ACH-000148,-0.363408666401
ACH-000150,-0.00743967290391
ACH-000152,-0.28294696385
ACH-000153,-0.333560655926
ACH-000159,-0.232262485945
ACH-000160,-0.409635947931
ACH-000163,-0.33988947070000003
ACH-000167,-0.22963389082
ACH-000168,-0.228941879239
ACH-000169,-0.5487759805669999
ACH-000178,-0.455333408587
ACH-000182,-0.521547619829
ACH-000183,-0.34403813400300004
ACH-000188,-0.670003382041
ACH-000189,0.032295936438700004
ACH-000190,-0.47622309695
ACH-000198,-0.7127289566060001
ACH-000204,-0.624512037318
ACH-000206,-0.34009092746799996
ACH-000207,-0.61657865325
ACH-000211,-0.512828698731
ACH-000215,-0.357800105462
ACH-000221,-0.286661433285
ACH-000222,-0.7331546655110001
ACH-000223,-0.231002957968
ACH-000226,-0.761576162075
ACH-000227,-0.380927281483
ACH-000228,-0.494445679951
ACH-000231,-0.0354551684415
ACH-000232,-0.11952621219699999
ACH-000233,-0.33982449444799995
ACH-000234,-0.0915335790502
ACH-000235,-0.49934598502899996
ACH-000237,-0.0785614420668
ACH-000238,-0.552210506584
ACH-000243,-0.241214752874
ACH-000244,-0.5183540113139999
ACH-000246,-0.204134224168
ACH-000248,-0.416672190237
ACH-000250,-0.693159264812
ACH-000251,-0.626963806966
ACH-000253,-0.729190336091
ACH-000255,-0.39403895471699996
ACH-000256,-0.47366163291100005
ACH-000257,-0.416945373486
ACH-000258,-0.6626904532769999
ACH-000259,-0.551144504298
ACH-000260,-0.56650581841
ACH-000261,-0.513753220901
ACH-000262,-0.33819431419
ACH-000263,-0.5278415880640001
ACH-000264,-0.681832136665
ACH-000265,-0.210684791992
ACH-000266,-0.48995314677699997
ACH-000272,-0.5873417322410001
ACH-000273,-0.556725879788
ACH-000274,-0.370545620531
ACH-000277,-0.20646744617499999
ACH-000278,-0.6393850835930001
ACH-000279,-0.455014502443
ACH-000280,-0.5372439404
ACH-000281,-0.342156089326
ACH-000288,-0.22051079334899998
ACH-000291,-0.333909637995
ACH-000293,-0.299045897579
ACH-000294,-0.38313804576899996
ACH-000295,-0.6797759547650001
ACH-000296,-0.187011457372
ACH-000302,-0.32737121796199997
ACH-000304,-0.199246308583
ACH-000307,-0.253763812947
ACH-000308,-0.38397043108999995
ACH-000310,-0.313350448686
ACH-000311,-0.317806739745
ACH-000312,-0.316989833541
ACH-000315,0.0137114259361
ACH-000316,-0.318973471723
ACH-000317,-0.419651376259
ACH-000318,-0.0656595162828
ACH-000319,-0.112061002714
ACH-000320,-0.527311816948
ACH-000322,-0.742761863345
ACH-000323,-0.286829033684
ACH-000324,-0.47654622197700003
ACH-000329,-0.37450095638
ACH-000330,-0.656780653451
ACH-000331,-0.520116645854
ACH-000332,-0.44562160990599997
ACH-000334,-0.5372099385279999
ACH-000335,-0.21410340070300002
ACH-000336,-0.6421027642189999
ACH-000337,-0.13514884594499998
ACH-000339,-0.532385418163
ACH-000341,-0.34169433046400005
ACH-000348,-0.41507707246799996
ACH-000350,-0.571992805837
ACH-000352,-0.295291588866
ACH-000356,-0.614380057364
ACH-000361,-0.36759149855400003
ACH-000362,-0.5896321461890001
ACH-000363,-0.5008623033
ACH-000364,-0.5178324186609999
ACH-000365,-0.42497222738300006
ACH-000366,-0.11993387157199999
ACH-000368,-0.49463291502400003
ACH-000374,-0.452316471348
ACH-000375,-0.611871745109
ACH-000376,-0.27307863970400004
ACH-000381,-0.32629442632399996
ACH-000383,-0.344885505149
ACH-000387,-0.33276161404
ACH-000389,-0.388873512689
ACH-000390,-0.439313423922
ACH-000393,-0.61208607033
ACH-000395,-0.5893988261800001
ACH-000397,-0.525522484858
ACH-000401,-0.561017711219
ACH-000402,0.10530809648499999
ACH-000403,-0.413113184516
ACH-000404,-0.146301859909
ACH-000406,-0.340221299581
ACH-000407,-0.28359743947
ACH-000408,-0.28731984871599997
ACH-000410,-0.303226335372
ACH-000411,-0.20460289421300001
ACH-000414,-0.608356279517
ACH-000415,-0.557820899141
ACH-000416,-0.211280523711
ACH-000420,-0.149378226012
ACH-000421,-0.424543310243
ACH-000424,-0.387084909452
ACH-000425,-0.7923673998720001
ACH-000426,-0.375111704193
ACH-000427,-0.198642434984
ACH-000433,-0.151268458232
ACH-000436,-0.479370075155
ACH-000444,-0.624837973862
ACH-000445,-0.278123158654
ACH-000448,0.0398874613906
ACH-000450,-0.204252546393
ACH-000452,-0.388365383667
ACH-000454,-0.492687657139
ACH-000458,-0.21459591666299999
ACH-000459,-0.506438802166
