,SLC9A3R2 (9351)
ACH-000004,0.119697729982
ACH-000007,0.260823097479
ACH-000009,0.32116390358
ACH-000011,0.10005971925000001
ACH-000012,0.322694852178
ACH-000013,0.050797853158
ACH-000014,0.0104362893407
ACH-000015,-0.011704959179100001
ACH-000017,0.135584264445
ACH-000018,0.0574246104684
ACH-000019,0.238934903777
ACH-000021,0.148826187046
ACH-000022,0.214943515565
ACH-000025,0.09747186803850001
ACH-000028,-0.004940769051569999
ACH-000030,0.23479415409499999
ACH-000035,0.10933669490900001
ACH-000036,-0.172928701261
ACH-000037,0.1765282286
ACH-000039,0.205142853141
ACH-000040,0.299286334326
ACH-000041,0.291836186345
ACH-000042,0.25595871280099997
ACH-000045,0.0559570480404
ACH-000047,-0.0439500692428
ACH-000052,-0.322149971278
ACH-000053,0.15220389673100002
ACH-000054,-0.020292389853599997
ACH-000055,0.277018289477
ACH-000060,0.028679341776400004
ACH-000067,0.112305351063
ACH-000070,0.15776338689000002
ACH-000075,0.23772858485399997
ACH-000078,0.183904194137
ACH-000082,0.109909085299
ACH-000085,-0.0411881281369
ACH-000086,0.21185438905600001
ACH-000087,0.0383255602716
ACH-000092,0.113646915691
ACH-000095,0.13636380720799998
ACH-000097,-0.0320744944706
ACH-000098,0.09385530636360001
ACH-000099,0.19218368006099998
ACH-000108,0.366114715118
ACH-000113,0.0323990673093
ACH-000115,-0.011961634802000002
ACH-000116,0.10505535860500001
ACH-000118,0.105097719311
ACH-000120,0.200473558786
ACH-000123,0.150819347737
ACH-000127,0.0440755711059
ACH-000128,-0.08889165595319999
ACH-000132,0.15503287280300002
ACH-000133,0.181379089923
ACH-000137,-0.0384753172649
ACH-000138,0.197957490253
ACH-000142,0.157895675407
ACH-000143,0.0616540004352
ACH-000146,0.15247401285499998
ACH-000148,0.0142877847175
ACH-000150,0.10807805804199999
ACH-000152,0.229687332291
ACH-000153,0.0129549903149
ACH-000159,0.29157433787799997
ACH-000160,-0.05309729604690001
ACH-000163,-0.10447824486400001
ACH-000167,0.0617859833275
ACH-000168,0.235528632652
ACH-000169,0.0246962812732
ACH-000178,0.308832766933
ACH-000182,0.0255074785352
ACH-000183,0.010539964550299999
ACH-000188,0.11315149283199999
ACH-000189,0.476959110517
ACH-000190,0.472441099314
ACH-000198,0.11853464182199999
ACH-000204,0.10341744416000001
ACH-000206,0.36263756181400003
ACH-000207,0.16285240285900002
ACH-000211,0.114964350592
ACH-000215,0.141969415069
ACH-000221,0.0770905882477
ACH-000222,0.38088876978299996
ACH-000223,0.190880251257
ACH-000226,0.13695328285800001
ACH-000227,-0.09125487118650001
ACH-000228,0.255803806099
ACH-000231,0.11954768239600001
ACH-000232,-0.0050696161201
ACH-000233,0.0037742544689299998
ACH-000234,0.09488467770019998
ACH-000235,0.100060605877
ACH-000237,0.10976867777999999
ACH-000238,0.219831476082
ACH-000243,0.283601362862
ACH-000244,-0.18183879887
ACH-000246,0.00766799807377
ACH-000248,-0.006302852498380001
ACH-000250,0.162674493226
ACH-000251,0.359334556525
ACH-000253,-0.209436643096
ACH-000255,0.286434824263
ACH-000256,0.09041165065510001
ACH-000257,0.141289072018
ACH-000258,0.095682058978
ACH-000259,0.156721176563
ACH-000260,0.11821934190300001
ACH-000261,0.0898664900408
ACH-000262,-0.060255482585000006
ACH-000263,0.18822520877
ACH-000264,0.08713033095789999
ACH-000265,0.24157613772300002
ACH-000266,0.150020948861
ACH-000272,0.229422888571
ACH-000273,0.0175528808987
ACH-000274,0.0383882171287
ACH-000277,-0.118155113499
ACH-000278,0.175437905735
ACH-000279,0.0116420034723
ACH-000280,0.273694678231
ACH-000281,0.0719319026228
ACH-000288,0.16292995617699998
ACH-000291,0.168619139146
ACH-000293,0.0131159360256
ACH-000294,0.357567272825
ACH-000295,-0.0627284797704
ACH-000296,0.164274635889
ACH-000302,0.059408092934600004
ACH-000304,0.252007607381
