,IKBKB (3551)
ACH-000004,-0.13289788406199998
ACH-000007,0.11398647402899999
ACH-000009,-0.152873533556
ACH-000011,-0.296911816366
ACH-000012,-0.225303820594
ACH-000013,-0.309079016762
ACH-000014,-0.263873697676
ACH-000015,0.00507016958107
ACH-000017,-0.031259150324499996
ACH-000018,0.0205033707372
ACH-000019,-0.0069412204019600006
ACH-000021,-0.183079963279
ACH-000022,-0.19286190629
ACH-000025,-0.394457099529
ACH-000028,-0.18760349432700002
ACH-000030,-0.210634992607
ACH-000035,-0.23026203345899998
ACH-000036,-0.25036094514699997
ACH-000037,-0.418917657931
ACH-000039,-0.14366396114399999
ACH-000040,-0.134707747701
ACH-000041,-0.129156352163
ACH-000042,-0.313989994421
ACH-000045,0.022317742459400002
ACH-000047,-0.0339728006173
ACH-000052,-0.09531819362839998
ACH-000053,-0.531216935613
ACH-000054,-0.0478953152518
ACH-000055,-0.10637524596799999
ACH-000060,-0.376493117768
ACH-000067,-0.139931480738
ACH-000070,-0.11219077430600001
ACH-000075,-0.0868152223925
ACH-000078,-0.027129077358
ACH-000082,-0.055265036394100006
ACH-000085,0.11545792700600001
ACH-000086,-0.134983827662
ACH-000087,-0.18327343676
ACH-000092,-0.137925435446
ACH-000095,0.0774031646472
ACH-000097,-0.040635641752599996
ACH-000098,-0.195916332378
ACH-000099,-0.101513566653
ACH-000108,-0.039142849701
ACH-000113,-0.120140989398
ACH-000115,-0.129011166129
ACH-000116,-0.280534274912
ACH-000118,-0.015603372710500002
ACH-000120,-0.294989235984
ACH-000123,-0.11818383412000001
ACH-000127,-0.119038900776
ACH-000128,-0.0221982554896
ACH-000132,-0.193734046904
ACH-000133,-0.232867656768
ACH-000137,-0.293053393376
ACH-000138,-0.0334759937397
ACH-000142,-0.264996190767
ACH-000143,-0.246811902749
ACH-000146,-0.0804171260197
ACH-000148,-0.083722060552
ACH-000150,-0.119187014771
ACH-000152,-0.439157015549
ACH-000153,-0.690151878729
ACH-000159,-0.322986303116
ACH-000160,-0.22365792985
ACH-000163,-0.410687482384
ACH-000167,-0.552402426623
ACH-000168,-0.0913354607512
ACH-000169,-0.17179280983
ACH-000178,-0.139224486042
ACH-000182,-0.134833347086
ACH-000183,-0.709544096478
ACH-000188,-0.208120590795
ACH-000189,-0.25980044707
ACH-000190,0.0518190044589
ACH-000198,0.0281510949879
ACH-000204,-0.588749718921
ACH-000206,-0.953646289999
ACH-000207,0.0314678292711
ACH-000211,-0.14193315627699998
ACH-000215,-0.162906882303
ACH-000221,-0.11632115308499999
ACH-000222,-0.050472174032500004
ACH-000223,-0.148828052221
ACH-000226,-0.0553849481071
ACH-000227,-0.270382792613
ACH-000228,-0.250606806915
ACH-000231,-0.282362266071
ACH-000232,-0.166519233008
ACH-000233,-0.365058016484
ACH-000234,-0.238967571489
ACH-000235,-0.11724063066700001
ACH-000237,-0.397040203488
ACH-000238,-0.0832658550647
ACH-000243,-0.0811740062695
ACH-000244,-0.432158849848
ACH-000246,-0.244612727223
ACH-000248,-0.00195263832391
ACH-000250,-0.354798589719
ACH-000251,-0.31057126487799996
ACH-000253,-0.14780583243599998
ACH-000255,-0.19248998723299998
ACH-000256,-0.15120999679400002
ACH-000257,-0.33776380976099996
ACH-000258,-0.10469041876499999
ACH-000259,-0.00778933375179
ACH-000260,-0.0641587446066
ACH-000261,-0.148373455023
ACH-000262,-0.286193815158
ACH-000263,-0.208567472276
ACH-000264,-0.168527664008
ACH-000265,-0.20704064043099998
ACH-000266,-0.134312224538
ACH-000272,-0.159780636359
ACH-000273,-0.017085085904600002
ACH-000274,-0.260147685348
ACH-000277,-0.0671640008583
ACH-000278,-0.060310622489300005
ACH-000279,-0.063759241545
ACH-000280,-0.0408718271661
ACH-000281,-0.36361837065700003
ACH-000288,-0.180753813931
ACH-000291,-0.258004350854
ACH-000293,-0.20548000785999998
ACH-000294,-0.118793454158
ACH-000295,-0.155674704468
ACH-000296,-0.0500280546308
ACH-000302,-0.15152653049
ACH-000304,0.0166186111776
ACH-000307,-0.1728980758
ACH-000308,-0.331106529319
ACH-000310,-0.34687962571599995
ACH-000311,-0.195712045374
ACH-000312,-0.18365460311
ACH-000315,-0.245915632753
ACH-000316,-0.0907002691113
ACH-000317,0.0847826863173
ACH-000318,-0.128087610847
ACH-000319,-0.250950701345
ACH-000320,-0.256814812191
ACH-000322,-0.137314949132
ACH-000323,-0.09808170368750001
ACH-000324,-0.45296735682800005
ACH-000329,-0.20551957563700002
ACH-000330,0.0283341084025
ACH-000331,0.0153632906941
ACH-000332,-0.342007634815
ACH-000334,-0.28705477523
ACH-000335,-0.154711166635
ACH-000336,-0.24356447355
ACH-000337,-0.148727033493
ACH-000339,-0.18424047587900003
ACH-000341,-0.307313384831
ACH-000348,-0.144643987197
ACH-000350,-0.238513972912
ACH-000352,-0.163791977388
ACH-000356,0.0642656719938
ACH-000361,0.143037819957
ACH-000362,-0.224741367
ACH-000363,-0.509935371666
ACH-000364,-0.147270869901
ACH-000365,-0.0994793185062
ACH-000366,0.0707942609558
ACH-000368,-0.423747438531
ACH-000374,-0.09701897114989999
ACH-000375,-0.11699539143
ACH-000376,-0.14616777645
ACH-000381,-0.0267075245103
ACH-000383,-0.161230024358
ACH-000387,-0.07721566764830001
ACH-000389,-0.125008896381
ACH-000390,-0.29990178679
ACH-000393,-0.210968712748
ACH-000395,-0.299768180895
ACH-000397,0.136159540099
ACH-000401,-0.18552210903799998
ACH-000402,-0.29532240179200003
ACH-000403,0.0237803363449
ACH-000404,-0.100858314421
ACH-000406,-0.167163201185
ACH-000407,0.15463115705299998
ACH-000408,0.0939807722725
ACH-000410,-0.179114282971
ACH-000411,-0.07544782415010001
ACH-000414,-0.040506698385699993
ACH-000415,-0.165229285
ACH-000416,-0.0694193883131
ACH-000420,-0.120721070958
ACH-000421,-0.303251633094
ACH-000424,-0.24074791031399997
ACH-000425,-0.00614525063966
ACH-000426,-1.03894352569
ACH-000427,-0.300481011192
ACH-000433,0.045561973614999994
ACH-000436,-0.156776191954
ACH-000444,-0.162306794481
ACH-000445,-0.72772809117
ACH-000448,-0.0418239000928
ACH-000450,-0.402386449498
ACH-000452,-0.213049383614
ACH-000454,-0.200528127717
ACH-000458,-0.257886588669
ACH-000459,-0.345087308427
ACH-000460,-0.45302390538500004
ACH-000461,-0.24218339573199998
ACH-000463,-0.249891362947
ACH-000464,-0.274465846604
ACH-000466,-0.434144984397
ACH-000467,-0.28506466173
ACH-000468,-0.10770445918299999
ACH-000469,-0.7356145698540001
ACH-000470,-0.409558777506
ACH-000471,-0.31890149484200003
ACH-000472,-0.130832338564
ACH-000473,-0.05249010679380001
ACH-000475,-0.0778215350105
ACH-000476,-0.197027032238
ACH-000477,-0.110491684869
ACH-000480,-0.161344129998
