,ILDR2 (387597)
ACH-000004,0.128927137316
ACH-000007,0.037039066514800004
ACH-000009,-0.287919748539
ACH-000011,-0.11377337106100001
ACH-000012,-0.175366750969
ACH-000013,-0.08745699633819999
ACH-000014,0.05598992831809999
ACH-000015,-0.21479271164299998
ACH-000017,-0.10901254260900001
ACH-000018,0.04372495693990001
ACH-000019,-0.0804480517143
ACH-000021,-0.191408858114
ACH-000022,-0.100162861745
ACH-000025,-0.305421979214
ACH-000028,-0.21389578195199999
ACH-000030,-0.11323793135299999
ACH-000035,-0.10084726250600001
ACH-000036,-0.0431362244005
ACH-000037,0.026059768453900005
ACH-000039,-0.0633820411735
ACH-000040,-0.166879680972
ACH-000041,-0.193404361144
ACH-000042,-0.0208775385676
ACH-000045,-0.08255316685389999
ACH-000047,-0.0595404531781
ACH-000052,-0.342863846362
ACH-000053,-0.100393565308
ACH-000054,-0.264173639452
ACH-000055,-0.034894184658199996
ACH-000060,-0.215807851444
ACH-000067,-0.010246716009200001
ACH-000070,-0.0321309598308
ACH-000075,-0.0964385676813
ACH-000078,0.014075762177200002
ACH-000082,-0.03664856263709999
ACH-000085,-0.184436405625
ACH-000086,-0.41919646101400004
ACH-000087,-0.08825605055579999
ACH-000092,-0.094116165056
ACH-000095,-0.186727358365
ACH-000097,-0.130396734218
ACH-000098,-0.064895139984
ACH-000099,0.0465820121599
ACH-000108,-0.17680613183899999
ACH-000113,-0.032025267156
ACH-000115,0.09591691366499999
ACH-000116,-0.139712539943
ACH-000118,-0.239497395419
ACH-000120,-0.108527252654
ACH-000123,-0.124392357449
ACH-000127,-0.0772615271531
ACH-000128,-0.17168214515799998
ACH-000132,-0.186701127489
ACH-000133,-0.0571252454122
ACH-000137,-0.220891439431
ACH-000138,-0.188567395267
ACH-000142,0.108164622335
ACH-000143,-0.24600356950599997
ACH-000146,-0.039182890747500004
ACH-000148,-0.20144386450100002
ACH-000150,0.131847687888
ACH-000152,-0.22982833387600002
ACH-000153,-0.11131666586
ACH-000159,-0.161428943793
ACH-000160,-0.0683668069978
ACH-000163,-0.0228524352795
