,GRINA (2907)
ACH-000004,-0.128111628074
ACH-000007,-0.133976133325
ACH-000009,-0.176050085444
ACH-000011,-0.24568405347199998
ACH-000012,-0.272733849865
ACH-000013,-0.112132365933
ACH-000014,-0.527404601216
ACH-000015,-0.0823984596527
ACH-000017,-0.236124404879
ACH-000018,-0.149199359475
ACH-000019,-0.231963745594
ACH-000021,-0.29727418285999996
ACH-000022,-0.313880847247
ACH-000025,-0.190931473779
ACH-000028,-0.12907485357
ACH-000030,-0.170170365139
ACH-000035,-0.12728041035499998
ACH-000036,-0.36991037994599996
ACH-000037,-0.18235004893100001
ACH-000039,-0.305597705783
ACH-000040,-0.299615867548
ACH-000041,-0.161564504906
ACH-000042,-0.182088073983
ACH-000045,-0.232014091643
ACH-000047,-0.19316171594999998
ACH-000052,-0.0626199253325
ACH-000053,-0.290035720006
ACH-000054,-0.42132763426799996
ACH-000055,-0.077974894692
ACH-000060,-0.430972867389
ACH-000067,-0.353339532845
ACH-000070,-0.428528931342
ACH-000075,-0.239339885464
ACH-000078,-0.32408141574
ACH-000082,-0.29303321627900003
ACH-000085,-0.22156352144699998
ACH-000086,-0.163612491494
ACH-000087,-0.17171054488899998
ACH-000092,-0.35872880192400003
ACH-000095,-0.252003781137
ACH-000097,-0.218769056774
ACH-000098,-0.131112083255
ACH-000099,-0.343196511518
ACH-000108,-0.35378922431500004
ACH-000113,-0.177487951875
ACH-000115,-0.419270996815
ACH-000116,-0.239887358501
ACH-000118,-0.269024463203
ACH-000120,-0.0651445673411
ACH-000123,-0.406808845194
ACH-000127,-0.139216992619
ACH-000128,-0.18031839269900002
ACH-000132,-0.214034565257
ACH-000133,-0.234704682395
ACH-000137,-0.148912202677
ACH-000138,-0.218157807291
ACH-000142,-0.370597517888
ACH-000143,-0.319426626555
ACH-000146,-0.245750395376
ACH-000148,-0.259885308797
ACH-000150,-0.43720428378200005
ACH-000152,-0.341426081904
ACH-000153,-0.191330365603
ACH-000159,-0.301226050106
ACH-000160,-0.22424955188200002
ACH-000163,-0.290198997344
ACH-000167,-0.341432184174
ACH-000168,-0.193568340283
ACH-000169,-0.332013328838
ACH-000178,-0.354675228394
ACH-000182,-0.262575010178
ACH-000183,-0.34114473276900004
ACH-000188,-0.16659048787
ACH-000189,-0.08075778529739999
ACH-000190,-0.199174715979
ACH-000198,-0.293688032482
ACH-000204,-0.187925393799
ACH-000206,-0.278583115784
ACH-000207,-0.217258236435
ACH-000211,-0.340003339424
ACH-000215,-0.323239381615
ACH-000221,-0.210925730422
ACH-000222,-0.35045259545100005
ACH-000223,-0.334590366895
ACH-000226,-0.143306141415
ACH-000227,-0.375296000675
ACH-000228,-0.227054392943
ACH-000231,-0.318736473954
ACH-000232,-0.27318582419
ACH-000233,-0.148907425791
ACH-000234,-0.43441762462899997
ACH-000235,-0.266160580421
ACH-000237,-0.10688515288599999
ACH-000238,-0.219370058281
ACH-000243,-0.232434834214
ACH-000244,-0.420565727587
ACH-000246,-0.44235369740099995
ACH-000248,-0.41220366567199995
ACH-000250,-0.313688515522
ACH-000251,-0.299449385538
ACH-000253,-0.258977673352
ACH-000255,-0.216390556214
ACH-000256,-0.35441971593800004
ACH-000257,-0.508060212113
ACH-000258,-0.246901962931
ACH-000259,-0.303401954823
ACH-000260,-0.306059658108
ACH-000261,-0.251797382836
ACH-000262,-0.294491361696
ACH-000263,-0.605020476312
ACH-000264,-0.312299260269
ACH-000265,-0.210465668576
ACH-000266,-0.331693080405
ACH-000272,-0.322267530715
ACH-000273,-0.161857069644
ACH-000274,-0.315113542898
ACH-000277,-0.710588103935
ACH-000278,-0.0521946608804
ACH-000279,-0.191710268794
ACH-000280,-0.392812325085
ACH-000281,-0.31043375469900003
ACH-000288,-0.140229656304
ACH-000291,-0.364148826042
ACH-000293,-0.216757538655
ACH-000294,-0.26410661356
ACH-000295,-0.323060705308
ACH-000296,-0.030511950834400003
ACH-000302,-0.159289887198
ACH-000304,-0.28396256603799996
ACH-000307,-0.151177727202
ACH-000308,-0.30034723987399997
ACH-000310,-0.358566349856
ACH-000311,-0.301540561512
ACH-000312,-0.320886358492
ACH-000315,-0.262385987933
ACH-000316,-0.34083932062
ACH-000317,-0.263131918808
ACH-000318,-0.367314260537
ACH-000319,-0.0610283109392
ACH-000320,-0.313742624872
ACH-000322,-0.163915236088
ACH-000323,-0.120318441415
