,SDF2L1 (23753)
ACH-000004,-0.899235674665
ACH-000007,-0.100767463274
ACH-000009,-0.31850152306999996
ACH-000011,-0.553220843652
ACH-000012,-0.35353378937799995
ACH-000013,-0.35837873443
ACH-000014,-0.39347950441299995
ACH-000015,-0.529672740354
ACH-000017,-0.444874857028
ACH-000018,-0.349799010308
ACH-000019,-0.5217713581710001
ACH-000021,-0.39714423484
ACH-000022,-0.466108876698
ACH-000025,-0.47233049922700004
ACH-000028,-0.292339798004
ACH-000030,-0.468743041661
ACH-000035,-0.25015086120200003
ACH-000036,-0.335294815932
ACH-000037,-0.344690264922
ACH-000039,-0.155143022486
ACH-000040,-0.208478120832
ACH-000041,-0.491115482073
ACH-000042,-0.356375914974
ACH-000045,-0.425738984845
ACH-000047,-0.348359396474
ACH-000052,-0.759810655426
ACH-000053,-0.441588711023
ACH-000054,-0.393876272427
ACH-000055,-0.149684894278
ACH-000060,-0.55740657608
ACH-000067,-0.205067692792
ACH-000070,-0.21002899772999997
ACH-000075,-0.45774826098099997
ACH-000078,-0.25820863586
ACH-000082,-0.26109375653
ACH-000085,-0.305030912832
ACH-000086,-0.137922758176
ACH-000087,-0.5927647793909999
ACH-000092,-0.542089994728
ACH-000095,-0.29778640218
ACH-000097,-0.433236919022
ACH-000098,-0.486721386912
ACH-000099,-0.361085148882
ACH-000108,-0.37526253160899997
ACH-000113,-0.613295582611
ACH-000115,-0.678436633256
ACH-000116,-0.400642032371
ACH-000118,-0.280640569881
ACH-000120,-0.530174105052
ACH-000123,-0.300517110395
ACH-000127,-0.383816355991
ACH-000128,-0.377772531369
ACH-000132,-0.527318871102
ACH-000133,-0.53847339499
ACH-000137,-0.588512993736
ACH-000138,-0.108051082004
ACH-000142,-0.465579830013
ACH-000143,-0.574007233548
ACH-000146,-0.278218482476
ACH-000148,-0.35377098481200003
ACH-000150,-0.48125768644699995
ACH-000152,-0.297606367899
ACH-000153,-0.321062810869
ACH-000159,-0.140037322122
ACH-000160,-0.366255736816
ACH-000163,-0.154893814033
ACH-000167,-0.746953389605
ACH-000168,-0.410407810795
ACH-000169,-0.38446402343900005
ACH-000178,-0.320596463522
ACH-000182,-0.311767600707
ACH-000183,-0.566880237675
ACH-000188,-0.16845246559500002
ACH-000189,0.0069527911971
ACH-000190,-0.15503297166
ACH-000198,-0.382459259437
ACH-000204,-0.342300611513
