,HKDC1 (80201)
ACH-000004,0.06434211081130001
ACH-000007,-0.110510227429
ACH-000009,-0.0763635381514
ACH-000011,-0.059062559276599993
ACH-000012,-0.16213898795
ACH-000013,-0.0287168475954
ACH-000014,-0.0274388261381
ACH-000015,-0.20416423462900002
ACH-000017,-0.032361441277000004
ACH-000018,-0.27746936154199997
ACH-000019,0.22911352396899998
ACH-000021,-0.20056464643199998
ACH-000022,0.0104169264236
ACH-000025,-0.0473877970598
ACH-000028,-0.192215428174
ACH-000030,-0.251100023126
ACH-000035,-0.188936754497
ACH-000036,-0.259732330061
ACH-000037,-0.0390665238751
ACH-000039,0.036037222159599994
ACH-000040,-0.208412810511
ACH-000041,-0.248185189723
ACH-000042,-0.18316265232
ACH-000045,-0.17385146645100003
ACH-000047,-0.0127297713
ACH-000052,0.115269388681
ACH-000053,-0.21336757594900002
ACH-000054,-0.014749807726200001
ACH-000055,-0.12544780684499998
ACH-000060,-0.14150016385
ACH-000067,-0.0312609592627
ACH-000070,-0.292234266974
ACH-000075,-0.222937727797
ACH-000078,-0.150714158307
ACH-000082,0.00195982999357
ACH-000085,-0.376512619137
ACH-000086,-0.203231648106
ACH-000087,-0.012033329212
ACH-000092,-0.147596474368
ACH-000095,-0.044618380333199995
ACH-000097,-0.125819252065
ACH-000098,-0.0153954386522
ACH-000099,-0.197176511783
ACH-000108,-0.324401489932
ACH-000113,-0.19727801489900001
ACH-000115,-0.15379566281999998
ACH-000116,-0.18829946158100003
ACH-000118,-0.049336644486199996
ACH-000120,-0.121449111903
ACH-000123,-0.102119051363
ACH-000127,-0.216254677375
ACH-000128,-0.0495525511632
ACH-000132,-0.120313206294
ACH-000133,-0.275462818254
ACH-000137,-0.131574750783
ACH-000138,-0.0101701814185
ACH-000142,-0.0623444369046
ACH-000143,-0.16871584102499998
ACH-000146,0.09759074516710001
ACH-000148,-0.0924588240632
ACH-000150,-0.09601141946599999
ACH-000152,-0.130250764115
ACH-000153,-0.23641995062399998
ACH-000159,-0.191103545255
ACH-000160,-0.106606406943
ACH-000163,0.022524733584400002
ACH-000167,-0.14948210806
ACH-000168,-0.152491598491
ACH-000169,-0.12219747161599999
ACH-000178,-0.141998337607
ACH-000182,-0.219306520195
ACH-000183,-0.212791994217
ACH-000188,0.0161506085194
ACH-000189,0.129613497083
ACH-000190,-0.0578944859965
ACH-000198,-0.115365357065
ACH-000204,-0.108783626151
ACH-000206,-0.036081369886400004
ACH-000207,-0.37662442550399994
ACH-000211,-0.126951350046
ACH-000215,-0.101111370484
ACH-000221,-0.294440318832
ACH-000222,-0.105843254716
ACH-000223,-0.11909476710200001
ACH-000226,-0.0863342626323
ACH-000227,-0.06878228222060001
ACH-000228,-0.144260586115
ACH-000231,-0.183850910808
ACH-000232,-0.023488587453700003
ACH-000233,-0.028914632193800003
ACH-000234,-0.225100567177
ACH-000235,-0.043648518489
ACH-000237,-0.0909979047743
ACH-000238,-0.0485560624247
ACH-000243,-0.0904736049945
