,RABEPK (10244)
ACH-000004,-0.410982547142
ACH-000007,-0.417359169481
ACH-000009,-0.495749463143
ACH-000011,-0.117560815447
ACH-000012,-0.20452961243700002
ACH-000013,-0.17319848214699998
ACH-000014,-0.062870418045
ACH-000015,-0.323366511796
ACH-000017,0.0150284793214
ACH-000018,-0.0803305730912
ACH-000019,-0.021313027155
ACH-000021,-0.17744466091299999
ACH-000022,-0.278009064525
ACH-000025,-0.20212685354899998
ACH-000028,-0.158448767298
ACH-000030,-0.16837010651599998
ACH-000035,0.00159381493292
ACH-000036,-0.0519831586785
ACH-000037,-0.0665140645752
ACH-000039,-0.10508623957699999
ACH-000040,-0.0898457937442
ACH-000041,-0.0394713855121
ACH-000042,-0.186428219797
ACH-000045,-0.32859870813000003
ACH-000047,-0.149821124075
ACH-000052,0.00365208045713
ACH-000053,-0.15805421568800002
ACH-000054,-0.229734030053
ACH-000055,-0.04919718712019999
ACH-000060,0.0282873483959
ACH-000067,-0.0321084793809
ACH-000070,-0.185480324166
ACH-000075,-0.196593678204
ACH-000078,-0.114895171371
ACH-000082,-0.12947067859099998
ACH-000085,0.019655946756700002
ACH-000086,0.016704807114799998
ACH-000087,-0.52407048267
ACH-000092,-0.279244495785
ACH-000095,-0.059269287390700004
ACH-000097,-0.08385636019239999
ACH-000098,-0.081508478913
ACH-000099,-0.19845087842
ACH-000108,-0.11590658208799999
ACH-000113,-0.143402165383
ACH-000115,-0.186116024207
ACH-000116,-0.194068971215
ACH-000118,-0.135150465732
ACH-000120,-0.11014789766699999
ACH-000123,-0.259598030406
ACH-000127,-0.191905113862
ACH-000128,-0.0962481356437
ACH-000132,-0.213404085579
ACH-000133,-0.210518984431
ACH-000137,-0.174149098922
ACH-000138,-0.20545066995
ACH-000142,0.0930405526159
ACH-000143,-0.233795590396
ACH-000146,-0.153691673241
ACH-000148,-0.183106522267
ACH-000150,0.121780961994
ACH-000152,-0.0506478598649
ACH-000153,0.044707957812700004
ACH-000159,-0.219633684777
ACH-000160,-0.286556632531
ACH-000163,-0.07063187418889999
ACH-000167,-0.29600267805999997
ACH-000168,-0.34111642559600003
ACH-000169,-0.35400740800700004
ACH-000178,-0.10558244969200001
ACH-000182,-0.0748456266384
ACH-000183,-0.232561481754
ACH-000188,-0.163242425585
ACH-000189,-0.116097292411
