,CMPK1 (51727)
ACH-000004,-0.816205805
ACH-000007,-0.9931581063700001
ACH-000009,-0.892440770392
ACH-000011,-1.03960383672
ACH-000012,-0.92585407411
ACH-000013,-0.703163206452
ACH-000014,-0.7387591696610001
ACH-000015,-1.0696487508799999
ACH-000017,-1.00303443075
ACH-000018,-1.07410274125
ACH-000019,-0.974841018097
ACH-000021,-1.11346648933
ACH-000022,-0.8945016540809999
ACH-000025,-1.02791037483
ACH-000028,-0.9185969686900001
ACH-000030,-1.07754147995
ACH-000035,-0.959601179796
ACH-000036,-0.790112647862
ACH-000037,-0.631285862676
ACH-000039,-0.987302911005
ACH-000040,-0.7171116864720001
ACH-000041,-0.8904106760670001
ACH-000042,-1.12279588278
ACH-000045,-0.802664835127
ACH-000047,-1.1194082729600001
ACH-000052,-0.7484478478550001
ACH-000053,-1.0494299249799999
ACH-000054,-0.95067873985
ACH-000055,-0.847050635272
ACH-000060,-0.989247571135
ACH-000067,-0.552321503313
ACH-000070,-1.01085557309
ACH-000075,-1.12683596769
ACH-000078,-1.0059362221100001
ACH-000082,-0.393284362647
ACH-000085,-1.00473386753
ACH-000086,-0.695519626611
ACH-000087,-0.691352491137
ACH-000092,-0.9468151968449999
ACH-000095,-0.9067486611750001
ACH-000097,-0.9862731405700002
ACH-000098,-0.584754702728
ACH-000099,-0.961973573231
ACH-000108,-0.989823695956
ACH-000113,-0.933596187042
ACH-000115,-0.565443106332
ACH-000116,-0.646207409947
ACH-000118,-1.0531964220999999
ACH-000120,-1.12586953146
ACH-000123,-0.725810347538
ACH-000127,-0.946912516725
ACH-000128,-0.691721577931
ACH-000132,-0.8761322121439999
ACH-000133,-0.5980929638310001
ACH-000137,-0.689071788205
ACH-000138,-0.8527152866600001
ACH-000142,-1.0392562974500001
ACH-000143,-1.00010954781
ACH-000146,-0.843352255559
ACH-000148,-0.813242708512
ACH-000150,-0.935967648973
ACH-000152,-0.835356181903
ACH-000153,-0.5743393375320001
ACH-000159,-0.931489437051
ACH-000160,-1.0838801694
ACH-000163,-0.513224199303
ACH-000167,-0.8125526980869999
ACH-000168,-1.11434136236
ACH-000169,-0.938633624727
ACH-000178,-0.9653739364149999
ACH-000182,-0.7969703036570001
ACH-000183,-0.8242407163779999
ACH-000188,-1.0539964047900001
ACH-000189,-1.3871335684600001
ACH-000190,-0.940909568239
ACH-000198,-0.901214984103
ACH-000204,-0.9889519842030001
ACH-000206,-1.05439490156
ACH-000207,-1.87829228967
ACH-000211,-0.5431271102340001
ACH-000215,-0.7201514202860001
ACH-000221,-0.826734947378
ACH-000222,-1.24172989854
ACH-000223,-1.19597134148
ACH-000226,-0.9279381418539999
ACH-000227,-0.856423518296
ACH-000228,-1.43302941964
ACH-000231,-0.820763195581
ACH-000232,-0.910543476241
ACH-000233,-0.9326777767899999
ACH-000234,-1.0646813706
ACH-000235,-0.9754077684550001
ACH-000237,-0.769639339726
ACH-000238,-1.06875361348
ACH-000243,-1.04686541614
ACH-000244,-0.52338814744
ACH-000246,-0.88456721407
ACH-000248,-1.1727778500200001
ACH-000250,-0.98851824176
ACH-000251,-1.1952628831999998
ACH-000253,-1.1003821795
ACH-000255,-0.7253502744689999
ACH-000256,-0.7583283807100001
ACH-000257,-0.99034643186
ACH-000258,-0.632313514761
ACH-000259,-1.0617837512600001
ACH-000260,-0.65526743173
ACH-000261,-1.13546192001
ACH-000262,-0.845456612988
ACH-000263,-0.8186281005120001
ACH-000264,-1.14385718789
ACH-000265,-0.9191341409389999
ACH-000266,-1.20302720553
ACH-000272,-1.00502388116
ACH-000273,-0.841686775573
ACH-000274,-0.577165793694
ACH-000277,-1.0760550258600001
ACH-000278,-0.984855206867
ACH-000279,-1.0771855758
ACH-000280,-0.951217321819
ACH-000281,-0.9895142839550001
ACH-000288,-0.961436870067
ACH-000291,-0.692179607805
ACH-000293,-0.35518897325099996
ACH-000294,-1.20324797421
ACH-000295,-1.0
ACH-000296,-0.999852292052
ACH-000302,-1.0
ACH-000304,-0.9498236714489999
ACH-000307,-1.04573405556
ACH-000308,-1.1295559065
ACH-000310,-0.662453339914
ACH-000311,-1.04767584984
ACH-000312,-1.2554544664799998
ACH-000315,-1.18567128367
ACH-000316,-0.979681489123
ACH-000317,-1.23119890983
ACH-000318,-1.0550642918200002
ACH-000319,-0.814312107932
ACH-000320,-1.270101326
ACH-000322,-0.9819531772840001
ACH-000323,-0.7275332187729999
ACH-000324,-0.845382585385
ACH-000329,-0.77224685317
ACH-000330,-0.8979741486660001
ACH-000331,-0.925941783873
ACH-000332,-1.05008938218
ACH-000334,-1.23042964564
ACH-000335,-0.6721837717899999
ACH-000336,-0.7901241199879999
ACH-000337,-1.04436791404
ACH-000339,-0.8790343159880001
ACH-000341,-0.881308522833
ACH-000348,-1.08804661185
ACH-000350,-0.959627156804
ACH-000352,-0.9997445229690001
ACH-000356,-1.0699370882500001
ACH-000361,-0.8288394833239999
ACH-000362,-1.03513618967
ACH-000363,-1.1503272898299999
ACH-000364,-1.13654468494
ACH-000365,-0.859627858883
ACH-000366,-1.2269410152299998
ACH-000368,-0.626203966473
ACH-000374,-0.968270628419
ACH-000375,-0.920419435686
ACH-000376,-0.835858086151
ACH-000381,-1.0847434594399998
ACH-000383,-1.17845953021
ACH-000387,-0.842970038606
ACH-000389,-1.04024049123
ACH-000390,-1.2866356921200002
ACH-000393,-0.5676458312899999
ACH-000395,-1.05268419385
ACH-000397,-1.25955096076
ACH-000401,-0.939298732221
ACH-000402,-0.20318340210799998
ACH-000403,-1.24369279726
ACH-000404,-1.08707347346
ACH-000406,-1.10751927559
ACH-000407,-0.638858149645
ACH-000408,-1.08348363888
ACH-000410,-0.8491934062309999
ACH-000411,-1.06571317832
ACH-000414,-0.964572104559
ACH-000415,-1.14037714262
ACH-000416,-0.9668647391480001
ACH-000420,-0.7784736973190001
ACH-000421,-1.0007043003
ACH-000424,-0.604739527109
ACH-000425,-0.9310149866840001
ACH-000426,-1.25946116904
ACH-000427,-1.1769777160500001
ACH-000433,-0.761053781189
ACH-000436,-1.14882871961
ACH-000444,-1.08252907171
ACH-000445,-1.3308539919
ACH-000448,-1.01625639695
ACH-000450,-1.27569913295
