,HIST1H2BN (8341)
ACH-000004,-0.627998835627
ACH-000007,-0.591440680656
ACH-000009,-0.5653391353980001
ACH-000011,-0.930725581665
ACH-000012,-0.726684405481
ACH-000013,-0.38716288024400003
ACH-000014,-0.7208742472040001
ACH-000015,-0.32997503338899997
ACH-000017,-0.707557888786
ACH-000018,-0.539756621947
ACH-000019,-0.755074933046
ACH-000021,-0.275702038175
ACH-000022,-0.40123660121
ACH-000025,-0.49742724630400004
ACH-000028,-0.7188501244650001
ACH-000030,-0.28621881181200004
ACH-000035,-0.76928115412
ACH-000036,-0.546992708812
ACH-000037,-0.199641583726
ACH-000039,-0.641036921997
ACH-000040,-0.711138978233
ACH-000041,-0.657038778819
ACH-000042,-0.443757186507
ACH-000045,-0.574553852022
ACH-000047,-0.318381418436
ACH-000052,-0.6443852345809999
ACH-000053,-0.5896737777800001
ACH-000054,-0.305248340319
ACH-000055,-0.499653218706
ACH-000060,-0.393048508015
ACH-000067,-0.442490396898
ACH-000070,-0.775822605686
ACH-000075,-0.618104119661
ACH-000078,-0.711397090389
ACH-000082,-0.792513306389
ACH-000085,-0.524966638441
ACH-000086,-0.8146593133040001
ACH-000087,-0.38973467731
ACH-000092,-0.58063026764
ACH-000095,-0.817452768636
ACH-000097,-0.590286722374
ACH-000098,-0.597424473751
ACH-000099,-0.617327073122
ACH-000108,-0.36834093398699996
ACH-000113,-0.39670402493100004
ACH-000115,-0.791264120573
ACH-000116,-0.34744060435900004
ACH-000118,-0.507803416664
ACH-000120,-0.296822709761
ACH-000123,-0.566140765395
ACH-000127,-0.515336658335
ACH-000128,-0.328858049838
ACH-000132,-0.34588985813199996
ACH-000133,-0.545884725753
ACH-000137,-0.362616702468
ACH-000138,-0.592937170755
ACH-000142,-0.5837509079609999
ACH-000143,-0.551706163822
ACH-000146,-0.6856763056980001
ACH-000148,-0.416011554115
ACH-000150,-0.443994162604
ACH-000152,-0.42017165217299995
ACH-000153,-0.40457383276500003
ACH-000159,-0.4569828885600001
ACH-000160,-0.17642757324
ACH-000163,-0.548388957428
ACH-000167,0.0721432831181
ACH-000168,-0.63033105986
ACH-000169,-0.7156863896690001
ACH-000178,-0.525630735219
ACH-000182,-0.222928103518
ACH-000183,-0.354982569548
ACH-000188,-0.820350790019
ACH-000189,-0.45897447826899995
ACH-000190,-0.0279720497324
ACH-000198,-0.796858769393
ACH-000204,-0.326975223946
ACH-000206,-0.7752044547399999
ACH-000207,-0.543152423642
ACH-000211,-0.526224060406
ACH-000215,-0.660716141627
ACH-000221,-0.429738405568
ACH-000222,-0.4836674069100001
ACH-000223,-0.718830181115
ACH-000226,-0.762266325538
ACH-000227,-0.48895859282
ACH-000228,-0.502995855303
ACH-000231,-0.796236213066
ACH-000232,-0.602842923255
ACH-000233,-0.67660852323
ACH-000234,-0.470712585426
ACH-000235,-0.381914726219
ACH-000237,-0.300873455191
ACH-000238,-0.474447071957
ACH-000243,-0.342480897838
ACH-000244,-0.774329432288
ACH-000246,-0.5284550371100001
ACH-000248,-0.45877440714100004
ACH-000250,-0.46221374201800003
ACH-000251,-0.605395453432
ACH-000253,-0.715739363037
ACH-000255,-0.506005424889
ACH-000256,-0.47929726904500003
ACH-000257,-0.041428037692400006
ACH-000258,-0.614536486762
ACH-000259,-0.46758475166999997
