,ATP5O (539)
ACH-000004,-0.417647796825
ACH-000007,-0.5050275554079999
ACH-000009,-0.44587914715899996
ACH-000011,-0.012411994934799999
ACH-000012,-0.291626595301
ACH-000013,-0.525069449564
ACH-000014,-0.22042492936299998
ACH-000015,-0.509415991452
ACH-000017,-0.772829188511
ACH-000018,-0.453392751037
ACH-000019,-0.991565013134
ACH-000021,-0.42826868345700003
ACH-000022,-0.786750019144
ACH-000025,-0.42850646398599995
ACH-000028,-0.6465276453559999
ACH-000030,-0.49872775342200004
ACH-000035,-0.643668412306
ACH-000036,-0.283310496262
ACH-000037,-0.395637729993
ACH-000039,-0.5762040284300001
ACH-000040,-0.35562191192000003
ACH-000041,-0.19561850772300002
ACH-000042,-0.259653291434
ACH-000045,-0.43336705802500003
ACH-000047,-0.548564025452
ACH-000052,-0.294124810049
ACH-000053,-0.457157000135
ACH-000054,-0.38078620372
ACH-000055,-0.352033616856
ACH-000060,-0.509387252923
ACH-000067,-0.333735081496
ACH-000070,-0.509343981486
ACH-000075,-0.232552800358
ACH-000078,-0.263122555824
ACH-000082,-0.45949310936399995
ACH-000085,-0.384439016542
ACH-000086,-0.572104326881
ACH-000087,-0.710939591309
ACH-000092,-0.429636412253
ACH-000095,-0.35543218419100003
ACH-000097,-0.633535718856
ACH-000098,-0.24864357144699997
ACH-000099,-0.311330095732
ACH-000108,-0.445215387626
ACH-000113,-0.538927708973
ACH-000115,-0.38687226534900004
ACH-000116,-1.0711523305700001
ACH-000118,-0.576999217539
ACH-000120,-0.374491837869
ACH-000123,-0.547354401415
ACH-000127,-0.669006961106
ACH-000128,-0.641665620573
ACH-000132,-0.46188905577399997
ACH-000133,-0.287824287135
ACH-000137,-0.276706667707
ACH-000138,-0.404492450738
ACH-000142,-0.553591824618
ACH-000143,-0.363400486689
ACH-000146,-0.284001547905
ACH-000148,-0.537710721581
ACH-000150,-0.341714055298
ACH-000152,-0.371088098225
ACH-000153,-0.360639634706
ACH-000159,-0.430172286957
ACH-000160,-0.797174811724
ACH-000163,-0.34663677265500004
ACH-000167,-0.044659816694300004
ACH-000168,-0.45179808151
ACH-000169,-0.563335532071
ACH-000178,-0.493718264956
ACH-000182,-0.703185990478
ACH-000183,-0.510095234805
ACH-000188,-0.617138603384
ACH-000189,-0.485537103321
ACH-000190,-0.6902060696600001
ACH-000198,-0.271805890272
ACH-000204,-0.438404845335
ACH-000206,-0.848428949714
ACH-000207,-0.5362567914859999
ACH-000211,-0.421633441294
ACH-000215,-0.779792101579
ACH-000221,-0.6856004104440001
ACH-000222,-0.638806952438
ACH-000223,-0.7084687772849999
ACH-000226,-0.323544941328
ACH-000227,-0.532075645061
ACH-000228,-0.31281192771099997
ACH-000231,-0.452080287843
ACH-000232,-0.451429515938
ACH-000233,-0.20376949709199998
ACH-000234,-0.233250909573
ACH-000235,-0.241600650007
ACH-000237,-0.1607231382
ACH-000238,-0.695727090624
ACH-000243,-0.389974850916
ACH-000244,-0.19012539645999998
ACH-000246,-0.677585160345
ACH-000248,-0.631602084081
ACH-000250,-0.224842592323
ACH-000251,-0.732379380356
ACH-000253,-0.347575717144
ACH-000255,-0.595044826751
ACH-000256,-0.283998777297
ACH-000257,-0.8536064437190001
ACH-000258,-0.571590394279
ACH-000259,-0.6524828194160001
ACH-000260,-0.330493942801
ACH-000261,-0.291015399802
ACH-000262,-0.192158437566
ACH-000263,-0.650318437554
ACH-000264,-0.617296123416
ACH-000265,-0.7747081755480001
ACH-000266,-0.215157683113
ACH-000272,-0.41741491189999996
ACH-000273,-0.26212027778999997
ACH-000274,-0.7144269490970001
ACH-000277,-0.817417397496
ACH-000278,-0.59389092945
ACH-000279,-0.367049096152
ACH-000280,-0.401978575395
ACH-000281,-0.33624104924099996
ACH-000288,-0.580707938722
ACH-000291,-0.462828599525
ACH-000293,-0.6240759306229999
ACH-000294,-0.210975973485
ACH-000295,-0.41706562984300005
ACH-000296,-0.696166169038
ACH-000302,-0.8255124621179999
ACH-000304,-0.390099054925
ACH-000307,-0.422279300119
ACH-000308,-0.708283379118
ACH-000310,-0.6813605339959999
ACH-000311,-0.527741670383
ACH-000312,-0.47299832701399996
ACH-000315,-0.236135335841
ACH-000316,-0.43669784102700004
ACH-000317,-0.162939980557
ACH-000318,-0.62745301832
ACH-000319,-0.736851939155
ACH-000320,-0.516729883912
ACH-000322,-0.48821278389899997
ACH-000323,-0.309191990918
ACH-000324,-0.34626879405100003
ACH-000329,-0.679898071557
ACH-000330,-0.45572702815099997
ACH-000331,-0.448506348093
ACH-000332,-0.395799848544
ACH-000334,-0.431733241204
ACH-000335,-0.41202767218599995
ACH-000336,-0.282879889994
ACH-000337,-0.303571151297
ACH-000339,-0.39978776980700004
