,FAM167B (84734)
ACH-000004,-0.0666502466255
ACH-000007,-0.041269839998800004
ACH-000009,-0.193499461386
ACH-000011,0.198412130169
ACH-000012,-0.0832482220688
ACH-000013,-0.0747671053592
ACH-000014,0.0600913149892
ACH-000015,-0.004346182848729999
ACH-000017,-0.0752790230623
ACH-000018,-0.031924347100299996
ACH-000019,-0.1389976834
ACH-000021,-0.0357452467868
ACH-000022,-0.076435270719
ACH-000025,-0.012257823515600001
ACH-000028,-0.0175535774544
ACH-000030,-0.06705008080210001
ACH-000035,-0.299192097877
ACH-000036,-0.024834557936800002
ACH-000037,-0.0676354899195
ACH-000039,-0.00169773507308
ACH-000040,0.0062482153874
ACH-000041,0.0636517476772
ACH-000042,-0.117668026785
ACH-000045,-0.120044633913
ACH-000047,-0.081196490747
ACH-000052,-0.00832270260083
ACH-000053,-0.117022012609
ACH-000054,-0.126192799473
ACH-000055,0.259422178416
ACH-000060,-0.0645854197826
ACH-000067,0.117139232239
ACH-000070,0.11955798139599999
ACH-000075,-0.311919879374
ACH-000078,-0.25327966931400003
ACH-000082,0.037170920982699994
ACH-000085,-0.049769773058900006
ACH-000086,-0.04704610351369999
ACH-000087,0.078802273355
ACH-000092,-0.344407486092
ACH-000095,-0.0356805744689
ACH-000097,-0.0172859747098
ACH-000098,-0.136111926751
ACH-000099,-0.07744912820489999
ACH-000108,-0.26532128385299997
ACH-000113,0.0313079215813
ACH-000115,-0.164917790099
ACH-000116,-0.175277320026
ACH-000118,-0.13685258022
ACH-000120,-0.104703799547
ACH-000123,-0.16404737105699999
ACH-000127,0.10388549066
ACH-000128,-0.126123566679
ACH-000132,-0.120147822432
ACH-000133,-0.0697876978654
ACH-000137,-0.223067627027
ACH-000138,-0.171212238116
ACH-000142,-0.19591267211
ACH-000143,-0.077566965261
ACH-000146,0.00524426405793
ACH-000148,-0.050833312662500005
ACH-000150,-0.25629425371
ACH-000152,-0.146474840526
ACH-000153,-0.0855524793028
ACH-000159,-0.117199567115
ACH-000160,0.0485616992648
ACH-000163,0.0318521054936
ACH-000167,-0.0032934517208600004
ACH-000168,0.14566046834899998
ACH-000169,-0.184272940465
ACH-000178,0.06987388774089999
ACH-000182,0.164920187939
ACH-000183,-0.295863861172
ACH-000188,-0.299219193346
ACH-000189,0.178672052789
ACH-000190,-0.0401739195474
ACH-000198,0.00752970467145
ACH-000204,-0.154897548725
ACH-000206,0.0382628388802
ACH-000207,-0.022511952169900002
ACH-000211,-0.000534458450485
ACH-000215,-0.13494932465099999
ACH-000221,0.091603878155
ACH-000222,-0.09886898476360001
ACH-000223,-0.0682079713014
ACH-000226,-0.0201890666493
ACH-000227,0.029466442469
ACH-000228,0.0348541453699
ACH-000231,0.0333369882442
ACH-000232,0.0320100818188
ACH-000233,-0.0284814389843
ACH-000234,-0.251443577131
ACH-000235,-0.113992280845
ACH-000237,-0.037530543161400004
ACH-000238,-0.14532206075999998
ACH-000243,-0.0806822546309
ACH-000244,-0.000112597184661
ACH-000246,-0.132148359401
ACH-000248,0.0666246521714
ACH-000250,-0.08156133391689999
ACH-000251,-0.19226366425799998
ACH-000253,-0.118465681985
ACH-000255,-0.0321397616359
ACH-000256,-0.0794893253744
ACH-000257,-0.129119723371
ACH-000258,-0.17054753783399998
ACH-000259,0.0067272711341300005
ACH-000260,-0.11029843304400001
ACH-000261,0.0577066339818
ACH-000262,-0.284313478205
ACH-000263,0.257923736516
ACH-000264,-0.0771601671154
ACH-000265,-0.143436087683
ACH-000266,-0.027226507993000002
ACH-000272,0.024347486786000003
ACH-000273,-0.126046308495
