,CNTROB (116840)
ACH-000004,-0.05206679095930001
ACH-000007,-0.147669886757
ACH-000009,-0.0370616548189
ACH-000011,0.14252467542799999
ACH-000012,-0.0549755848401
ACH-000013,-0.184425359255
ACH-000014,-0.10539111694499999
ACH-000015,-0.156456939421
ACH-000017,0.163395072236
ACH-000018,-0.290148824506
ACH-000019,-0.0285884272198
ACH-000021,0.0062997640443
ACH-000022,-0.253428174232
ACH-000025,-0.146615474855
ACH-000028,-0.185515244029
ACH-000030,-0.0859909391309
ACH-000035,-0.160847062387
ACH-000036,0.0160664670788
ACH-000037,-0.103424230527
ACH-000039,-0.015406102936499999
ACH-000040,-0.17534439822200001
ACH-000041,-0.151165176279
ACH-000042,-0.512270717794
ACH-000045,-0.20225882933400002
ACH-000047,-0.108706154767
ACH-000052,0.0736414533531
ACH-000053,-0.07966817842400001
ACH-000054,-0.119297913149
ACH-000055,-0.10821173253699999
ACH-000060,-0.420340591699
ACH-000067,-0.339260135395
ACH-000070,0.101701195534
ACH-000075,-0.0979567028259
ACH-000078,-0.24912705483300002
ACH-000082,-0.223961396035
ACH-000085,-0.147508539901
ACH-000086,0.0017648602100799999
ACH-000087,-0.136994541006
ACH-000092,-0.164721717304
ACH-000095,-0.22047629022
ACH-000097,-0.11284004901900001
ACH-000098,-0.170750260924
ACH-000099,-0.23138544727899998
ACH-000108,0.0233049110097
ACH-000113,-0.0700668884253
ACH-000115,-0.185736220422
ACH-000116,-0.00287912662076
ACH-000118,-0.09091671393989999
ACH-000120,-0.218441747138
ACH-000123,-0.0667531869509
ACH-000127,-0.354432853975
ACH-000128,-0.221451500599
ACH-000132,-0.133641328792
ACH-000133,-0.142284333026
ACH-000137,-0.100980859524
ACH-000138,-0.059948057861699995
ACH-000142,-0.010104867594899999
ACH-000143,-0.37364950592699997
ACH-000146,-0.0762048637907
ACH-000148,-0.0549847841935
ACH-000150,-0.21398174915399998
ACH-000152,-0.160447576344
ACH-000153,-0.13878352533
ACH-000159,0.0475268577556
ACH-000160,-0.20393860638
ACH-000163,-0.123249768836
ACH-000167,0.0377836859548
ACH-000168,-0.0270212799981
ACH-000169,0.0231606755168
ACH-000178,-0.123170097097
ACH-000182,-0.123120284057
ACH-000183,-0.060129876741
ACH-000188,-0.324793714468
ACH-000189,-0.325021886737
ACH-000190,-0.143334532783
ACH-000198,-0.205651635521
ACH-000204,-0.405868502737
ACH-000206,0.0343597533769
ACH-000207,-0.355287805704
ACH-000211,-0.115610566102
ACH-000215,-0.019003892159
ACH-000221,-0.137827381561
ACH-000222,0.25588829261999996
ACH-000223,-0.190967631684
ACH-000226,-0.195083221208
ACH-000227,-0.250744431805
ACH-000228,-0.316428545739
ACH-000231,-0.35118154453100003
ACH-000232,-0.07692441340089999
ACH-000233,-0.110316914507
ACH-000234,-0.0297712865653
ACH-000235,-0.10081654238900001
ACH-000237,-0.000837115367681
ACH-000238,-0.243716947353
ACH-000243,-0.18603350591899998
ACH-000244,-0.299647240059
ACH-000246,-0.17013891548
ACH-000248,0.10521055606799999
ACH-000250,-0.124072934057
ACH-000251,-0.14398791496899999
ACH-000253,-0.0615483790675
ACH-000255,-0.139165702718
ACH-000256,-0.142594308859
ACH-000257,-0.0719699989834
ACH-000258,0.00867303273468
ACH-000259,-0.09544137000189999
ACH-000260,-0.143454759668
ACH-000261,-0.20748461251699998
ACH-000262,0.035332264915300005
ACH-000263,0.273835800777
ACH-000264,-0.158057106916
ACH-000265,-0.259568744362
ACH-000266,-0.135754899066
ACH-000272,-0.0483835181862
ACH-000273,-0.27651326134
ACH-000274,-0.130160105823
ACH-000277,-0.0735575872462
ACH-000278,-0.136236814741
ACH-000279,-0.19691270342199998
ACH-000280,-0.110433571049
ACH-000281,-0.275999777319
ACH-000288,-0.36444045001100006
