,DROSHA (29102)
ACH-000004,-0.460393507106
ACH-000007,-0.245058730223
ACH-000009,-0.25867901712499997
ACH-000011,-0.439318276244
ACH-000012,-0.529475978997
ACH-000013,-0.535094785167
ACH-000014,-0.452790813498
ACH-000015,-0.186438631889
ACH-000017,-0.338966893737
ACH-000018,-0.739333862007
ACH-000019,-0.0964753344771
ACH-000021,-0.34334429303099995
ACH-000022,-0.21619257184300003
ACH-000025,-0.43183403758199995
ACH-000028,-0.35976404147600005
ACH-000030,-0.206797924105
ACH-000035,-0.48622033607799997
ACH-000036,-0.36784242018299995
ACH-000037,-0.414181473989
ACH-000039,-0.444533358878
ACH-000040,-0.681850063363
ACH-000041,-0.7171037412700001
ACH-000042,-0.6513336488629999
ACH-000045,-0.655660791391
ACH-000047,-0.605525426211
ACH-000052,-0.7635461948379999
ACH-000053,-0.801421734748
ACH-000054,-0.410143886121
ACH-000055,-0.493816212919
ACH-000060,-0.37603424767800003
ACH-000067,-0.586661883307
ACH-000070,-0.572443806877
ACH-000075,-0.292762045524
ACH-000078,-0.399797386333
ACH-000082,-1.0900794213
ACH-000085,-0.7718472291609999
ACH-000086,-0.30362661663
ACH-000087,-0.48655446214299997
ACH-000092,-0.437670478938
ACH-000095,-0.518507901549
ACH-000097,-0.4720060395699999
ACH-000098,-0.31723251798200003
ACH-000099,-0.515070383202
ACH-000108,-0.622753044668
ACH-000113,-0.610453104421
ACH-000115,-0.108907338233
ACH-000116,-0.265042338577
ACH-000118,-0.810231545903
ACH-000120,-0.6501187734880001
ACH-000123,-0.46131804299199997
ACH-000127,-0.469044686492
ACH-000128,-0.334765005816
ACH-000132,-0.221197071515
ACH-000133,-0.310413362134
ACH-000137,-0.470115666466
ACH-000138,-0.592802940793
ACH-000142,-0.310936286501
ACH-000143,-0.651916775591
ACH-000146,-0.40756008019400003
ACH-000148,-0.4461461674
ACH-000150,-0.216780844659
ACH-000152,-0.554449436145
ACH-000153,-0.39032543399
ACH-000159,-0.550799532156
ACH-000160,-0.73894455531
ACH-000163,-0.580426497753
ACH-000167,-0.445021084779
ACH-000168,-0.569016015018
ACH-000169,-0.514644796141
ACH-000178,-0.431400565558
