,PKM (5315)
ACH-000004,-0.94890406189
ACH-000007,-0.915418827457
ACH-000009,-1.37342590199
ACH-000011,-0.788333851889
ACH-000012,-1.31319701581
ACH-000013,-0.65722560408
ACH-000014,-1.21146889845
ACH-000015,-0.831638883628
ACH-000017,-1.19070981009
ACH-000018,-1.40472693246
ACH-000019,-0.513311648838
ACH-000021,-0.851344398389
ACH-000022,-0.9487248921179999
ACH-000025,-1.25715913455
ACH-000028,-0.7911079031630001
ACH-000030,-1.11097160331
ACH-000035,-1.4193508325600002
ACH-000036,-0.97072578677
ACH-000037,-0.941191476125
ACH-000039,-1.10203423626
ACH-000040,-1.06091648375
ACH-000041,-1.13712613901
ACH-000042,-1.34916404356
ACH-000045,-1.26079306871
ACH-000047,-0.957166548097
ACH-000052,-1.4392155354
ACH-000053,-0.7732978532379999
ACH-000054,-0.84847586361
ACH-000055,-1.31228381279
ACH-000060,-0.9806000255949999
ACH-000067,-1.22659217218
ACH-000070,-0.9654806903669999
ACH-000075,-1.36464320839
ACH-000078,-1.02926938023
ACH-000082,-0.684699635845
ACH-000085,-0.891570821401
ACH-000086,-0.9396675503030001
ACH-000087,-1.5115756009999999
ACH-000092,-0.322266580022
ACH-000095,-1.00670409161
ACH-000097,-0.641818653836
ACH-000098,-1.095486016
ACH-000099,-1.19069574486
ACH-000108,-1.1429104535299999
ACH-000113,-0.938714765318
ACH-000115,-0.767716036337
ACH-000116,-0.881419508687
ACH-000118,-1.00269045041
ACH-000120,-0.618280031047
ACH-000123,-0.938090198511
ACH-000127,-1.13496959944
ACH-000128,-0.877467534417
ACH-000132,-1.02023120488
ACH-000133,-0.8955736224040001
ACH-000137,-1.44153991926
ACH-000138,-1.12045996678
ACH-000142,-1.2580210934799998
ACH-000143,-1.02918914548
ACH-000146,-0.944179326305
ACH-000148,-1.32753075267
ACH-000150,-1.09952158934
ACH-000152,-0.826448950687
ACH-000153,-0.879316362552
ACH-000159,-0.683507948176
ACH-000160,-1.25426637935
ACH-000163,-1.21832213635
ACH-000167,-1.24907028416
ACH-000168,-0.646460852485
ACH-000169,-0.9959626362890001
ACH-000178,-1.0886536842299999
ACH-000182,-0.6895166464820001
ACH-000183,-0.907861733494
ACH-000188,-1.22734605151
ACH-000189,-0.9861076060539999
ACH-000190,-1.08883199878
ACH-000198,-0.934722833571
ACH-000204,-1.30543285664
ACH-000206,-0.964658867853
ACH-000207,-0.454522205296
ACH-000211,-1.0637666591700001
ACH-000215,-1.12175708108
ACH-000221,-1.16877758249
ACH-000222,-0.7312522471969999
ACH-000223,-1.03748734692
ACH-000226,-1.2162301923
ACH-000227,-1.11266837766
ACH-000228,-1.14630302597
ACH-000231,-1.2317430781899998
ACH-000232,-1.05235968789
ACH-000233,-0.927054751819
ACH-000234,-1.17122176582
ACH-000235,-1.2278971171
ACH-000237,-1.0087943596200002
ACH-000238,-0.9002786170679999
ACH-000243,-1.33350119491
ACH-000244,-1.0176915908600002
ACH-000246,-1.08782413771
ACH-000248,-1.3598461010299998
ACH-000250,-1.0557726863299999
ACH-000251,-1.2474301423799998
ACH-000253,-0.995963398585
ACH-000255,-1.4130672249
ACH-000256,-1.30783680276
ACH-000257,-1.20990227062
ACH-000258,-0.9533874400110001
ACH-000259,-1.08051373674
ACH-000260,-0.9885247916969999
ACH-000261,-1.43626017122
ACH-000262,-1.16572614693
