,GRASP (160622)
ACH-000004,-0.435218430665
ACH-000007,-0.107248045543
ACH-000009,-0.302186773379
ACH-000011,-0.395885796571
ACH-000012,-0.23461552144
ACH-000013,-0.36996059273599996
ACH-000014,-0.412106839776
ACH-000015,-0.506634079551
ACH-000017,-0.21341128678399998
ACH-000018,-0.6008881267939999
ACH-000019,-0.16335347017000001
ACH-000021,-0.530167832168
ACH-000022,-0.37914669481299995
ACH-000025,-0.414674229771
ACH-000028,-0.479339720608
ACH-000030,-0.352828773555
ACH-000035,-0.318062321646
ACH-000036,-0.20889929077599997
ACH-000037,-0.129745185781
ACH-000039,-0.34877304708000006
ACH-000040,-0.248929359075
ACH-000041,-0.24439022035100003
ACH-000042,-0.194272839342
ACH-000045,-0.391797723361
ACH-000047,-0.126038259161
ACH-000052,-0.375536611349
ACH-000053,-0.401318383609
ACH-000054,-0.39316330428400004
ACH-000055,-0.374260081207
ACH-000060,-0.216484702443
ACH-000067,-0.42906216986900003
ACH-000070,-0.196591116131
ACH-000075,-0.5776999954609999
ACH-000078,-0.374791242751
ACH-000082,-0.184604305354
ACH-000085,-0.161447785084
ACH-000086,-0.484718158948
ACH-000087,-0.539296862513
ACH-000092,-0.335836849555
ACH-000095,-0.300613331614
ACH-000097,-0.463614294713
ACH-000098,-0.07709239500630001
ACH-000099,-0.375100277384
ACH-000108,-0.17624504336599997
ACH-000113,-0.33167173157200003
ACH-000115,-0.40246395266
ACH-000116,-0.293919230411
ACH-000118,-0.452139869142
ACH-000120,-0.5086796859080001
ACH-000123,-0.239893382488
ACH-000127,-0.319166645357
ACH-000128,-0.5981786892409999
ACH-000132,-0.163142811516
ACH-000133,-0.451261452887
ACH-000137,-0.401450578461
ACH-000138,-0.385945177675
ACH-000142,-0.566078171126
ACH-000143,-0.488663074146
ACH-000146,-0.363857354475
ACH-000148,-0.299154940237
ACH-000150,-0.330952079551
ACH-000152,-0.6052435069259999
ACH-000153,-0.469886766169
ACH-000159,-0.306540016474
ACH-000160,-0.631010259032
ACH-000163,-0.318506577152
ACH-000167,-0.514420957113
ACH-000168,-0.526779165125
ACH-000169,-0.257611662525
ACH-000178,-0.271532043435
ACH-000182,-0.37588600998099997
ACH-000183,-0.415834517177
ACH-000188,-0.444063326463
ACH-000189,-0.46033716411700004
ACH-000190,-0.391508911536
ACH-000198,-0.39566815584700005
ACH-000204,-0.23652406308600002
ACH-000206,-0.19136743793900002
ACH-000207,-0.43958089510799997
ACH-000211,-0.379798474089
ACH-000215,-0.466813355474
ACH-000221,-0.300035653083
ACH-000222,-0.328948797698
ACH-000223,-0.300003975735
ACH-000226,-0.303073069634
ACH-000227,-0.303974663024
ACH-000228,-0.36359672072899996
ACH-000231,-0.31890325961
ACH-000232,-0.351586939989
ACH-000233,-0.389889303776
ACH-000234,-0.437916919132
ACH-000235,-0.310877717768
ACH-000237,-0.194796737637
ACH-000238,-0.349509035607
ACH-000243,-0.38856073732600005
ACH-000244,-0.45998027952799997
ACH-000246,-0.286109700491
ACH-000248,-0.6390885545589999
ACH-000250,-0.23784059028
ACH-000251,-0.351622145424
ACH-000253,-0.328052096467
ACH-000255,-0.41374282938900003
ACH-000256,-0.118805155548
ACH-000257,-0.22000761446199998
ACH-000258,-0.299642399963
ACH-000259,-0.188245069965
ACH-000260,-0.177136733948
ACH-000261,-0.44055252501000003
ACH-000262,-0.425019269072
ACH-000263,-0.35077651845700003
