,SPATA31A1 (647060)
ACH-000004,0.281201887854
ACH-000007,0.36232649403399997
ACH-000009,0.144690886759
ACH-000011,0.116003295935
ACH-000012,0.35077215591399996
ACH-000013,0.177925635859
ACH-000014,0.38710479482500004
ACH-000015,0.061678611864999996
ACH-000017,0.435366844957
ACH-000018,0.00507458565608
ACH-000019,0.5348691813359999
ACH-000021,0.144287512796
ACH-000022,0.21696055058299998
ACH-000025,0.301877504056
ACH-000028,0.277556908991
ACH-000030,0.265845365312
ACH-000035,0.20845354718800002
ACH-000036,0.329083784615
ACH-000037,0.417620286443
ACH-000039,0.23907471689800003
ACH-000040,0.37962899367799996
ACH-000041,0.246124767345
ACH-000042,0.158779916164
ACH-000045,0.35377111141400003
ACH-000047,0.306620639554
ACH-000052,0.191809074934
ACH-000053,0.320275251724
ACH-000054,0.26100642639800004
ACH-000055,0.39348799438500004
ACH-000060,0.332294416544
ACH-000067,0.46388748980800004
ACH-000070,0.488007354736
ACH-000075,0.28074743298099997
ACH-000078,0.331154974683
ACH-000082,0.355203364169
ACH-000085,0.138825477706
ACH-000086,0.11896503444599998
ACH-000087,0.284283098914
ACH-000092,0.25565245452
ACH-000095,0.250671647699
ACH-000097,0.283029604069
ACH-000098,0.24699764873000005
ACH-000099,0.21291850612799998
ACH-000108,0.0474515946271
ACH-000113,0.29247873350299997
ACH-000115,0.56253344597
ACH-000116,0.28888919699
ACH-000118,0.286805613504
ACH-000120,0.26384524825100003
ACH-000123,0.248183461352
ACH-000127,0.335907915361
ACH-000128,0.148972595116
ACH-000132,0.26401570395199997
ACH-000133,0.33342275823199996
ACH-000137,0.14471727682
ACH-000138,0.259187783217
ACH-000142,0.298037020631
ACH-000143,0.21181414513500002
ACH-000146,0.5178682881800001
ACH-000148,0.354122023534
ACH-000150,0.121173521948
ACH-000152,0.413657727658
ACH-000153,0.601041567176
ACH-000159,0.22059303729200003
ACH-000160,0.209698280958
ACH-000163,0.45215199785800003
ACH-000167,0.14245373737
ACH-000168,0.599956392787
ACH-000169,0.23437833605500002
