,SYMPK (8189)
ACH-000004,-0.9786406492049999
ACH-000007,-1.06996882592
ACH-000009,-1.10632092574
ACH-000011,-1.04254922344
ACH-000012,-1.14682373003
ACH-000013,-1.28626056129
ACH-000014,-0.993580848681
ACH-000015,-1.23704908979
ACH-000017,-1.26915056131
ACH-000018,-1.07580690641
ACH-000019,-0.61160936082
ACH-000021,-1.2408240478299999
ACH-000022,-1.2525864135100002
ACH-000025,-0.9936922777439999
ACH-000028,-1.0887300371700002
ACH-000030,-1.07052178151
ACH-000035,-1.0998386390700001
ACH-000036,-0.895522760155
ACH-000037,-1.56897435486
ACH-000039,-1.2102734012799998
ACH-000040,-0.830604271697
ACH-000041,-1.1738430978299998
ACH-000042,-1.08746781323
ACH-000045,-0.944652793571
ACH-000047,-1.0765024574600002
ACH-000052,-0.946110730714
ACH-000053,-1.02259392801
ACH-000054,-1.08064419925
ACH-000055,-1.12036856838
ACH-000060,-0.9738479240440001
ACH-000067,-1.03348591571
ACH-000070,-1.2644967264799998
ACH-000075,-1.26594354695
ACH-000078,-1.27624267557
ACH-000082,-1.07066242903
ACH-000085,-0.728994649794
ACH-000086,-1.0660794901000001
ACH-000087,-0.8429572412459999
ACH-000092,-1.2080107708399999
ACH-000095,-1.31706457593
ACH-000097,-1.0721635429799998
ACH-000098,-1.15152594564
ACH-000099,-1.16057566335
ACH-000108,-1.1755473822
ACH-000113,-1.276502172
ACH-000115,-1.7290216433400003
ACH-000116,-1.10623240893
ACH-000118,-1.21423898728
ACH-000120,-1.08541772925
ACH-000123,-1.10381395138
ACH-000127,-0.946374417535
ACH-000128,-1.1644100172399998
ACH-000132,-1.29420637332
ACH-000133,-1.2870544244
ACH-000137,-1.0571712631999999
ACH-000138,-1.07129080889
ACH-000142,-0.992221275477
ACH-000143,-1.1153631942
ACH-000146,-1.3020899562000001
ACH-000148,-1.04875724513
ACH-000150,-1.37571839084
ACH-000152,-0.951595142213
ACH-000153,-1.3967315542200003
ACH-000159,-1.07691486409
ACH-000160,-1.73533365512
ACH-000163,-1.0761210973100002
ACH-000167,-1.20933396985
ACH-000168,-1.18902471021
ACH-000169,-1.18089694838
ACH-000178,-1.17031294832
ACH-000182,-1.0961359782100002
ACH-000183,-1.31526994403
ACH-000188,-1.18844264969
ACH-000189,-1.07178045316
ACH-000190,-1.190498456
ACH-000198,-1.19363504533
ACH-000204,-0.9625595024299999
ACH-000206,-1.2225508409
ACH-000207,-1.27996294616
ACH-000211,-1.0105464952
ACH-000215,-0.9780339011779999
ACH-000221,-1.0068661653
ACH-000222,-1.18953638368
ACH-000223,-1.2588276084899999
ACH-000226,-1.1344014241299998
ACH-000227,-1.3836721302200001
ACH-000228,-1.23741586855
ACH-000231,-1.06415660927
ACH-000232,-1.0053904499700002
ACH-000233,-1.32190738428
ACH-000234,-1.14895892152
ACH-000235,-1.1900072097299998
ACH-000237,-1.04160753981
ACH-000238,-1.00615779327
ACH-000243,-1.08995652948
ACH-000244,-1.02646043141
ACH-000246,-1.0325880107799998
ACH-000248,-1.3007917061
ACH-000250,-1.05939415941
ACH-000251,-0.806794998196
ACH-000253,-1.32424275032
ACH-000255,-1.0672940689200001
ACH-000256,-1.14046315058
ACH-000257,-1.30439905439
ACH-000258,-0.880650778705
ACH-000259,-1.1072420869600001
ACH-000260,-1.04819622381
ACH-000261,-1.17598455386
ACH-000262,-1.09736403157
ACH-000263,-1.21429835671
ACH-000264,-0.8572715570389999
ACH-000265,-1.1130292190100002
ACH-000266,-1.2714951767
ACH-000272,-1.1161333328799998
ACH-000273,-0.931794957547
ACH-000274,-1.07638451958
ACH-000277,-1.11159757177
ACH-000278,-1.12323157561
ACH-000279,-1.06040970481
ACH-000280,-1.22288239545
ACH-000281,-1.31275808691
ACH-000288,-1.0935430173
ACH-000291,-0.857996403762
ACH-000293,-1.60434926847
ACH-000294,-1.10296353269
ACH-000295,-0.946285826768
ACH-000296,-1.23864729277
ACH-000302,-1.30039042688
ACH-000304,-0.9412774682709999
ACH-000307,-0.98702815971
ACH-000308,-1.50307977277
ACH-000310,-1.2343471822499998
ACH-000311,-1.0877038388
ACH-000312,-1.16798984869
ACH-000315,-1.40281580234
ACH-000316,-0.679336318827
ACH-000317,-0.615251171365
ACH-000318,-1.23565092801
ACH-000319,-1.0004234348999999
ACH-000320,-1.15202846049
ACH-000322,-0.8924398120710001
ACH-000323,-1.09465717395
ACH-000324,-1.0590899950900001
ACH-000329,-1.07791894239
ACH-000330,-1.2193156323799998
ACH-000331,-0.968182917937
ACH-000332,-1.1890637110299997
ACH-000334,-1.02263398581
ACH-000335,-0.8870649586700001
ACH-000336,-1.212133105
ACH-000337,-1.29461480554
ACH-000339,-0.9781931514669999
ACH-000341,-1.33087100029
ACH-000348,-0.955412779632
ACH-000350,-1.34403451228
ACH-000352,-1.28885832456
ACH-000356,-1.0584899331
ACH-000361,-0.879510393408
ACH-000362,-0.941927306105
ACH-000363,-1.09087724077
ACH-000364,-1.13234717459
ACH-000365,-1.30064548037
ACH-000366,-1.41205346572
ACH-000368,-0.998508183589
ACH-000374,-1.14135217105
ACH-000375,-1.33178699665
ACH-000376,-1.0
ACH-000381,-1.22563382091
ACH-000383,-1.1531981876200001
ACH-000387,-0.841368770133
ACH-000389,-1.28542365823
ACH-000390,-1.1256426863
ACH-000393,-1.26055190786
ACH-000395,-1.15233186329
ACH-000397,-1.29449400434
ACH-000401,-1.18419983482
