,ACO2 (50)
ACH-000004,-0.871989295937
ACH-000007,-0.69979162674
ACH-000009,-1.3351549841500001
ACH-000011,0.032442184846
ACH-000012,-0.587571159465
ACH-000013,-0.7849104991220001
ACH-000014,-0.468363274964
ACH-000015,-0.633748206799
ACH-000017,-1.54299906083
ACH-000018,-0.361889222001
ACH-000019,-1.0777244192
ACH-000021,-1.4777943616
ACH-000022,-1.13748825566
ACH-000025,-0.210434249318
ACH-000028,-0.9357576307109999
ACH-000030,-1.31515944037
ACH-000035,-0.762286657693
ACH-000036,-0.222565722514
ACH-000037,-0.137377094138
ACH-000039,0.20607625115800002
ACH-000040,-0.149069620515
ACH-000041,-0.6615441023659999
ACH-000042,-1.43775182354
ACH-000045,-0.567968881881
ACH-000047,-1.07785318328
ACH-000052,-0.603320946407
ACH-000053,-0.73761669549
ACH-000054,-0.240679330644
ACH-000055,-0.289406044548
ACH-000060,-0.939458598323
ACH-000067,-0.284469636536
ACH-000070,-0.878884750226
ACH-000075,-0.30660220105999997
ACH-000078,-0.840643845419
ACH-000082,-0.116432297606
ACH-000085,-0.715890913879
ACH-000086,-0.35740775453199997
ACH-000087,-0.7904938866689999
ACH-000092,-0.246692514451
ACH-000095,-0.23879582975900002
ACH-000097,-1.14904697023
ACH-000098,-0.41554086928000006
ACH-000099,-0.782298348002
ACH-000108,-1.21562490129
ACH-000113,-0.705805768097
ACH-000115,-0.582538456417
ACH-000116,-0.363006141559
ACH-000118,-0.8947477328899999
ACH-000120,-0.565889232186
ACH-000123,-0.787243112304
ACH-000127,-0.556929017914
ACH-000128,-0.600471690446
ACH-000132,-0.398727971583
ACH-000133,-0.201888402692
ACH-000137,-0.327094474874
ACH-000138,-0.281157387576
ACH-000142,-0.65888088355
ACH-000143,-0.337383822768
ACH-000146,-0.767590936103
ACH-000148,-0.038181733244300006
ACH-000150,-0.176191908492
ACH-000152,-0.41403719200000005
ACH-000153,-0.464772961165
ACH-000159,-0.0117697065584
ACH-000160,-0.733771336689
ACH-000163,-0.34849467609800006
ACH-000167,-0.541173803706
ACH-000168,-0.546559908474
ACH-000169,-0.73037204379
ACH-000178,-0.498106854929
ACH-000182,-1.06176169448
ACH-000183,-0.7433093496690001
