,HERC2 (8924)
ACH-000004,-0.7740787183589999
ACH-000007,-0.380573800149
ACH-000009,-0.915338728584
ACH-000011,-0.555197736072
ACH-000012,-0.611838844945
ACH-000013,-0.181141256369
ACH-000014,-0.359256547728
ACH-000015,-0.28234708657900004
ACH-000017,-0.39098695630999997
ACH-000018,-0.35610092882600003
ACH-000019,-0.11326436423800001
ACH-000021,-0.167540886511
ACH-000022,-0.42893115633100004
ACH-000025,-0.595126898336
ACH-000028,-0.21189786329799998
ACH-000030,-0.42916058902599996
ACH-000035,-0.603160518957
ACH-000036,-0.430211802405
ACH-000037,-0.217532598484
ACH-000039,-0.352241442156
ACH-000040,-0.283927481304
ACH-000041,-0.27515688390099996
ACH-000042,-0.118216188572
ACH-000045,-0.314721898741
ACH-000047,-0.472683605659
ACH-000052,-0.511385283897
ACH-000053,-0.272757381481
ACH-000054,-0.283485054334
ACH-000055,-0.408512851969
ACH-000060,-0.132114377659
ACH-000067,-0.553155598908
ACH-000070,-0.413655920133
ACH-000075,-0.404636104138
ACH-000078,-0.409413605164
ACH-000082,-0.23079925527399997
ACH-000085,-0.20439619650899998
ACH-000086,-0.26248600679
ACH-000087,-0.45379986696400004
ACH-000092,-0.42153052543700004
ACH-000095,-0.342159269621
ACH-000097,-0.121561298427
ACH-000098,-0.269216919513
ACH-000099,-0.306965330269
ACH-000108,-0.31174775219
ACH-000113,-0.373691027777
ACH-000115,-0.266374988436
ACH-000116,-0.119037402812
ACH-000118,-0.34390187681999995
ACH-000120,-0.41838553276699997
ACH-000123,-0.420837140903
ACH-000127,-0.38637707993000003
ACH-000128,-0.332073949009
ACH-000132,-0.761739362923
ACH-000133,-0.390684267222
ACH-000137,-0.377086632505
ACH-000138,-0.30228310476799997
ACH-000142,-0.463419562092
ACH-000143,-0.660759946155
ACH-000146,-0.431119556291
ACH-000148,-0.402786624495
ACH-000150,-0.052308931384100005
ACH-000152,-0.198515773805
ACH-000153,-0.696742414077
ACH-000159,-0.315238572329
ACH-000160,-0.42279743628300004
ACH-000163,-0.2126323823
ACH-000167,-0.596844808692
ACH-000168,-0.57676717975
ACH-000169,-0.337103099306
ACH-000178,-0.228127914816
ACH-000182,-0.41408521732299997
ACH-000183,-0.352694918288
ACH-000188,-0.425483580788
ACH-000189,-0.162364542126
ACH-000190,-0.340272872952
ACH-000198,-0.423744383744
