,POLR2J (5439)
ACH-000004,-2.0383322650499998
ACH-000007,-1.7179783986300001
ACH-000009,-2.0124376244
ACH-000011,-2.05578895915
ACH-000012,-1.6127618636899999
ACH-000013,-1.8489306410099997
ACH-000014,-2.00965978058
ACH-000015,-1.8142271016
ACH-000017,-1.4906844307700002
ACH-000018,-1.55457282391
ACH-000019,-1.5727868960100002
ACH-000021,-1.9245070002200002
ACH-000022,-2.20533783521
ACH-000025,-1.7116575853600002
ACH-000028,-1.66882069448
ACH-000030,-1.82864531085
ACH-000035,-1.68623629534
ACH-000036,-1.65722851393
ACH-000037,-2.0356542969900002
ACH-000039,-1.9455510782499998
ACH-000040,-1.4521388247799998
ACH-000041,-2.3018515160799997
ACH-000042,-1.8043041525799999
ACH-000045,-2.00911135438
ACH-000047,-1.94583033404
ACH-000052,-1.6687780641799999
ACH-000053,-1.84345946875
ACH-000054,-1.8762544473299998
ACH-000055,-2.05821730622
ACH-000060,-1.85229549535
ACH-000067,-1.5413762220700002
ACH-000070,-2.12358394687
ACH-000075,-1.55044658468
ACH-000078,-1.81680783467
ACH-000082,-2.23450799617
ACH-000085,-1.95990432343
ACH-000086,-1.6204535385799999
ACH-000087,-2.2356244486000003
ACH-000092,-1.53923235153
ACH-000095,-1.8313515471900002
ACH-000097,-2.03458647728
ACH-000098,-1.5841427301700002
ACH-000099,-1.7960771562400002
ACH-000108,-1.7860489774200001
ACH-000113,-1.86278777625
ACH-000115,-1.83412084657
ACH-000116,-2.2233974501700002
ACH-000118,-1.69188900498
ACH-000120,-1.7007929748
ACH-000123,-1.7311443711599999
ACH-000127,-2.1205566731
ACH-000128,-1.85998113815
ACH-000132,-2.1629444392400003
ACH-000133,-1.87098684401
ACH-000137,-1.9228769750999999
ACH-000138,-1.77201657926
ACH-000142,-1.6235308894299998
ACH-000143,-1.8820347798800001
ACH-000146,-2.59038163034
ACH-000148,-2.04179596195
ACH-000150,-1.87592782382
ACH-000152,-1.702182775
ACH-000153,-1.98478189837
ACH-000159,-1.6919738063499998
ACH-000160,-1.1261008537600001
ACH-000163,-2.03623462813
ACH-000167,-2.58568267212
ACH-000168,-1.6133135681600002
ACH-000169,-1.6067482030000002
ACH-000178,-1.9323052079299998
ACH-000182,-2.0886222173599998
ACH-000183,-1.7874048188499998
ACH-000188,-1.85183775037
ACH-000189,-1.6675394732700002
ACH-000190,-1.6030500784600001
ACH-000198,-2.02834644135
ACH-000204,-1.73820946009
ACH-000206,-1.76633896104
ACH-000207,-1.30889063463
ACH-000211,-1.6564927809
ACH-000215,-1.80777053475
ACH-000221,-2.36855323297
ACH-000222,-1.6174315421799998
ACH-000223,-2.1981486352200004
ACH-000226,-1.76905601003
ACH-000227,-2.33205360478
ACH-000228,-2.17938757076
ACH-000231,-1.7938740445299999
ACH-000232,-2.05146971349
ACH-000233,-2.19419655423
ACH-000234,-2.17434715951
ACH-000235,-2.08466540475
ACH-000237,-2.13322149996
ACH-000238,-2.0999267980200003
ACH-000243,-1.59726505937
ACH-000244,-1.86935447935
ACH-000246,-1.69672998803
ACH-000248,-1.4022377686399998
ACH-000250,-1.59959308686
ACH-000251,-1.22688762517
ACH-000253,-1.50457895365
ACH-000255,-1.79560550021
ACH-000256,-2.24202634372
ACH-000257,-2.28473695765
ACH-000258,-1.39440821191
ACH-000259,-2.23658902463
ACH-000260,-1.96435326755
ACH-000261,-1.95854258426
ACH-000262,-1.87358837922
ACH-000263,-1.90171814431
ACH-000264,-1.78555146115
ACH-000265,-1.7382251124599999
ACH-000266,-1.91065040097
ACH-000272,-1.7663314673599997
ACH-000273,-1.73207712087
ACH-000274,-1.8800383338599997
ACH-000277,-1.7113571822799998
ACH-000278,-1.7860211001900002
ACH-000279,-2.19011044128
ACH-000280,-1.7303373767099997
ACH-000281,-1.6970106976600001
ACH-000288,-1.81821022274
ACH-000291,-1.6725044831799998
ACH-000293,-2.6317492336000003
ACH-000294,-2.03952413182
ACH-000295,-1.47995547801
ACH-000296,-1.9531516481400002
ACH-000302,-2.1343967621599997
ACH-000304,-2.3573738565
ACH-000307,-1.9166158454099997
ACH-000308,-2.01693704993
ACH-000310,-2.11273617533
ACH-000311,-2.10741798259
ACH-000312,-1.9165838910599997
ACH-000315,-1.7247883327200002
ACH-000316,-1.92315692612
ACH-000317,-1.41302695942
ACH-000318,-2.1640659006900003
ACH-000319,-1.79907442357
ACH-000320,-1.71434943084
ACH-000322,-1.71021245514
ACH-000323,-1.46062443822
ACH-000324,-1.67402389576
ACH-000329,-2.07587129191
ACH-000330,-1.8488965900499998
ACH-000331,-1.60644091885
ACH-000332,-1.68893102032
ACH-000334,-2.4297443905400002
ACH-000335,-1.9572708963099998
ACH-000336,-1.86362500123
ACH-000337,-1.52588106662
ACH-000339,-2.10305808178
ACH-000341,-2.94464758131
ACH-000348,-2.28684269281
ACH-000350,-2.22026367584
ACH-000352,-1.9158305080200002
ACH-000356,-1.59997433367
ACH-000361,-1.83755498866
ACH-000362,-1.9184388323400003
ACH-000363,-2.38833406545
ACH-000364,-1.6682309552799999
ACH-000365,-1.66227387685
ACH-000366,-1.9265917288299998
ACH-000368,-1.4397763397299999
ACH-000374,-2.2346100834900002
ACH-000375,-2.0329511617500002
ACH-000376,-1.6870696850600002
ACH-000381,-1.81236680483
ACH-000383,-1.66290627945
ACH-000387,-2.05347824381
ACH-000389,-1.80651579683
ACH-000390,-1.8064893192200002
ACH-000393,-2.31470901627
ACH-000395,-1.83796019727
ACH-000397,-1.7544183712599999
ACH-000401,-1.91601838499
ACH-000402,-1.85852570992
ACH-000403,-1.89164330543
ACH-000404,-1.96275661521
ACH-000406,-2.1158140455
ACH-000407,-1.6451884272
ACH-000408,-1.45064895503
ACH-000410,-1.84837294525
ACH-000411,-1.7073354726899999
ACH-000414,-1.9292947174900001
ACH-000415,-2.31497356409
ACH-000416,-1.67911369311
ACH-000420,-1.63163309893
ACH-000421,-1.7029418875799998
ACH-000424,-1.9102035315700001
ACH-000425,-1.7431751589400002
ACH-000426,-2.9094035381400003
ACH-000427,-1.8287490260900003
ACH-000433,-1.8100880780700002
ACH-000436,-2.18165558232
ACH-000444,-2.04671157889
ACH-000445,-1.75309030907
ACH-000448,-1.8974473619499999
ACH-000450,-2.3735804165400003
ACH-000452,-2.35071542068
ACH-000454,-1.46608109375
ACH-000458,-1.9505995980500002
ACH-000459,-2.57928624196
ACH-000460,-1.7596610645599997
ACH-000461,-1.94260658449
ACH-000463,-1.63980830501
ACH-000464,-1.69567656839
ACH-000466,-2.53646207224
ACH-000467,-1.7261168774900002
ACH-000468,-1.8477627803599999
ACH-000469,-1.69404449002
ACH-000470,-2.09724315995
ACH-000471,-2.27791043376
ACH-000472,-2.56801806667
ACH-000473,-1.8896785211200002
ACH-000475,-2.0965053214099996
ACH-000476,-1.7702975146400002
ACH-000477,-2.37023407694
ACH-000480,-2.10411890074
ACH-000481,-1.70953056561
ACH-000483,-2.7158127402900005
ACH-000484,-1.9092162671900001
ACH-000485,-1.76118868646
ACH-000486,-1.94020598574
ACH-000487,-2.2835019234400002
ACH-000488,-2.2171730207700002
ACH-000490,-2.0269318483000003
ACH-000491,-2.20909083945
ACH-000495,-1.48935560861
ACH-000496,-1.85852508325
ACH-000499,-1.97552763496
ACH-000500,-1.5468801670200003
ACH-000502,-1.71492430514
ACH-000503,-2.06520466376
ACH-000505,-1.99704607497
ACH-000507,-1.86551886295
ACH-000510,-1.84318464411
ACH-000511,-1.57890625364
ACH-000512,-1.8230454871000001
ACH-000516,-2.04843172336
ACH-000517,-1.85534475501
ACH-000518,-1.7170346383500001
ACH-000520,-2.0088572518200003
ACH-000521,-1.5913834951399999
ACH-000522,-1.5817077317800001
ACH-000524,-2.21082562669
ACH-000527,-1.9083427519799998
ACH-000528,-1.7943693639400002
ACH-000537,-1.5324945718399998
ACH-000541,-1.74253525729
ACH-000542,-1.9724092542700002
ACH-000544,-1.6162268263100001
ACH-000545,-1.41016866654
ACH-000547,-1.86164465926
ACH-000548,-1.8408057039400003
ACH-000549,-1.82930352252
ACH-000550,-1.6169259425100002
ACH-000552,-1.45023105042
ACH-000556,-1.66469964597
ACH-000557,-2.76997100148
ACH-000570,-1.5432431552
ACH-000571,-1.89370422676
ACH-000573,-2.3451516042
ACH-000576,-1.9242502111900002
ACH-000580,-1.75438675073
ACH-000584,-2.45502734027
ACH-000585,-1.85684430265
ACH-000588,-1.9100837231299999
ACH-000589,-1.9342377388900003
ACH-000591,-1.8531585870299998
ACH-000593,-2.16094970635
ACH-000600,-1.94266184023
ACH-000601,-1.7690271480900002
